날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-22,카카오,035720,KOSPI,36800,37050,36150,36300,1154547,0.0,91,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-01-23,카카오,035720,KOSPI,36450,36500,35750,35750,1220022,-1.52,91,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-01-24,카카오,035720,KOSPI,35900,36350,35700,35750,1076274,0.0,91,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-01-31,카카오,035720,KOSPI,36100,39000,36100,38350,6846406,7.27,91,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-02-03,카카오,035720,KOSPI,38350,42450,37750,41800,14720792,9.0,91,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-02-04,카카오,035720,KOSPI,42600,43150,40200,40900,12331280,-2.15,91,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-02-05,카카오,035720,KOSPI,41300,43550,41000,43200,10732661,5.62,91,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-02-06,카카오,035720,KOSPI,44000,45500,43500,45300,9121099,4.86,91,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-02-07,카카오,035720,KOSPI,45200,45250,43550,44500,5102434,-1.77,91,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-02-10,카카오,035720,KOSPI,44500,46000,42300,42500,6162748,-4.49,91,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-02-11,카카오,035720,KOSPI,43200,43450,42250,42850,3387582,0.82,91,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-02-12,카카오,035720,KOSPI,42750,42750,41400,42000,2941517,-1.98,91,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-02-13,카카오,035720,KOSPI,42350,43100,39700,40200,8123275,-4.29,91,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-02-14,카카오,035720,KOSPI,40550,40600,38400,38750,6091721,-3.61,91,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-02-17,카카오,035720,KOSPI,39100,39350,38800,39050,3131805,0.77,91,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-02-18,카카오,035720,KOSPI,38950,39350,38600,38950,2601628,-0.26,91,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-02-19,카카오,035720,KOSPI,39150,39650,38850,39300,2977884,0.9,91,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-02-20,카카오,035720,KOSPI,39600,40750,39550,39750,4599415,1.15,91,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-02-21,카카오,035720,KOSPI,40000,40250,39600,39900,2460853,0.38,91,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-02-24,카카오,035720,KOSPI,39650,40000,39200,39550,1834667,-0.88,91,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-02-25,카카오,035720,KOSPI,39200,39800,39100,39750,1505555,0.51,91,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-02-26,카카오,035720,KOSPI,40150,42400,40050,42100,7598359,5.91,91,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-02-27,카카오,035720,KOSPI,42900,44450,42800,44450,10185706,5.58,91,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-02-28,카카오,035720,KOSPI,43700,44700,42650,43150,6591090,-2.92,91,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-03-04,카카오,035720,KOSPI,43000,43450,41350,41900,3387888,-2.9,91,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-03-05,카카오,035720,KOSPI,42550,43500,42450,43100,2525062,2.86,91,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-03-06,카카오,035720,KOSPI,43500,45400,42550,45100,6180767,4.64,91,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-03-07,카카오,035720,KOSPI,44450,44825,43450,43750,3099161,-2.99,91,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-03-10,카카오,035720,KOSPI,43500,45950,43150,45400,4010592,3.77,91,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-03-11,카카오,035720,KOSPI,43900,44700,43550,44100,2486551,-2.86,91,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-03-12,카카오,035720,KOSPI,44250,44650,43450,44100,1976354,0.0,91,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-03-13,카카오,035720,KOSPI,44150,44750,42350,43150,3269454,-2.15,91,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-03-14,카카오,035720,KOSPI,43100,44050,43100,43450,1733603,0.7,91,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-03-17,카카오,035720,KOSPI,43500,43850,42300,43500,1693348,0.12,91,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-03-18,카카오,035720,KOSPI,43700,45050,43500,44000,2475410,1.15,91,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-03-19,카카오,035720,KOSPI,44000,44375,43100,43300,1642570,-1.59,91,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-03-20,카카오,035720,KOSPI,43500,43950,42650,42650,1761461,-1.5,91,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-03-21,카카오,035720,KOSPI,42650,43600,41900,43600,1900729,2.23,91,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
