날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,JYP Ent.,035900,KOSPI,77300,78000,74600,74700,476195,0.0,36,
2025-01-21,JYP Ent.,035900,KOSPI,75100,76100,73800,74300,411808,-0.54,36,
2025-01-22,JYP Ent.,035900,KOSPI,74400,74600,72700,74300,501405,0.0,36,
2025-01-23,JYP Ent.,035900,KOSPI,74700,75900,73300,73500,442861,-1.08,36,
2025-01-24,JYP Ent.,035900,KOSPI,73800,76000,72900,75000,423894,2.04,36,
2025-01-31,JYP Ent.,035900,KOSPI,75700,76400,74600,75000,399828,0.0,36,
2025-02-03,JYP Ent.,035900,KOSPI,74200,75900,73700,75000,419762,0.0,36,
2025-02-04,JYP Ent.,035900,KOSPI,75500,79100,74500,79100,1059207,5.47,36,
2025-02-05,JYP Ent.,035900,KOSPI,79600,79900,77700,79300,602689,0.25,36,
2025-02-06,JYP Ent.,035900,KOSPI,79600,80300,77000,77400,674299,-2.4,36,
2025-02-07,JYP Ent.,035900,KOSPI,77700,78900,77000,77700,435046,0.39,36,
2025-02-10,JYP Ent.,035900,KOSPI,80000,82400,78700,78800,1392162,1.42,36,
2025-02-11,JYP Ent.,035900,KOSPI,80200,83800,79700,83600,1326718,6.09,36,
2025-02-12,JYP Ent.,035900,KOSPI,83900,84200,82600,83700,503992,0.12,36,
2025-02-13,JYP Ent.,035900,KOSPI,84200,84700,82000,83400,561862,-0.36,36,
2025-02-14,JYP Ent.,035900,KOSPI,83400,84300,80600,81000,602303,-2.88,36,
2025-02-17,JYP Ent.,035900,KOSPI,80900,80900,78600,79000,572835,-2.47,36,
2025-02-18,JYP Ent.,035900,KOSPI,79300,80500,77800,79400,579731,0.51,36,
2025-02-19,JYP Ent.,035900,KOSPI,79500,81300,78300,81100,572359,2.14,36,
2025-02-20,JYP Ent.,035900,KOSPI,86900,87400,81300,82500,2161017,1.73,36,
2025-02-21,JYP Ent.,035900,KOSPI,82200,84700,79900,82300,921254,-0.24,36,
2025-02-24,JYP Ent.,035900,KOSPI,81200,83000,80500,81400,522796,-1.09,36,
2025-02-25,JYP Ent.,035900,KOSPI,81800,84800,81500,84100,807797,3.32,36,
2025-02-26,JYP Ent.,035900,KOSPI,83600,85200,83200,84100,411760,0.0,36,
2025-02-27,JYP Ent.,035900,KOSPI,84200,85400,83200,85100,549941,1.19,36,
2025-02-28,JYP Ent.,035900,KOSPI,84000,86900,82800,84300,827890,-0.94,36,
2025-03-04,JYP Ent.,035900,KOSPI,83400,84000,81200,82900,445559,-1.66,36,
2025-03-05,JYP Ent.,035900,KOSPI,83300,83800,79300,80900,570080,-2.41,36,
2025-03-06,JYP Ent.,035900,KOSPI,81300,81300,78000,79900,576075,-1.24,36,
2025-03-07,JYP Ent.,035900,KOSPI,79700,81900,79100,80600,478082,0.88,36,
2025-03-10,JYP Ent.,035900,KOSPI,80100,80200,73000,73100,1797632,-9.31,36,
2025-03-11,JYP Ent.,035900,KOSPI,71600,73400,70100,70300,969056,-3.83,36,
2025-03-12,JYP Ent.,035900,KOSPI,70600,72000,70000,70100,529998,-0.28,36,
2025-03-13,JYP Ent.,035900,KOSPI,70700,71300,69700,70700,425193,0.86,36,
2025-03-14,JYP Ent.,035900,KOSPI,70200,70800,68200,69800,652284,-1.27,36,
2025-03-17,JYP Ent.,035900,KOSPI,69800,70600,68500,69700,449196,-0.14,36,
