날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,엔씨소프트,036570,KOSPI,181800,182800,176000,177700,99967,0.0,21,TIGER 게임TOP10
2025-01-21,엔씨소프트,036570,KOSPI,178000,181000,175900,177700,48409,0.0,21,TIGER 게임TOP10
2025-01-22,엔씨소프트,036570,KOSPI,178300,179900,176800,177300,53463,-0.23,21,TIGER 게임TOP10
2025-01-23,엔씨소프트,036570,KOSPI,178000,178700,172800,173000,74975,-2.43,21,TIGER 게임TOP10
2025-01-24,엔씨소프트,036570,KOSPI,173700,174700,172000,172200,64662,-0.46,21,TIGER 게임TOP10
2025-01-31,엔씨소프트,036570,KOSPI,173900,174800,170800,172700,79477,0.29,21,TIGER 게임TOP10
2025-02-03,엔씨소프트,036570,KOSPI,171000,171500,167300,169900,68280,-1.62,21,TIGER 게임TOP10
2025-02-04,엔씨소프트,036570,KOSPI,170000,173900,167200,168300,76941,-0.94,21,TIGER 게임TOP10
2025-02-05,엔씨소프트,036570,KOSPI,169500,174900,169100,173500,84118,3.09,21,TIGER 게임TOP10
2025-02-06,엔씨소프트,036570,KOSPI,174600,174800,171300,172900,51846,-0.35,21,TIGER 게임TOP10
2025-02-07,엔씨소프트,036570,KOSPI,171500,174300,170900,171500,39710,-0.81,21,TIGER 게임TOP10
2025-02-10,엔씨소프트,036570,KOSPI,172400,176500,171900,173400,74991,1.11,21,TIGER 게임TOP10
2025-02-11,엔씨소프트,036570,KOSPI,175900,181500,174500,180400,102082,4.04,21,TIGER 게임TOP10
2025-02-12,엔씨소프트,036570,KOSPI,180000,183700,174000,174100,152903,-3.49,21,TIGER 게임TOP10
2025-02-13,엔씨소프트,036570,KOSPI,174400,174900,169100,171200,152722,-1.67,21,TIGER 게임TOP10
2025-02-14,엔씨소프트,036570,KOSPI,172200,175400,171700,172900,82877,0.99,21,TIGER 게임TOP10
2025-02-17,엔씨소프트,036570,KOSPI,173200,173300,169700,170800,66090,-1.21,21,TIGER 게임TOP10
2025-02-18,엔씨소프트,036570,KOSPI,170800,171400,169400,170800,61635,0.0,21,TIGER 게임TOP10
2025-02-19,엔씨소프트,036570,KOSPI,170900,175900,170900,174900,106175,2.4,21,TIGER 게임TOP10
2025-02-20,엔씨소프트,036570,KOSPI,177000,180500,176600,178200,110470,1.89,21,TIGER 게임TOP10
2025-02-21,엔씨소프트,036570,KOSPI,180600,180800,176300,177700,44208,-0.28,21,TIGER 게임TOP10
2025-02-24,엔씨소프트,036570,KOSPI,177400,182300,176200,177300,57116,-0.23,21,TIGER 게임TOP10
2025-02-25,엔씨소프트,036570,KOSPI,176700,177900,173400,173800,67959,-1.97,21,TIGER 게임TOP10
2025-02-26,엔씨소프트,036570,KOSPI,174100,179700,172800,178400,78989,2.65,21,TIGER 게임TOP10
2025-02-27,엔씨소프트,036570,KOSPI,179600,179600,175700,177500,50544,-0.5,21,TIGER 게임TOP10
2025-02-28,엔씨소프트,036570,KOSPI,176100,176100,170100,170100,151614,-4.17,21,TIGER 게임TOP10
2025-03-04,엔씨소프트,036570,KOSPI,170100,170500,164500,164500,116485,-3.29,21,TIGER 게임TOP10
2025-03-05,엔씨소프트,036570,KOSPI,166000,167900,160100,161600,136359,-1.76,21,TIGER 게임TOP10
2025-03-06,엔씨소프트,036570,KOSPI,162500,164500,161600,164300,71134,1.67,21,TIGER 게임TOP10
2025-03-07,엔씨소프트,036570,KOSPI,163300,164000,161200,161300,69072,-1.83,21,TIGER 게임TOP10
2025-03-10,엔씨소프트,036570,KOSPI,161000,164800,159100,162600,62567,0.81,21,TIGER 게임TOP10
2025-03-11,엔씨소프트,036570,KOSPI,158900,160900,157300,159300,70825,-2.03,21,TIGER 게임TOP10
2025-03-12,엔씨소프트,036570,KOSPI,159500,161000,157500,157800,110931,-0.94,21,TIGER 게임TOP10
2025-03-13,엔씨소프트,036570,KOSPI,158600,164500,158300,163000,176597,3.3,21,TIGER 게임TOP10
2025-03-14,엔씨소프트,036570,KOSPI,164200,167700,162700,164800,94501,1.1,21,TIGER 게임TOP10
2025-03-17,엔씨소프트,036570,KOSPI,165800,166800,163900,164400,43866,-0.24,21,TIGER 게임TOP10
2025-03-18,엔씨소프트,036570,KOSPI,165000,165200,163000,163400,34863,-0.61,21,TIGER 게임TOP10
