날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,주성엔지니어링,036930,KOSPI,35050,35450,34200,34500,361078,0.0,82,SOL 반도체전공정
2025-01-21,주성엔지니어링,036930,KOSPI,34850,35600,34800,35100,383744,1.74,82,SOL 반도체전공정
2025-01-22,주성엔지니어링,036930,KOSPI,34650,34700,32200,33500,1345542,-4.56,82,SOL 반도체전공정
2025-01-23,주성엔지니어링,036930,KOSPI,33700,33750,32250,32650,576041,-2.54,82,SOL 반도체전공정
2025-01-24,주성엔지니어링,036930,KOSPI,32700,33600,32700,33050,349674,1.23,82,SOL 반도체전공정
2025-01-31,주성엔지니어링,036930,KOSPI,33200,33250,31350,31700,560285,-4.08,82,SOL 반도체전공정
2025-02-03,주성엔지니어링,036930,KOSPI,31000,31200,28800,29050,694303,-8.36,82,SOL 반도체전공정
2025-02-04,주성엔지니어링,036930,KOSPI,29600,29950,28950,29100,389517,0.17,82,SOL 반도체전공정
2025-02-05,주성엔지니어링,036930,KOSPI,29400,30000,29250,29950,345310,2.92,82,SOL 반도체전공정
2025-02-06,주성엔지니어링,036930,KOSPI,30600,31850,30150,31750,507143,6.01,82,SOL 반도체전공정
2025-02-07,주성엔지니어링,036930,KOSPI,32300,32300,31450,31800,391515,0.16,82,SOL 반도체전공정
2025-02-10,주성엔지니어링,036930,KOSPI,31250,32650,31000,32450,407931,2.04,82,SOL 반도체전공정
2025-02-11,주성엔지니어링,036930,KOSPI,32700,32700,31250,31400,386442,-3.24,82,SOL 반도체전공정
2025-02-12,주성엔지니어링,036930,KOSPI,31350,31600,30800,31000,229480,-1.27,82,SOL 반도체전공정
2025-02-13,주성엔지니어링,036930,KOSPI,31500,31700,31050,31350,255508,1.13,82,SOL 반도체전공정
2025-02-14,주성엔지니어링,036930,KOSPI,31850,35200,31450,33850,2424167,7.97,82,SOL 반도체전공정
2025-02-17,주성엔지니어링,036930,KOSPI,34550,35150,34100,34200,828579,1.03,82,SOL 반도체전공정
2025-02-18,주성엔지니어링,036930,KOSPI,34300,34600,33750,34450,395257,0.73,82,SOL 반도체전공정
2025-02-19,주성엔지니어링,036930,KOSPI,34600,40000,34450,38900,6062758,12.92,82,SOL 반도체전공정
2025-02-20,주성엔지니어링,036930,KOSPI,38150,38500,37300,38200,1223125,-1.8,82,SOL 반도체전공정
2025-02-21,주성엔지니어링,036930,KOSPI,38500,38500,36150,36600,1128136,-4.19,82,SOL 반도체전공정
2025-02-24,주성엔지니어링,036930,KOSPI,35850,36200,35200,35550,617510,-2.87,82,SOL 반도체전공정
2025-02-25,주성엔지니어링,036930,KOSPI,35050,36100,34700,35400,654745,-0.42,82,SOL 반도체전공정
2025-02-26,주성엔지니어링,036930,KOSPI,35600,35700,34700,35450,429104,0.14,82,SOL 반도체전공정
2025-02-27,주성엔지니어링,036930,KOSPI,36000,36300,34500,34600,543329,-2.4,82,SOL 반도체전공정
2025-02-28,주성엔지니어링,036930,KOSPI,33300,34050,33250,33250,580069,-3.9,82,SOL 반도체전공정
2025-03-04,주성엔지니어링,036930,KOSPI,32350,33950,32250,33850,315324,1.8,82,SOL 반도체전공정
2025-03-05,주성엔지니어링,036930,KOSPI,34150,34600,33000,33300,464071,-1.62,82,SOL 반도체전공정
2025-03-06,주성엔지니어링,036930,KOSPI,33500,34350,31800,31900,750026,-4.2,82,SOL 반도체전공정
2025-03-07,주성엔지니어링,036930,KOSPI,31300,32650,31300,31850,491378,-0.16,82,SOL 반도체전공정
2025-03-10,주성엔지니어링,036930,KOSPI,31600,33400,31550,32500,435987,2.04,82,SOL 반도체전공정
2025-03-11,주성엔지니어링,036930,KOSPI,31150,32300,31050,32250,373707,-0.77,82,SOL 반도체전공정
2025-03-12,주성엔지니어링,036930,KOSPI,32600,33350,32300,33150,367423,2.79,82,SOL 반도체전공정
2025-03-13,주성엔지니어링,036930,KOSPI,33800,34350,33050,33150,565966,0.0,82,SOL 반도체전공정
2025-03-14,주성엔지니어링,036930,KOSPI,33600,34200,33300,33850,327227,2.11,82,SOL 반도체전공정
2025-03-17,주성엔지니어링,036930,KOSPI,34550,38050,34200,37900,2595321,11.96,82,SOL 반도체전공정
