날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,하나투어,039130,KOSPI,53300,54700,53200,54100,35007,0.0,35,TIGER 여행레저
2025-01-21,하나투어,039130,KOSPI,54600,54600,53800,54300,36904,0.37,35,TIGER 여행레저
2025-01-22,하나투어,039130,KOSPI,54300,55300,54300,55000,59030,1.29,35,TIGER 여행레저
2025-01-23,하나투어,039130,KOSPI,54500,55300,54300,54400,31817,-1.09,35,TIGER 여행레저
2025-01-24,하나투어,039130,KOSPI,54900,55300,54400,54700,71528,0.55,35,TIGER 여행레저
2025-01-31,하나투어,039130,KOSPI,55200,56200,54400,56100,68104,2.56,35,TIGER 여행레저
2025-02-03,하나투어,039130,KOSPI,55000,55000,53900,54100,38191,-3.57,35,TIGER 여행레저
2025-02-04,하나투어,039130,KOSPI,54700,56600,54100,56400,129271,4.25,35,TIGER 여행레저
2025-02-05,하나투어,039130,KOSPI,56400,57500,56200,56300,73913,-0.18,35,TIGER 여행레저
2025-02-06,하나투어,039130,KOSPI,56400,57500,56300,57000,89918,1.24,35,TIGER 여행레저
2025-02-07,하나투어,039130,KOSPI,56600,57000,55900,56200,42664,-1.4,35,TIGER 여행레저
2025-02-10,하나투어,039130,KOSPI,56700,58200,56300,57600,105195,2.49,35,TIGER 여행레저
2025-02-11,하나투어,039130,KOSPI,57500,58500,57500,58500,94763,1.56,35,TIGER 여행레저
2025-02-12,하나투어,039130,KOSPI,58500,58600,57100,57200,64881,-2.22,35,TIGER 여행레저
2025-02-13,하나투어,039130,KOSPI,57500,57500,56100,57100,70063,-0.17,35,TIGER 여행레저
2025-02-14,하나투어,039130,KOSPI,57100,57200,56100,56200,65156,-1.58,35,TIGER 여행레저
2025-02-17,하나투어,039130,KOSPI,56300,56900,56100,56400,27657,0.36,35,TIGER 여행레저
2025-02-18,하나투어,039130,KOSPI,56100,56600,55700,56300,36508,-0.18,35,TIGER 여행레저
2025-02-19,하나투어,039130,KOSPI,56100,56700,56100,56500,37723,0.36,35,TIGER 여행레저
2025-02-20,하나투어,039130,KOSPI,57500,58200,56800,57200,98576,1.24,35,TIGER 여행레저
2025-02-21,하나투어,039130,KOSPI,57900,58000,56600,56800,48586,-0.7,35,TIGER 여행레저
2025-02-24,하나투어,039130,KOSPI,56500,56700,55600,56200,45607,-1.06,35,TIGER 여행레저
2025-02-25,하나투어,039130,KOSPI,55800,56400,55400,55700,33568,-0.89,35,TIGER 여행레저
2025-02-26,하나투어,039130,KOSPI,55800,56300,55500,56200,34733,0.9,35,TIGER 여행레저
2025-02-27,하나투어,039130,KOSPI,56100,57700,55800,57600,86326,2.49,35,TIGER 여행레저
2025-02-28,하나투어,039130,KOSPI,57300,57900,56300,57100,97764,-0.87,35,TIGER 여행레저
2025-03-04,하나투어,039130,KOSPI,56400,57100,54700,54800,88909,-4.03,35,TIGER 여행레저
2025-03-05,하나투어,039130,KOSPI,55100,55500,54500,54700,35660,-0.18,35,TIGER 여행레저
2025-03-06,하나투어,039130,KOSPI,54800,55300,53400,54600,116643,-0.18,35,TIGER 여행레저
2025-03-07,하나투어,039130,KOSPI,53900,56400,53900,55300,96439,1.28,35,TIGER 여행레저
2025-03-10,하나투어,039130,KOSPI,55300,56700,54700,56700,80825,2.53,35,TIGER 여행레저
2025-03-11,하나투어,039130,KOSPI,55000,56200,55000,56100,94808,-1.06,35,TIGER 여행레저
2025-03-12,하나투어,039130,KOSPI,55500,57200,55500,57200,101438,1.96,35,TIGER 여행레저
2025-03-13,하나투어,039130,KOSPI,57000,57100,55500,57100,95055,-0.17,35,TIGER 여행레저
2025-03-14,하나투어,039130,KOSPI,56800,56900,56000,56000,52034,-1.93,35,TIGER 여행레저
2025-03-17,하나투어,039130,KOSPI,56000,56500,54700,55300,60012,-1.25,35,TIGER 여행레저
2025-03-18,하나투어,039130,KOSPI,55400,55500,54600,54600,37001,-1.27,35,TIGER 여행레저
