날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,에스엠,041510,KOSPI,78800,80000,77200,78300,127925,0.0,91,"ACE KPOP포커스,TIGER 미디어컨텐츠"
2025-01-21,에스엠,041510,KOSPI,79100,80300,78400,78800,79260,0.64,91,"ACE KPOP포커스,TIGER 미디어컨텐츠"
2025-01-22,에스엠,041510,KOSPI,78500,80700,77000,79900,161706,1.4,91,"ACE KPOP포커스,TIGER 미디어컨텐츠"
2025-01-23,에스엠,041510,KOSPI,79900,84500,79500,81800,268400,2.38,91,"ACE KPOP포커스,TIGER 미디어컨텐츠"
2025-01-24,에스엠,041510,KOSPI,82300,86300,81400,84000,236537,2.69,91,"ACE KPOP포커스,TIGER 미디어컨텐츠"
2025-01-31,에스엠,041510,KOSPI,84100,85100,83300,83500,128773,-0.6,91,"ACE KPOP포커스,TIGER 미디어컨텐츠"
2025-02-03,에스엠,041510,KOSPI,83400,85900,82700,83600,172289,0.12,91,"ACE KPOP포커스,TIGER 미디어컨텐츠"
2025-02-04,에스엠,041510,KOSPI,84300,87800,82900,86800,207505,3.83,91,"ACE KPOP포커스,TIGER 미디어컨텐츠"
2025-02-05,에스엠,041510,KOSPI,87300,90200,86100,87900,240076,1.27,91,"ACE KPOP포커스,TIGER 미디어컨텐츠"
2025-02-06,에스엠,041510,KOSPI,87700,89100,87000,87900,89701,0.0,91,"ACE KPOP포커스,TIGER 미디어컨텐츠"
2025-02-07,에스엠,041510,KOSPI,88400,89400,87400,87600,83063,-0.34,91,"ACE KPOP포커스,TIGER 미디어컨텐츠"
2025-02-10,에스엠,041510,KOSPI,93000,96900,90400,92300,648579,5.37,91,"ACE KPOP포커스,TIGER 미디어컨텐츠"
2025-02-11,에스엠,041510,KOSPI,94500,95200,91100,95000,376637,2.93,91,"ACE KPOP포커스,TIGER 미디어컨텐츠"
2025-02-12,에스엠,041510,KOSPI,95500,95500,91400,93600,199419,-1.47,91,"ACE KPOP포커스,TIGER 미디어컨텐츠"
2025-02-13,에스엠,041510,KOSPI,94000,94100,90500,91400,245488,-2.35,91,"ACE KPOP포커스,TIGER 미디어컨텐츠"
2025-02-14,에스엠,041510,KOSPI,91400,96200,90800,92300,266011,0.98,91,"ACE KPOP포커스,TIGER 미디어컨텐츠"
2025-02-17,에스엠,041510,KOSPI,92200,92200,88100,89200,228314,-3.36,91,"ACE KPOP포커스,TIGER 미디어컨텐츠"
2025-02-18,에스엠,041510,KOSPI,89200,91700,88400,91200,138799,2.24,91,"ACE KPOP포커스,TIGER 미디어컨텐츠"
2025-02-19,에스엠,041510,KOSPI,91400,96600,90100,96500,307376,5.81,91,"ACE KPOP포커스,TIGER 미디어컨텐츠"
2025-02-20,에스엠,041510,KOSPI,106900,107800,98400,101400,1052281,5.08,91,"ACE KPOP포커스,TIGER 미디어컨텐츠"
2025-02-21,에스엠,041510,KOSPI,101400,101400,97200,99500,244318,-1.87,91,"ACE KPOP포커스,TIGER 미디어컨텐츠"
2025-02-24,에스엠,041510,KOSPI,99200,101100,96000,100200,241560,0.7,91,"ACE KPOP포커스,TIGER 미디어컨텐츠"
2025-02-25,에스엠,041510,KOSPI,100000,104700,98400,101900,301282,1.7,91,"ACE KPOP포커스,TIGER 미디어컨텐츠"
2025-02-26,에스엠,041510,KOSPI,101000,102900,99100,99400,150463,-2.45,91,"ACE KPOP포커스,TIGER 미디어컨텐츠"
2025-02-27,에스엠,041510,KOSPI,99400,103200,98600,102000,183825,2.62,91,"ACE KPOP포커스,TIGER 미디어컨텐츠"
2025-02-28,에스엠,041510,KOSPI,100700,104800,100400,100400,255865,-1.57,91,"ACE KPOP포커스,TIGER 미디어컨텐츠"
2025-03-04,에스엠,041510,KOSPI,95500,101600,93900,100900,212425,0.5,91,"ACE KPOP포커스,TIGER 미디어컨텐츠"
