날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,카페24,042000,KOSPI,37450,38450,36750,37800,354526,0.0,96,TIGER 인터넷TOP10
2025-01-21,카페24,042000,KOSPI,38100,39450,37800,38500,374440,1.85,96,TIGER 인터넷TOP10
2025-01-22,카페24,042000,KOSPI,38600,41500,38200,40450,1064754,5.06,96,TIGER 인터넷TOP10
2025-01-23,카페24,042000,KOSPI,40600,41350,39150,39650,371234,-1.98,96,TIGER 인터넷TOP10
2025-01-24,카페24,042000,KOSPI,39700,39750,38000,38900,350905,-1.89,96,TIGER 인터넷TOP10
2025-01-31,카페24,042000,KOSPI,39300,41600,38500,41200,833132,5.91,96,TIGER 인터넷TOP10
2025-02-03,카페24,042000,KOSPI,40300,47750,40200,46850,4100469,13.71,96,TIGER 인터넷TOP10
2025-02-04,카페24,042000,KOSPI,47150,55900,46900,54200,4900972,15.69,96,TIGER 인터넷TOP10
2025-02-05,카페24,042000,KOSPI,54500,56700,53800,56200,1331055,3.69,96,TIGER 인터넷TOP10
2025-02-06,카페24,042000,KOSPI,56500,57100,54500,56300,879669,0.18,96,TIGER 인터넷TOP10
2025-02-07,카페24,042000,KOSPI,55600,58300,54700,57100,976974,1.42,96,TIGER 인터넷TOP10
2025-02-10,카페24,042000,KOSPI,57600,61000,52000,57100,2122411,0.0,96,TIGER 인터넷TOP10
2025-02-11,카페24,042000,KOSPI,57100,60200,56700,59400,825646,4.03,96,TIGER 인터넷TOP10
2025-02-12,카페24,042000,KOSPI,60100,60100,55900,57400,650130,-3.37,96,TIGER 인터넷TOP10
2025-02-13,카페24,042000,KOSPI,57100,59100,56100,57600,558501,0.35,96,TIGER 인터넷TOP10
2025-02-14,카페24,042000,KOSPI,58100,59200,55200,56200,447430,-2.43,96,TIGER 인터넷TOP10
2025-02-17,카페24,042000,KOSPI,56300,59500,55700,58900,499873,4.8,96,TIGER 인터넷TOP10
2025-02-18,카페24,042000,KOSPI,59000,60500,54100,56000,920760,-4.92,96,TIGER 인터넷TOP10
2025-02-19,카페24,042000,KOSPI,55300,56000,53600,54900,473444,-1.96,96,TIGER 인터넷TOP10
2025-02-20,카페24,042000,KOSPI,54300,55000,52600,53100,355096,-3.28,96,TIGER 인터넷TOP10
2025-02-21,카페24,042000,KOSPI,53300,55500,51700,53800,485901,1.32,96,TIGER 인터넷TOP10
2025-02-24,카페24,042000,KOSPI,52400,54300,52400,54200,208060,0.74,96,TIGER 인터넷TOP10
2025-02-25,카페24,042000,KOSPI,53900,55100,52500,53800,282285,-0.74,96,TIGER 인터넷TOP10
2025-02-26,카페24,042000,KOSPI,62100,69700,59400,68500,5084248,27.32,96,TIGER 인터넷TOP10
2025-02-27,카페24,042000,KOSPI,68300,69000,64600,65300,1115185,-4.67,96,TIGER 인터넷TOP10
2025-02-28,카페24,042000,KOSPI,64000,66400,61800,62600,775061,-4.13,96,TIGER 인터넷TOP10
2025-03-04,카페24,042000,KOSPI,62000,62800,60500,62500,501690,-0.16,96,TIGER 인터넷TOP10
2025-03-05,카페24,042000,KOSPI,62500,64000,59400,61400,436078,-1.76,96,TIGER 인터넷TOP10
2025-03-06,카페24,042000,KOSPI,62700,62800,58100,58600,517218,-4.56,96,TIGER 인터넷TOP10
2025-03-07,카페24,042000,KOSPI,57600,58200,54700,55500,621036,-5.29,96,TIGER 인터넷TOP10
2025-03-10,카페24,042000,KOSPI,55100,57700,54600,56000,421459,0.9,96,TIGER 인터넷TOP10
2025-03-11,카페24,042000,KOSPI,53800,55300,52900,54800,261115,-2.14,96,TIGER 인터넷TOP10
2025-03-12,카페24,042000,KOSPI,54200,57700,54200,57400,383203,4.74,96,TIGER 인터넷TOP10
2025-03-13,카페24,042000,KOSPI,57100,58000,54000,54400,369385,-5.23,96,TIGER 인터넷TOP10
2025-03-14,카페24,042000,KOSPI,54400,56400,54200,55700,174914,2.39,96,TIGER 인터넷TOP10
2025-03-17,카페24,042000,KOSPI,56900,58500,55100,56900,295911,2.15,96,TIGER 인터넷TOP10
2025-03-18,카페24,042000,KOSPI,57500,61400,57000,60000,531719,5.45,96,TIGER 인터넷TOP10
2025-03-19,카페24,042000,KOSPI,59200,60900,56600,56800,349933,-5.33,96,TIGER 인터넷TOP10
2025-03-20,카페24,042000,KOSPI,56800,57700,53400,54000,364349,-4.93,96,TIGER 인터넷TOP10
2025-03-21,카페24,042000,KOSPI,53600,54700,51800,53600,289284,-0.74,96,TIGER 인터넷TOP10
