날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,한화오션,042660,KOSPI,49950,52700,49150,51800,5270575,0.0,98,"SOL 조선TOP3플러스,PLUS K방산"
2025-01-21,한화오션,042660,KOSPI,52100,55000,51600,54700,7518296,5.6,98,"SOL 조선TOP3플러스,PLUS K방산"
2025-01-22,한화오션,042660,KOSPI,54700,57200,52500,52900,8793440,-3.29,98,"SOL 조선TOP3플러스,PLUS K방산"
2025-01-23,한화오션,042660,KOSPI,53700,54600,51100,51500,6810660,-2.65,98,"SOL 조선TOP3플러스,PLUS K방산"
2025-01-24,한화오션,042660,KOSPI,51900,57100,51400,56700,10396751,10.1,98,"SOL 조선TOP3플러스,PLUS K방산"
2025-01-31,한화오션,042660,KOSPI,57100,59900,56100,57200,8325636,0.88,98,"SOL 조선TOP3플러스,PLUS K방산"
2025-02-03,한화오션,042660,KOSPI,55700,58700,55600,57100,6004540,-0.17,98,"SOL 조선TOP3플러스,PLUS K방산"
2025-02-04,한화오션,042660,KOSPI,58300,62500,56600,60900,8085340,6.65,98,"SOL 조선TOP3플러스,PLUS K방산"
2025-02-05,한화오션,042660,KOSPI,61500,62500,58400,60000,6764963,-1.48,98,"SOL 조선TOP3플러스,PLUS K방산"
2025-02-06,한화오션,042660,KOSPI,59800,64500,58600,61700,11537056,2.83,98,"SOL 조선TOP3플러스,PLUS K방산"
2025-02-07,한화오션,042660,KOSPI,62100,62500,60500,61900,3919651,0.32,98,"SOL 조선TOP3플러스,PLUS K방산"
2025-02-10,한화오션,042660,KOSPI,62900,64800,57200,58100,7897697,-6.14,98,"SOL 조선TOP3플러스,PLUS K방산"
2025-02-11,한화오션,042660,KOSPI,59900,65500,59500,63300,12693582,8.95,98,"SOL 조선TOP3플러스,PLUS K방산"
2025-02-12,한화오션,042660,KOSPI,65000,74600,64100,72900,18170867,15.17,98,"SOL 조선TOP3플러스,PLUS K방산"
2025-02-13,한화오션,042660,KOSPI,73200,78900,71700,77500,14968130,6.31,98,"SOL 조선TOP3플러스,PLUS K방산"
2025-02-14,한화오션,042660,KOSPI,76300,79500,73900,77900,10139029,0.52,98,"SOL 조선TOP3플러스,PLUS K방산"
2025-02-17,한화오션,042660,KOSPI,76000,80900,75900,77900,6483474,0.0,98,"SOL 조선TOP3플러스,PLUS K방산"
2025-02-18,한화오션,042660,KOSPI,79000,79300,77100,77600,4520559,-0.39,98,"SOL 조선TOP3플러스,PLUS K방산"
2025-02-19,한화오션,042660,KOSPI,77000,81000,75600,78200,8074276,0.77,98,"SOL 조선TOP3플러스,PLUS K방산"
2025-02-20,한화오션,042660,KOSPI,77000,77100,70800,72900,11235969,-6.78,98,"SOL 조선TOP3플러스,PLUS K방산"
2025-02-21,한화오션,042660,KOSPI,70100,74200,69700,73000,5729692,0.14,98,"SOL 조선TOP3플러스,PLUS K방산"
2025-02-24,한화오션,042660,KOSPI,74600,76300,69600,71500,6293340,-2.05,98,"SOL 조선TOP3플러스,PLUS K방산"
2025-02-25,한화오션,042660,KOSPI,70500,75600,70400,75200,5669109,5.17,98,"SOL 조선TOP3플러스,PLUS K방산"
2025-02-26,한화오션,042660,KOSPI,75800,76100,72000,72500,4491348,-3.59,98,"SOL 조선TOP3플러스,PLUS K방산"
2025-02-27,한화오션,042660,KOSPI,73600,75100,72600,74000,4468337,2.07,98,"SOL 조선TOP3플러스,PLUS K방산"
2025-02-28,한화오션,042660,KOSPI,74000,76500,72600,74300,7653204,0.41,98,"SOL 조선TOP3플러스,PLUS K방산"
2025-03-04,한화오션,042660,KOSPI,76900,87200,75700,85100,16811533,14.54,98,"SOL 조선TOP3플러스,PLUS K방산"
2025-03-05,한화오션,042660,KOSPI,83300,84100,77600,80500,10207415,-5.41,98,"SOL 조선TOP3플러스,PLUS K방산"
2025-03-06,한화오션,042660,KOSPI,80600,81200,78500,79700,4122669,-0.99,98,"SOL 조선TOP3플러스,PLUS K방산"
2025-03-07,한화오션,042660,KOSPI,79700,82500,78500,80400,5490438,0.88,98,"SOL 조선TOP3플러스,PLUS K방산"
2025-03-10,한화오션,042660,KOSPI,80400,81100,76900,79800,4357802,-0.75,98,"SOL 조선TOP3플러스,PLUS K방산"
2025-03-11,한화오션,042660,KOSPI,76900,79000,75950,78000,26261988,-2.26,98,"SOL 조선TOP3플러스,PLUS K방산"
2025-03-12,한화오션,042660,KOSPI,77600,78000,70600,71000,9440490,-8.97,98,"SOL 조선TOP3플러스,PLUS K방산"
2025-03-13,한화오션,042660,KOSPI,72100,75100,72100,73500,5571764,3.52,98,"SOL 조선TOP3플러스,PLUS K방산"
2025-03-14,한화오션,042660,KOSPI,74000,75500,72500,74300,2861617,1.09,98,"SOL 조선TOP3플러스,PLUS K방산"
2025-03-17,한화오션,042660,KOSPI,73800,77400,73400,76300,5731492,2.69,98,"SOL 조선TOP3플러스,PLUS K방산"
2025-03-18,한화오션,042660,KOSPI,79100,82200,78600,81400,9087386,6.68,98,"SOL 조선TOP3플러스,PLUS K방산"
