날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,한미반도체,042700,KOSPI,114300,114600,108100,108100,959141,0.0,86,"KODEX 반도체,SOL 반도체후공정"
2025-01-21,한미반도체,042700,KOSPI,109000,114600,109000,113600,1249024,5.09,86,"KODEX 반도체,SOL 반도체후공정"
2025-01-22,한미반도체,042700,KOSPI,114900,127000,114900,126100,3386393,11.0,86,"KODEX 반도체,SOL 반도체후공정"
2025-01-23,한미반도체,042700,KOSPI,124800,126300,121700,121900,1550357,-3.33,86,"KODEX 반도체,SOL 반도체후공정"
2025-01-24,한미반도체,042700,KOSPI,123200,125300,120000,120600,1017256,-1.07,86,"KODEX 반도체,SOL 반도체후공정"
2025-01-31,한미반도체,042700,KOSPI,108000,114200,107900,113200,1615426,-6.14,86,"KODEX 반도체,SOL 반도체후공정"
2025-02-03,한미반도체,042700,KOSPI,108200,108900,105100,106000,1330582,-6.36,86,"KODEX 반도체,SOL 반도체후공정"
2025-02-04,한미반도체,042700,KOSPI,108400,112000,105700,106100,1168101,0.09,86,"KODEX 반도체,SOL 반도체후공정"
2025-02-05,한미반도체,042700,KOSPI,107600,110900,107200,109000,779693,2.73,86,"KODEX 반도체,SOL 반도체후공정"
2025-02-06,한미반도체,042700,KOSPI,113300,114300,108100,108300,880224,-0.64,86,"KODEX 반도체,SOL 반도체후공정"
2025-02-07,한미반도체,042700,KOSPI,109300,109700,105600,106000,765628,-2.12,86,"KODEX 반도체,SOL 반도체후공정"
2025-02-10,한미반도체,042700,KOSPI,101600,101800,97600,99600,1766147,-6.04,86,"KODEX 반도체,SOL 반도체후공정"
2025-02-11,한미반도체,042700,KOSPI,100900,101300,98500,99700,881756,0.1,86,"KODEX 반도체,SOL 반도체후공정"
2025-02-12,한미반도체,042700,KOSPI,98600,99500,97400,98600,665922,-1.1,86,"KODEX 반도체,SOL 반도체후공정"
2025-02-13,한미반도체,042700,KOSPI,100000,103500,98600,99700,1168697,1.12,86,"KODEX 반도체,SOL 반도체후공정"
2025-02-14,한미반도체,042700,KOSPI,101500,102500,99800,100500,857695,0.8,86,"KODEX 반도체,SOL 반도체후공정"
2025-02-17,한미반도체,042700,KOSPI,101400,104100,100700,100900,773797,0.4,86,"KODEX 반도체,SOL 반도체후공정"
2025-02-18,한미반도체,042700,KOSPI,100700,100800,97700,98400,865882,-2.48,86,"KODEX 반도체,SOL 반도체후공정"
2025-02-19,한미반도체,042700,KOSPI,101800,111000,100100,107000,4008194,8.74,86,"KODEX 반도체,SOL 반도체후공정"
2025-02-20,한미반도체,042700,KOSPI,109000,109800,104100,107900,1372885,0.84,86,"KODEX 반도체,SOL 반도체후공정"
2025-02-21,한미반도체,042700,KOSPI,108500,108600,105200,105900,693046,-1.85,86,"KODEX 반도체,SOL 반도체후공정"
2025-02-24,한미반도체,042700,KOSPI,101800,102400,99300,100900,1013179,-4.72,86,"KODEX 반도체,SOL 반도체후공정"
2025-02-25,한미반도체,042700,KOSPI,98600,100500,98400,100200,493835,-0.69,86,"KODEX 반도체,SOL 반도체후공정"
2025-02-26,한미반도체,042700,KOSPI,99500,102300,99100,100400,778521,0.2,86,"KODEX 반도체,SOL 반도체후공정"
2025-02-27,한미반도체,042700,KOSPI,103500,103600,99700,100000,783896,-0.4,86,"KODEX 반도체,SOL 반도체후공정"
2025-02-28,한미반도체,042700,KOSPI,95100,96000,91900,93500,1375402,-6.5,86,"KODEX 반도체,SOL 반도체후공정"
2025-03-04,한미반도체,042700,KOSPI,89500,90800,88800,90200,791986,-3.53,86,"KODEX 반도체,SOL 반도체후공정"
2025-03-05,한미반도체,042700,KOSPI,91200,92800,90000,91000,667542,0.89,86,"KODEX 반도체,SOL 반도체후공정"
2025-03-06,한미반도체,042700,KOSPI,91100,91700,87000,87300,884594,-4.07,86,"KODEX 반도체,SOL 반도체후공정"
2025-03-07,한미반도체,042700,KOSPI,86100,88300,84800,87400,668313,0.11,86,"KODEX 반도체,SOL 반도체후공정"
2025-03-10,한미반도체,042700,KOSPI,86000,88700,85800,87400,494106,0.0,86,"KODEX 반도체,SOL 반도체후공정"
2025-03-11,한미반도체,042700,KOSPI,83000,87000,82400,86100,664444,-1.49,86,"KODEX 반도체,SOL 반도체후공정"
2025-03-12,한미반도체,042700,KOSPI,87400,90400,87000,90400,748637,4.99,86,"KODEX 반도체,SOL 반도체후공정"
2025-03-13,한미반도체,042700,KOSPI,91700,92400,88000,91000,968691,0.66,86,"KODEX 반도체,SOL 반도체후공정"
2025-03-14,한미반도체,042700,KOSPI,89700,90300,87600,87800,862579,-3.52,86,"KODEX 반도체,SOL 반도체후공정"
2025-03-17,한미반도체,042700,KOSPI,88700,89900,87100,87100,804864,-0.8,86,"KODEX 반도체,SOL 반도체후공정"
2025-03-18,한미반도체,042700,KOSPI,87600,91800,87600,88400,1080731,1.49,86,"KODEX 반도체,SOL 반도체후공정"
