날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,한국항공우주,047810,KOSPI,54100,54900,53400,53800,487846,0.0,93,"PLUS K방산,TIGER 우주방산"
2025-01-21,한국항공우주,047810,KOSPI,54500,55700,53800,54200,684657,0.74,93,"PLUS K방산,TIGER 우주방산"
2025-01-22,한국항공우주,047810,KOSPI,54700,55000,53200,53600,615576,-1.11,93,"PLUS K방산,TIGER 우주방산"
2025-01-23,한국항공우주,047810,KOSPI,53600,53900,52300,52500,603776,-2.05,93,"PLUS K방산,TIGER 우주방산"
2025-01-24,한국항공우주,047810,KOSPI,52600,53600,52500,53400,522744,1.71,93,"PLUS K방산,TIGER 우주방산"
2025-01-31,한국항공우주,047810,KOSPI,53900,54100,52800,53300,526308,-0.19,93,"PLUS K방산,TIGER 우주방산"
2025-02-03,한국항공우주,047810,KOSPI,52500,52800,50600,51000,688204,-4.32,93,"PLUS K방산,TIGER 우주방산"
2025-02-04,한국항공우주,047810,KOSPI,51300,52900,51100,52200,539236,2.35,93,"PLUS K방산,TIGER 우주방산"
2025-02-05,한국항공우주,047810,KOSPI,52500,52700,51800,52300,337503,0.19,93,"PLUS K방산,TIGER 우주방산"
2025-02-06,한국항공우주,047810,KOSPI,52500,52600,51700,52200,696896,-0.19,93,"PLUS K방산,TIGER 우주방산"
2025-02-07,한국항공우주,047810,KOSPI,51800,52800,51400,51700,883097,-0.96,93,"PLUS K방산,TIGER 우주방산"
2025-02-10,한국항공우주,047810,KOSPI,51400,51500,49900,49950,1484580,-3.38,93,"PLUS K방산,TIGER 우주방산"
2025-02-11,한국항공우주,047810,KOSPI,50200,50400,49050,49850,1393310,-0.2,93,"PLUS K방산,TIGER 우주방산"
2025-02-12,한국항공우주,047810,KOSPI,50300,54400,49950,54000,3617556,8.32,93,"PLUS K방산,TIGER 우주방산"
2025-02-13,한국항공우주,047810,KOSPI,53700,55400,52800,55000,1894298,1.85,93,"PLUS K방산,TIGER 우주방산"
2025-02-14,한국항공우주,047810,KOSPI,55000,55100,53900,54800,944108,-0.36,93,"PLUS K방산,TIGER 우주방산"
2025-02-17,한국항공우주,047810,KOSPI,54900,54900,53700,54300,1214092,-0.91,93,"PLUS K방산,TIGER 우주방산"
2025-02-18,한국항공우주,047810,KOSPI,54900,60200,54800,58300,4402358,7.37,93,"PLUS K방산,TIGER 우주방산"
2025-02-19,한국항공우주,047810,KOSPI,58500,59000,57200,58300,1519421,0.0,93,"PLUS K방산,TIGER 우주방산"
2025-02-20,한국항공우주,047810,KOSPI,58300,67200,57000,62400,8152864,7.03,93,"PLUS K방산,TIGER 우주방산"
2025-02-21,한국항공우주,047810,KOSPI,61300,63700,61100,61700,2115570,-1.12,93,"PLUS K방산,TIGER 우주방산"
2025-02-24,한국항공우주,047810,KOSPI,60600,61900,59200,59900,1078251,-2.92,93,"PLUS K방산,TIGER 우주방산"
2025-02-25,한국항공우주,047810,KOSPI,59000,60900,58500,60400,929082,0.83,93,"PLUS K방산,TIGER 우주방산"
2025-02-26,한국항공우주,047810,KOSPI,60300,61700,59600,60000,767761,-0.66,93,"PLUS K방산,TIGER 우주방산"
2025-02-27,한국항공우주,047810,KOSPI,59900,66400,59800,65100,4790019,8.5,93,"PLUS K방산,TIGER 우주방산"
2025-02-28,한국항공우주,047810,KOSPI,64200,65600,62600,63100,1942088,-3.07,93,"PLUS K방산,TIGER 우주방산"
2025-03-04,한국항공우주,047810,KOSPI,64200,68000,64200,67700,3412801,7.29,93,"PLUS K방산,TIGER 우주방산"
2025-03-05,한국항공우주,047810,KOSPI,66700,69900,66500,69500,2501713,2.66,93,"PLUS K방산,TIGER 우주방산"
2025-03-06,한국항공우주,047810,KOSPI,69500,79000,69400,76400,5971628,9.93,93,"PLUS K방산,TIGER 우주방산"
2025-03-07,한국항공우주,047810,KOSPI,76000,80000,74600,79700,3321429,4.32,93,"PLUS K방산,TIGER 우주방산"
2025-03-10,한국항공우주,047810,KOSPI,79900,84800,79300,83800,3695949,5.14,93,"PLUS K방산,TIGER 우주방산"
2025-03-11,한국항공우주,047810,KOSPI,81600,85400,81200,85000,2090585,1.43,93,"PLUS K방산,TIGER 우주방산"
2025-03-12,한국항공우주,047810,KOSPI,85400,86700,79500,82000,2862334,-3.53,93,"PLUS K방산,TIGER 우주방산"
2025-03-13,한국항공우주,047810,KOSPI,83300,87900,82100,84300,2747199,2.8,93,"PLUS K방산,TIGER 우주방산"
2025-03-14,한국항공우주,047810,KOSPI,85000,87400,84100,85700,1249494,1.66,93,"PLUS K방산,TIGER 우주방산"
2025-03-17,한국항공우주,047810,KOSPI,85600,95600,85500,95000,4066136,10.85,93,"PLUS K방산,TIGER 우주방산"
2025-03-18,한국항공우주,047810,KOSPI,97100,98000,85000,85000,5782025,-10.53,93,"PLUS K방산,TIGER 우주방산"
2025-03-19,한국항공우주,047810,KOSPI,86700,91600,86600,88600,3830778,4.24,93,"PLUS K방산,TIGER 우주방산"
2025-03-20,한국항공우주,047810,KOSPI,87800,88500,84100,85900,2077408,-3.05,93,"PLUS K방산,TIGER 우주방산"
2025-03-21,한국항공우주,047810,KOSPI,82700,86000,82000,84700,2153709,-1.4,93,"PLUS K방산,TIGER 우주방산"
