날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,LG생활건강,051900,KOSPI,303000,303500,294500,296000,75679,0.0,56,HANARO K-뷰티
2025-01-21,LG생활건강,051900,KOSPI,297500,300000,295500,297500,35102,0.51,56,HANARO K-뷰티
2025-01-22,LG생활건강,051900,KOSPI,299000,302500,299000,301000,38342,1.18,56,HANARO K-뷰티
2025-01-23,LG생활건강,051900,KOSPI,301500,301500,298000,298000,34264,-1.0,56,HANARO K-뷰티
2025-01-24,LG생활건강,051900,KOSPI,298000,300000,297000,297500,21102,-0.17,56,HANARO K-뷰티
2025-01-31,LG생활건강,051900,KOSPI,301500,308000,300500,307000,65067,3.19,56,HANARO K-뷰티
2025-02-03,LG생활건강,051900,KOSPI,302500,302500,296000,300500,52013,-2.12,56,HANARO K-뷰티
2025-02-04,LG생활건강,051900,KOSPI,301000,304000,295000,296000,38979,-1.5,56,HANARO K-뷰티
2025-02-05,LG생활건강,051900,KOSPI,301500,311500,300500,311000,80537,5.07,56,HANARO K-뷰티
2025-02-06,LG생활건강,051900,KOSPI,310000,311500,307000,309000,22259,-0.64,56,HANARO K-뷰티
2025-02-07,LG생활건강,051900,KOSPI,307500,312500,303000,309500,29211,0.16,56,HANARO K-뷰티
2025-02-10,LG생활건강,051900,KOSPI,309500,311000,302000,304000,32081,-1.78,56,HANARO K-뷰티
2025-02-11,LG생활건강,051900,KOSPI,305500,310500,305000,309500,26903,1.81,56,HANARO K-뷰티
2025-02-12,LG생활건강,051900,KOSPI,310000,310000,305500,309000,19185,-0.16,56,HANARO K-뷰티
2025-02-13,LG생활건강,051900,KOSPI,308500,316000,307000,316000,64159,2.27,56,HANARO K-뷰티
2025-02-14,LG생활건강,051900,KOSPI,316000,316000,308500,309000,33023,-2.22,56,HANARO K-뷰티
2025-02-17,LG생활건강,051900,KOSPI,310500,316500,309500,315000,29107,1.94,56,HANARO K-뷰티
2025-02-18,LG생활건강,051900,KOSPI,315000,315500,310000,312000,22597,-0.95,56,HANARO K-뷰티
2025-02-19,LG생활건강,051900,KOSPI,311500,316500,311500,315500,29458,1.12,56,HANARO K-뷰티
2025-02-20,LG생활건강,051900,KOSPI,325000,344000,322500,335000,201842,6.18,56,HANARO K-뷰티
2025-02-21,LG생활건강,051900,KOSPI,339000,339000,328000,330000,51357,-1.49,56,HANARO K-뷰티
2025-02-24,LG생활건강,051900,KOSPI,327000,329500,324500,327000,27441,-0.91,56,HANARO K-뷰티
2025-02-25,LG생활건강,051900,KOSPI,327000,328000,320000,320500,33031,-1.99,56,HANARO K-뷰티
2025-02-26,LG생활건강,051900,KOSPI,321000,322500,315500,321000,54045,0.16,56,HANARO K-뷰티
2025-02-27,LG생활건강,051900,KOSPI,321500,323000,316500,320500,54177,-0.16,56,HANARO K-뷰티
2025-02-28,LG생활건강,051900,KOSPI,319000,323000,315000,319500,109360,-0.31,56,HANARO K-뷰티
2025-03-04,LG생활건강,051900,KOSPI,316500,326500,316500,319500,67347,0.0,56,HANARO K-뷰티
2025-03-05,LG생활건강,051900,KOSPI,323000,325500,315500,316500,67735,-0.94,56,HANARO K-뷰티
2025-03-06,LG생활건강,051900,KOSPI,317500,319000,315500,318500,34229,0.63,56,HANARO K-뷰티
2025-03-07,LG생활건강,051900,KOSPI,317000,321000,315000,319500,34955,0.31,56,HANARO K-뷰티
2025-03-10,LG생활건강,051900,KOSPI,319500,324500,317000,319000,33158,-0.16,56,HANARO K-뷰티
2025-03-11,LG생활건강,051900,KOSPI,310000,324500,308000,323000,68787,1.25,56,HANARO K-뷰티
2025-03-12,LG생활건강,051900,KOSPI,323000,332500,320500,330000,44548,2.17,56,HANARO K-뷰티
2025-03-13,LG생활건강,051900,KOSPI,331000,331500,321500,327000,99691,-0.91,56,HANARO K-뷰티
2025-03-14,LG생활건강,051900,KOSPI,326000,332500,323000,327000,21517,0.0,56,HANARO K-뷰티
2025-03-17,LG생활건강,051900,KOSPI,330000,330000,325500,328000,26434,0.31,56,HANARO K-뷰티
2025-03-18,LG생활건강,051900,KOSPI,329000,330000,324500,325000,22618,-0.91,56,HANARO K-뷰티
