날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,LG화학,051910,KOSPI,247000,253500,246500,252500,246145,0.0,8,"TIGER 200 에너지화학,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-01-21,LG화학,051910,KOSPI,250500,252500,238000,240500,260411,-4.75,8,"TIGER 200 에너지화학,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-01-22,LG화학,051910,KOSPI,242000,249000,241500,246000,203935,2.29,8,"TIGER 200 에너지화학,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-01-23,LG화학,051910,KOSPI,244500,244500,239500,240500,174612,-2.24,8,"TIGER 200 에너지화학,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-01-24,LG화학,051910,KOSPI,241000,242500,237000,239500,205167,-0.42,8,"TIGER 200 에너지화학,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-01-31,LG화학,051910,KOSPI,242000,242000,236000,237500,257381,-0.84,8,"TIGER 200 에너지화학,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-02-03,LG화학,051910,KOSPI,234500,234500,221500,222000,339676,-6.53,8,"TIGER 200 에너지화학,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-02-04,LG화학,051910,KOSPI,222500,223000,211500,213000,670959,-4.05,8,"TIGER 200 에너지화학,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-02-05,LG화학,051910,KOSPI,213500,224500,213500,221500,499007,3.99,8,"TIGER 200 에너지화학,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-02-06,LG화학,051910,KOSPI,219500,222000,217000,222000,224642,0.23,8,"TIGER 200 에너지화학,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-02-07,LG화학,051910,KOSPI,220000,224500,216000,217000,322872,-2.25,8,"TIGER 200 에너지화학,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-02-10,LG화학,051910,KOSPI,214000,222000,208000,221000,437549,1.84,8,"TIGER 200 에너지화학,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-02-11,LG화학,051910,KOSPI,222000,226000,218000,221500,205949,0.23,8,"TIGER 200 에너지화학,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-02-12,LG화학,051910,KOSPI,222500,225500,218500,220000,209801,-0.68,8,"TIGER 200 에너지화학,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-02-13,LG화학,051910,KOSPI,220500,231000,220500,229500,486366,4.32,8,"TIGER 200 에너지화학,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-02-14,LG화학,051910,KOSPI,231000,232000,226500,227500,201032,-0.87,8,"TIGER 200 에너지화학,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-02-17,LG화학,051910,KOSPI,227500,241500,227500,237500,342695,4.4,8,"TIGER 200 에너지화학,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-02-18,LG화학,051910,KOSPI,238000,240500,236500,239000,192906,0.63,8,"TIGER 200 에너지화학,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-02-19,LG화학,051910,KOSPI,238000,249500,238000,245500,342081,2.72,8,"TIGER 200 에너지화학,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-02-20,LG화학,051910,KOSPI,245000,250000,244000,246500,296350,0.41,8,"TIGER 200 에너지화학,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-02-21,LG화학,051910,KOSPI,246500,254000,244500,251000,289285,1.83,8,"TIGER 200 에너지화학,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-02-24,LG화학,051910,KOSPI,249000,258000,247500,255500,245505,1.79,8,"TIGER 200 에너지화학,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-02-25,LG화학,051910,KOSPI,253500,255000,248000,248500,196297,-2.74,8,"TIGER 200 에너지화학,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-02-26,LG화학,051910,KOSPI,245000,254000,245000,252000,190782,1.41,8,"TIGER 200 에너지화학,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-02-27,LG화학,051910,KOSPI,250500,252500,247500,251000,147558,-0.4,8,"TIGER 200 에너지화학,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-02-28,LG화학,051910,KOSPI,245500,246500,233000,234500,498771,-6.57,8,"TIGER 200 에너지화학,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-03-04,LG화학,051910,KOSPI,231000,232500,225500,227500,344750,-2.99,8,"TIGER 200 에너지화학,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-03-05,LG화학,051910,KOSPI,229500,235500,223500,230500,307884,1.32,8,"TIGER 200 에너지화학,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-03-06,LG화학,051910,KOSPI,233000,240000,231000,233000,201278,1.08,8,"TIGER 200 에너지화학,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-03-07,LG화학,051910,KOSPI,229500,255500,228000,250500,762489,7.51,8,"TIGER 200 에너지화학,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-03-10,LG화학,051910,KOSPI,254000,254500,240500,247000,306897,-1.4,8,"TIGER 200 에너지화학,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-03-11,LG화학,051910,KOSPI,237500,246000,236000,238000,247839,-3.64,8,"TIGER 200 에너지화학,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-03-12,LG화학,051910,KOSPI,240000,253500,238000,251000,309456,5.46,8,"TIGER 200 에너지화학,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-03-13,LG화학,051910,KOSPI,254000,254000,242500,242500,311370,-3.39,8,"TIGER 200 에너지화학,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-03-14,LG화학,051910,KOSPI,242500,245500,230000,231000,402574,-4.74,8,"TIGER 200 에너지화학,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-03-17,LG화학,051910,KOSPI,233500,240500,232500,235000,214597,1.73,8,"TIGER 200 에너지화학,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-03-18,LG화학,051910,KOSPI,237500,243000,231500,231500,222768,-1.49,8,"TIGER 200 에너지화학,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
