날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,신한지주,055550,KOSPI,49600,50500,49600,49950,783496,0.0,54,"TIGER 200 금융,KODEX 은행"
2025-01-21,신한지주,055550,KOSPI,50100,50400,49550,49750,740714,-0.4,54,"TIGER 200 금융,KODEX 은행"
2025-01-22,신한지주,055550,KOSPI,50200,50600,50000,50000,932267,0.5,54,"TIGER 200 금융,KODEX 은행"
2025-01-23,신한지주,055550,KOSPI,50400,51300,50000,50300,1215307,0.6,54,"TIGER 200 금융,KODEX 은행"
2025-01-24,신한지주,055550,KOSPI,50500,50600,49700,50000,1098318,-0.6,54,"TIGER 200 금융,KODEX 은행"
2025-01-31,신한지주,055550,KOSPI,51000,51900,50700,51100,1386966,2.2,54,"TIGER 200 금융,KODEX 은행"
2025-02-03,신한지주,055550,KOSPI,51300,51400,49800,50200,1136445,-1.76,54,"TIGER 200 금융,KODEX 은행"
2025-02-04,신한지주,055550,KOSPI,50300,51300,50100,51000,1082282,1.59,54,"TIGER 200 금융,KODEX 은행"
2025-02-05,신한지주,055550,KOSPI,51200,52000,50600,50700,1164141,-0.59,54,"TIGER 200 금융,KODEX 은행"
2025-02-06,신한지주,055550,KOSPI,50400,50600,49000,50000,1632445,-1.38,54,"TIGER 200 금융,KODEX 은행"
2025-02-07,신한지주,055550,KOSPI,49900,50300,49150,49250,1097705,-1.5,54,"TIGER 200 금융,KODEX 은행"
2025-02-10,신한지주,055550,KOSPI,48900,49850,48800,49400,1068542,0.3,54,"TIGER 200 금융,KODEX 은행"
2025-02-11,신한지주,055550,KOSPI,49450,49750,48850,49100,812888,-0.61,54,"TIGER 200 금융,KODEX 은행"
2025-02-12,신한지주,055550,KOSPI,48750,49450,48600,48600,1261936,-1.02,54,"TIGER 200 금융,KODEX 은행"
2025-02-13,신한지주,055550,KOSPI,48450,49000,48400,48450,2128957,-0.31,54,"TIGER 200 금융,KODEX 은행"
2025-02-14,신한지주,055550,KOSPI,47500,48550,47500,48350,1527922,-0.21,54,"TIGER 200 금융,KODEX 은행"
2025-02-17,신한지주,055550,KOSPI,48300,48750,47950,48450,880421,0.21,54,"TIGER 200 금융,KODEX 은행"
2025-02-18,신한지주,055550,KOSPI,48350,48800,48250,48450,1384205,0.0,54,"TIGER 200 금융,KODEX 은행"
2025-02-19,신한지주,055550,KOSPI,48650,49050,48450,48450,1930383,0.0,54,"TIGER 200 금융,KODEX 은행"
2025-02-20,신한지주,055550,KOSPI,48050,48200,46650,47300,3083547,-2.37,54,"TIGER 200 금융,KODEX 은행"
2025-02-21,신한지주,055550,KOSPI,47800,48450,47500,47650,2423401,0.74,54,"TIGER 200 금융,KODEX 은행"
2025-02-24,신한지주,055550,KOSPI,47550,47650,46200,47200,1666686,-0.94,54,"TIGER 200 금융,KODEX 은행"
2025-02-25,신한지주,055550,KOSPI,46700,47000,46300,46350,1708278,-1.8,54,"TIGER 200 금융,KODEX 은행"
2025-02-26,신한지주,055550,KOSPI,46350,47800,46300,47550,1987758,2.59,54,"TIGER 200 금융,KODEX 은행"
2025-02-27,신한지주,055550,KOSPI,47400,47850,47050,47500,1258650,-0.11,54,"TIGER 200 금융,KODEX 은행"
2025-02-28,신한지주,055550,KOSPI,46600,47300,45850,45850,3070901,-3.47,54,"TIGER 200 금융,KODEX 은행"
2025-03-04,신한지주,055550,KOSPI,46400,47100,45950,46150,1570129,0.65,54,"TIGER 200 금융,KODEX 은행"
2025-03-05,신한지주,055550,KOSPI,46350,46600,44400,44650,1969675,-3.25,54,"TIGER 200 금융,KODEX 은행"
2025-03-06,신한지주,055550,KOSPI,45200,46600,45200,46350,1925797,3.81,54,"TIGER 200 금융,KODEX 은행"
2025-03-07,신한지주,055550,KOSPI,45750,46250,44900,45000,1803119,-2.91,54,"TIGER 200 금융,KODEX 은행"
2025-03-10,신한지주,055550,KOSPI,45050,46050,44900,45600,968529,1.33,54,"TIGER 200 금융,KODEX 은행"
2025-03-11,신한지주,055550,KOSPI,44900,45400,44700,45000,1316172,-1.32,54,"TIGER 200 금융,KODEX 은행"
2025-03-12,신한지주,055550,KOSPI,45000,45550,44750,45150,1183350,0.33,54,"TIGER 200 금융,KODEX 은행"
2025-03-13,신한지주,055550,KOSPI,45250,46600,45250,45850,1607399,1.55,54,"TIGER 200 금융,KODEX 은행"
2025-03-14,신한지주,055550,KOSPI,45400,46400,45200,45700,1036479,-0.33,54,"TIGER 200 금융,KODEX 은행"
2025-03-17,신한지주,055550,KOSPI,46100,46600,45900,46550,1005906,1.86,54,"TIGER 200 금융,KODEX 은행"
2025-03-18,신한지주,055550,KOSPI,46700,47500,46500,46550,1051074,0.0,54,"TIGER 200 금융,KODEX 은행"
