날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,리노공업,058470,KOSPI,208500,208500,203500,204000,39071,0.0,84,"KODEX 반도체,SOL 반도체후공정"
2025-01-21,리노공업,058470,KOSPI,209000,219000,208000,218500,148049,7.11,84,"KODEX 반도체,SOL 반도체후공정"
2025-01-22,리노공업,058470,KOSPI,221000,223500,216500,219500,103418,0.46,84,"KODEX 반도체,SOL 반도체후공정"
2025-01-23,리노공업,058470,KOSPI,222000,223000,212500,214500,88145,-2.28,84,"KODEX 반도체,SOL 반도체후공정"
2025-01-24,리노공업,058470,KOSPI,216500,225000,215500,215500,74967,0.47,84,"KODEX 반도체,SOL 반도체후공정"
2025-01-31,리노공업,058470,KOSPI,205000,218000,200000,214500,87498,-0.46,84,"KODEX 반도체,SOL 반도체후공정"
2025-02-03,리노공업,058470,KOSPI,204000,211000,204000,208500,84249,-2.8,84,"KODEX 반도체,SOL 반도체후공정"
2025-02-04,리노공업,058470,KOSPI,214500,214500,202000,202500,69539,-2.88,84,"KODEX 반도체,SOL 반도체후공정"
2025-02-05,리노공업,058470,KOSPI,202500,208000,200000,203000,41884,0.25,84,"KODEX 반도체,SOL 반도체후공정"
2025-02-06,리노공업,058470,KOSPI,206500,217500,206000,216000,125232,6.4,84,"KODEX 반도체,SOL 반도체후공정"
2025-02-07,리노공업,058470,KOSPI,218000,219500,211500,215500,77150,-0.23,84,"KODEX 반도체,SOL 반도체후공정"
2025-02-10,리노공업,058470,KOSPI,210000,228000,209000,226500,117352,5.1,84,"KODEX 반도체,SOL 반도체후공정"
2025-02-11,리노공업,058470,KOSPI,229000,236000,223000,227500,153329,0.44,84,"KODEX 반도체,SOL 반도체후공정"
2025-02-12,리노공업,058470,KOSPI,227500,233000,223000,230000,69328,1.1,84,"KODEX 반도체,SOL 반도체후공정"
2025-02-13,리노공업,058470,KOSPI,232000,235000,227000,230500,90562,0.22,84,"KODEX 반도체,SOL 반도체후공정"
2025-02-14,리노공업,058470,KOSPI,230500,231500,223000,225000,83763,-2.39,84,"KODEX 반도체,SOL 반도체후공정"
2025-02-17,리노공업,058470,KOSPI,225000,230500,222000,227000,70036,0.89,84,"KODEX 반도체,SOL 반도체후공정"
2025-02-18,리노공업,058470,KOSPI,226500,234000,225000,233500,69582,2.86,84,"KODEX 반도체,SOL 반도체후공정"
2025-02-19,리노공업,058470,KOSPI,230000,235500,229000,230000,67538,-1.5,84,"KODEX 반도체,SOL 반도체후공정"
2025-02-20,리노공업,058470,KOSPI,227000,230000,223000,226000,65829,-1.74,84,"KODEX 반도체,SOL 반도체후공정"
2025-02-21,리노공업,058470,KOSPI,226000,229000,220000,227500,54951,0.66,84,"KODEX 반도체,SOL 반도체후공정"
2025-02-24,리노공업,058470,KOSPI,223000,225000,219000,225000,51836,-1.1,84,"KODEX 반도체,SOL 반도체후공정"
2025-02-25,리노공업,058470,KOSPI,220000,222000,215000,218500,62862,-2.89,84,"KODEX 반도체,SOL 반도체후공정"
2025-02-26,리노공업,058470,KOSPI,218000,222500,216500,219000,41074,0.23,84,"KODEX 반도체,SOL 반도체후공정"
2025-02-27,리노공업,058470,KOSPI,221500,228000,218000,219500,66983,0.23,84,"KODEX 반도체,SOL 반도체후공정"
2025-02-28,리노공업,058470,KOSPI,212000,214500,206500,208500,97254,-5.01,84,"KODEX 반도체,SOL 반도체후공정"
2025-03-04,리노공업,058470,KOSPI,202500,206500,199900,203500,92499,-2.4,84,"KODEX 반도체,SOL 반도체후공정"
2025-03-05,리노공업,058470,KOSPI,205500,208000,203500,206000,42504,1.23,84,"KODEX 반도체,SOL 반도체후공정"
2025-03-06,리노공업,058470,KOSPI,208000,208500,189300,190100,193639,-7.72,84,"KODEX 반도체,SOL 반도체후공정"
2025-03-07,리노공업,058470,KOSPI,189700,199400,187800,198500,97970,4.42,84,"KODEX 반도체,SOL 반도체후공정"
2025-03-10,리노공업,058470,KOSPI,196600,198400,193500,193500,49210,-2.52,84,"KODEX 반도체,SOL 반도체후공정"
2025-03-11,리노공업,058470,KOSPI,188300,194200,185200,192600,95981,-0.47,84,"KODEX 반도체,SOL 반도체후공정"
2025-03-12,리노공업,058470,KOSPI,198200,214500,197500,211500,172776,9.81,84,"KODEX 반도체,SOL 반도체후공정"
2025-03-13,리노공업,058470,KOSPI,214000,217500,206500,207500,105703,-1.89,84,"KODEX 반도체,SOL 반도체후공정"
2025-03-14,리노공업,058470,KOSPI,208500,220000,208500,217000,102234,4.58,84,"KODEX 반도체,SOL 반도체후공정"
2025-03-17,리노공업,058470,KOSPI,219000,223000,216500,220000,89568,1.38,84,"KODEX 반도체,SOL 반도체후공정"
2025-03-18,리노공업,058470,KOSPI,218000,220000,210500,212500,75121,-3.41,84,"KODEX 반도체,SOL 반도체후공정"
