날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-22,현대로템,064350,KOSPI,58200,58300,56500,57700,1065227,0.0,96,"PLUS K방산,TIGER 우주방산"
2025-01-23,현대로템,064350,KOSPI,57600,58600,56100,56500,887769,-2.08,96,"PLUS K방산,TIGER 우주방산"
2025-01-24,현대로템,064350,KOSPI,56900,59600,56800,59200,1603087,4.78,96,"PLUS K방산,TIGER 우주방산"
2025-01-31,현대로템,064350,KOSPI,59600,59900,58300,59200,840667,0.0,96,"PLUS K방산,TIGER 우주방산"
2025-02-03,현대로템,064350,KOSPI,58300,58400,56200,56900,777952,-3.89,96,"PLUS K방산,TIGER 우주방산"
2025-02-04,현대로템,064350,KOSPI,58000,60700,57900,59800,1352416,5.1,96,"PLUS K방산,TIGER 우주방산"
2025-02-05,현대로템,064350,KOSPI,60400,61300,59200,61100,882387,2.17,96,"PLUS K방산,TIGER 우주방산"
2025-02-06,현대로템,064350,KOSPI,60800,73000,57200,71500,8837883,17.02,96,"PLUS K방산,TIGER 우주방산"
2025-02-07,현대로템,064350,KOSPI,74000,81100,73700,79600,6552761,11.33,96,"PLUS K방산,TIGER 우주방산"
2025-02-10,현대로템,064350,KOSPI,79900,81800,77800,78700,2566621,-1.13,96,"PLUS K방산,TIGER 우주방산"
2025-02-11,현대로템,064350,KOSPI,80000,80600,75800,78800,2582965,0.13,96,"PLUS K방산,TIGER 우주방산"
2025-02-12,현대로템,064350,KOSPI,78400,82600,78100,81300,3130748,3.17,96,"PLUS K방산,TIGER 우주방산"
2025-02-13,현대로템,064350,KOSPI,80000,80700,77500,79900,2352517,-1.72,96,"PLUS K방산,TIGER 우주방산"
2025-02-14,현대로템,064350,KOSPI,80000,84000,78600,82900,3196044,3.75,96,"PLUS K방산,TIGER 우주방산"
2025-02-17,현대로템,064350,KOSPI,82900,85900,81700,83800,1932283,1.09,96,"PLUS K방산,TIGER 우주방산"
2025-02-18,현대로템,064350,KOSPI,86800,91100,86800,89700,3861327,7.04,96,"PLUS K방산,TIGER 우주방산"
2025-02-19,현대로템,064350,KOSPI,89700,89800,85100,85700,2055104,-4.46,96,"PLUS K방산,TIGER 우주방산"
2025-02-20,현대로템,064350,KOSPI,85100,88900,83900,87000,2101980,1.52,96,"PLUS K방산,TIGER 우주방산"
2025-02-21,현대로템,064350,KOSPI,86200,94500,83600,91000,4015507,4.6,96,"PLUS K방산,TIGER 우주방산"
2025-02-24,현대로템,064350,KOSPI,89000,89900,84700,86200,1168781,-5.27,96,"PLUS K방산,TIGER 우주방산"
2025-02-25,현대로템,064350,KOSPI,84800,90500,81800,89100,1535388,3.36,96,"PLUS K방산,TIGER 우주방산"
2025-02-26,현대로템,064350,KOSPI,93100,94300,85000,85600,1695145,-3.93,96,"PLUS K방산,TIGER 우주방산"
2025-02-27,현대로템,064350,KOSPI,88400,88500,82200,82600,1532945,-3.5,96,"PLUS K방산,TIGER 우주방산"
2025-02-28,현대로템,064350,KOSPI,81900,84500,78200,78200,1679929,-5.33,96,"PLUS K방산,TIGER 우주방산"
2025-03-04,현대로템,064350,KOSPI,82600,87500,81500,86700,1820289,10.87,96,"PLUS K방산,TIGER 우주방산"
2025-03-05,현대로템,064350,KOSPI,85800,88700,83800,87400,1148048,0.81,96,"PLUS K방산,TIGER 우주방산"
2025-03-06,현대로템,064350,KOSPI,89500,90600,87000,88800,1046989,1.6,96,"PLUS K방산,TIGER 우주방산"
2025-03-07,현대로템,064350,KOSPI,88100,90800,86500,89700,1009113,1.01,96,"PLUS K방산,TIGER 우주방산"
2025-03-10,현대로템,064350,KOSPI,93000,94300,89200,92300,1501877,2.9,96,"PLUS K방산,TIGER 우주방산"
2025-03-11,현대로템,064350,KOSPI,88800,93000,88400,92200,1264062,-0.11,96,"PLUS K방산,TIGER 우주방산"
2025-03-12,현대로템,064350,KOSPI,95000,102500,92500,94300,5182304,2.28,96,"PLUS K방산,TIGER 우주방산"
2025-03-13,현대로템,064350,KOSPI,96700,104800,96500,104000,4785074,10.29,96,"PLUS K방산,TIGER 우주방산"
2025-03-14,현대로템,064350,KOSPI,102400,103900,99500,101600,1840362,-2.31,96,"PLUS K방산,TIGER 우주방산"
2025-03-17,현대로템,064350,KOSPI,103700,109300,102200,109000,2334779,7.28,96,"PLUS K방산,TIGER 우주방산"
2025-03-18,현대로템,064350,KOSPI,109000,110900,105100,110900,1842642,1.74,96,"PLUS K방산,TIGER 우주방산"
2025-03-19,현대로템,064350,KOSPI,112800,116800,110000,112500,2273077,1.44,96,"PLUS K방산,TIGER 우주방산"
2025-03-20,현대로템,064350,KOSPI,110100,111300,106100,108500,2205811,-3.56,96,"PLUS K방산,TIGER 우주방산"
2025-03-21,현대로템,064350,KOSPI,103500,113000,103500,111500,2431663,2.76,96,"PLUS K방산,TIGER 우주방산"
