날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,셀트리온,068270,KOSPI,179200,181400,177200,180700,457324,0.0,70,"TIGER 200 헬스케어,TIMEFOLIO K바이오액티브,KODEX 200,KIWOOM 의료AI"
2025-01-21,셀트리온,068270,KOSPI,180600,182800,178700,179700,389726,-0.55,70,"TIGER 200 헬스케어,TIMEFOLIO K바이오액티브,KODEX 200,KIWOOM 의료AI"
2025-01-22,셀트리온,068270,KOSPI,180100,181900,179300,180500,433481,0.45,70,"TIGER 200 헬스케어,TIMEFOLIO K바이오액티브,KODEX 200,KIWOOM 의료AI"
2025-01-23,셀트리온,068270,KOSPI,180700,182400,179000,179100,433404,-0.78,70,"TIGER 200 헬스케어,TIMEFOLIO K바이오액티브,KODEX 200,KIWOOM 의료AI"
2025-01-24,셀트리온,068270,KOSPI,179600,181300,179400,180200,364070,0.61,70,"TIGER 200 헬스케어,TIMEFOLIO K바이오액티브,KODEX 200,KIWOOM 의료AI"
2025-01-31,셀트리온,068270,KOSPI,182900,184000,178200,179700,519162,-0.28,70,"TIGER 200 헬스케어,TIMEFOLIO K바이오액티브,KODEX 200,KIWOOM 의료AI"
2025-02-03,셀트리온,068270,KOSPI,176800,177000,172800,176000,697428,-2.06,70,"TIGER 200 헬스케어,TIMEFOLIO K바이오액티브,KODEX 200,KIWOOM 의료AI"
2025-02-04,셀트리온,068270,KOSPI,176200,179500,176200,177400,456206,0.8,70,"TIGER 200 헬스케어,TIMEFOLIO K바이오액티브,KODEX 200,KIWOOM 의료AI"
2025-02-05,셀트리온,068270,KOSPI,177500,179300,176200,178300,387834,0.51,70,"TIGER 200 헬스케어,TIMEFOLIO K바이오액티브,KODEX 200,KIWOOM 의료AI"
2025-02-06,셀트리온,068270,KOSPI,179500,181700,179100,181000,390088,1.51,70,"TIGER 200 헬스케어,TIMEFOLIO K바이오액티브,KODEX 200,KIWOOM 의료AI"
2025-02-07,셀트리온,068270,KOSPI,179800,181200,179300,179600,306726,-0.77,70,"TIGER 200 헬스케어,TIMEFOLIO K바이오액티브,KODEX 200,KIWOOM 의료AI"
2025-02-10,셀트리온,068270,KOSPI,178200,180300,175800,179000,494889,-0.33,70,"TIGER 200 헬스케어,TIMEFOLIO K바이오액티브,KODEX 200,KIWOOM 의료AI"
2025-02-11,셀트리온,068270,KOSPI,179800,181700,179100,179700,415262,0.39,70,"TIGER 200 헬스케어,TIMEFOLIO K바이오액티브,KODEX 200,KIWOOM 의료AI"
2025-02-12,셀트리온,068270,KOSPI,179600,180400,177400,178700,361474,-0.56,70,"TIGER 200 헬스케어,TIMEFOLIO K바이오액티브,KODEX 200,KIWOOM 의료AI"
2025-02-13,셀트리온,068270,KOSPI,179500,179700,177600,177900,594759,-0.45,70,"TIGER 200 헬스케어,TIMEFOLIO K바이오액티브,KODEX 200,KIWOOM 의료AI"
2025-02-14,셀트리온,068270,KOSPI,178200,182700,177800,180800,627006,1.63,70,"TIGER 200 헬스케어,TIMEFOLIO K바이오액티브,KODEX 200,KIWOOM 의료AI"
2025-02-17,셀트리온,068270,KOSPI,181000,181500,179200,181500,358741,0.39,70,"TIGER 200 헬스케어,TIMEFOLIO K바이오액티브,KODEX 200,KIWOOM 의료AI"
2025-02-18,셀트리온,068270,KOSPI,181000,181100,179100,180300,378893,-0.66,70,"TIGER 200 헬스케어,TIMEFOLIO K바이오액티브,KODEX 200,KIWOOM 의료AI"
2025-02-19,셀트리온,068270,KOSPI,180300,182500,179600,180600,515521,0.17,70,"TIGER 200 헬스케어,TIMEFOLIO K바이오액티브,KODEX 200,KIWOOM 의료AI"
2025-02-20,셀트리온,068270,KOSPI,180100,181400,179000,180400,426244,-0.11,70,"TIGER 200 헬스케어,TIMEFOLIO K바이오액티브,KODEX 200,KIWOOM 의료AI"
2025-02-21,셀트리온,068270,KOSPI,180400,180700,178200,178200,383460,-1.22,70,"TIGER 200 헬스케어,TIMEFOLIO K바이오액티브,KODEX 200,KIWOOM 의료AI"
2025-02-24,셀트리온,068270,KOSPI,178300,178700,176500,178000,308620,-0.11,70,"TIGER 200 헬스케어,TIMEFOLIO K바이오액티브,KODEX 200,KIWOOM 의료AI"
2025-02-25,셀트리온,068270,KOSPI,177200,179200,174000,174100,623431,-2.19,70,"TIGER 200 헬스케어,TIMEFOLIO K바이오액티브,KODEX 200,KIWOOM 의료AI"
2025-02-26,셀트리온,068270,KOSPI,176200,190900,176000,189300,2169289,8.73,70,"TIGER 200 헬스케어,TIMEFOLIO K바이오액티브,KODEX 200,KIWOOM 의료AI"
2025-02-27,셀트리온,068270,KOSPI,187600,189000,181500,182700,926161,-3.49,70,"TIGER 200 헬스케어,TIMEFOLIO K바이오액티브,KODEX 200,KIWOOM 의료AI"
2025-02-28,셀트리온,068270,KOSPI,181100,186900,181000,184000,1175987,0.71,70,"TIGER 200 헬스케어,TIMEFOLIO K바이오액티브,KODEX 200,KIWOOM 의료AI"
2025-03-04,셀트리온,068270,KOSPI,184000,192900,183100,183500,1023169,-0.27,70,"TIGER 200 헬스케어,TIMEFOLIO K바이오액티브,KODEX 200,KIWOOM 의료AI"
2025-03-05,셀트리온,068270,KOSPI,183600,187200,183600,184700,517242,0.65,70,"TIGER 200 헬스케어,TIMEFOLIO K바이오액티브,KODEX 200,KIWOOM 의료AI"
2025-03-06,셀트리온,068270,KOSPI,185500,188800,182200,188100,753880,1.84,70,"TIGER 200 헬스케어,TIMEFOLIO K바이오액티브,KODEX 200,KIWOOM 의료AI"
2025-03-07,셀트리온,068270,KOSPI,187100,188500,184000,184000,488043,-2.18,70,"TIGER 200 헬스케어,TIMEFOLIO K바이오액티브,KODEX 200,KIWOOM 의료AI"
2025-03-10,셀트리온,068270,KOSPI,183500,184900,182400,183200,292376,-0.43,70,"TIGER 200 헬스케어,TIMEFOLIO K바이오액티브,KODEX 200,KIWOOM 의료AI"
2025-03-11,셀트리온,068270,KOSPI,180500,184900,180300,183400,460822,0.11,70,"TIGER 200 헬스케어,TIMEFOLIO K바이오액티브,KODEX 200,KIWOOM 의료AI"
2025-03-12,셀트리온,068270,KOSPI,183700,187200,183700,186900,459108,1.91,70,"TIGER 200 헬스케어,TIMEFOLIO K바이오액티브,KODEX 200,KIWOOM 의료AI"
2025-03-13,셀트리온,068270,KOSPI,186800,187400,183500,184600,548392,-1.23,70,"TIGER 200 헬스케어,TIMEFOLIO K바이오액티브,KODEX 200,KIWOOM 의료AI"
2025-03-14,셀트리온,068270,KOSPI,186600,188700,185300,186100,521580,0.81,70,"TIGER 200 헬스케어,TIMEFOLIO K바이오액티브,KODEX 200,KIWOOM 의료AI"
2025-03-17,셀트리온,068270,KOSPI,187900,188200,184200,187800,414566,0.91,70,"TIGER 200 헬스케어,TIMEFOLIO K바이오액티브,KODEX 200,KIWOOM 의료AI"
2025-03-18,셀트리온,068270,KOSPI,188500,190700,187200,187400,448355,-0.21,70,"TIGER 200 헬스케어,TIMEFOLIO K바이오액티브,KODEX 200,KIWOOM 의료AI"
