날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,한국금융지주,071050,KOSPI,75700,76800,75000,75400,85434,0.0,62,KODEX 증권
2025-01-21,한국금융지주,071050,KOSPI,76100,77500,75800,76900,121463,1.99,62,KODEX 증권
2025-01-22,한국금융지주,071050,KOSPI,77400,77700,76700,76800,100518,-0.13,62,KODEX 증권
2025-01-23,한국금융지주,071050,KOSPI,77400,78400,76700,76800,133647,0.0,62,KODEX 증권
2025-01-24,한국금융지주,071050,KOSPI,76900,78200,76100,77500,101861,0.91,62,KODEX 증권
2025-01-31,한국금융지주,071050,KOSPI,78400,80300,76800,79500,122275,2.58,62,KODEX 증권
2025-02-03,한국금융지주,071050,KOSPI,78300,78900,77300,77700,98222,-2.26,62,KODEX 증권
2025-02-04,한국금융지주,071050,KOSPI,78500,79600,77800,79000,92781,1.67,62,KODEX 증권
2025-02-05,한국금융지주,071050,KOSPI,79800,79800,78100,79000,84651,0.0,62,KODEX 증권
2025-02-06,한국금융지주,071050,KOSPI,79000,79500,78300,79200,69499,0.25,62,KODEX 증권
2025-02-07,한국금융지주,071050,KOSPI,78500,81000,78400,80300,146138,1.39,62,KODEX 증권
2025-02-10,한국금융지주,071050,KOSPI,80300,80300,77900,78000,126445,-2.86,62,KODEX 증권
2025-02-11,한국금융지주,071050,KOSPI,78100,79200,77500,78600,84883,0.77,62,KODEX 증권
2025-02-12,한국금융지주,071050,KOSPI,79300,81400,78800,79400,172521,1.02,62,KODEX 증권
2025-02-13,한국금융지주,071050,KOSPI,79300,79400,78000,78100,214040,-1.64,62,KODEX 증권
2025-02-14,한국금융지주,071050,KOSPI,78600,80800,78600,80100,227620,2.56,62,KODEX 증권
2025-02-17,한국금융지주,071050,KOSPI,80700,81500,79700,81000,138951,1.12,62,KODEX 증권
2025-02-18,한국금융지주,071050,KOSPI,80200,81400,80200,80800,115619,-0.25,62,KODEX 증권
2025-02-19,한국금융지주,071050,KOSPI,80300,81500,80300,80500,82179,-0.37,62,KODEX 증권
2025-02-20,한국금융지주,071050,KOSPI,80200,82200,80200,81400,135178,1.12,62,KODEX 증권
2025-02-21,한국금융지주,071050,KOSPI,81400,82900,81300,81600,122598,0.25,62,KODEX 증권
2025-02-24,한국금융지주,071050,KOSPI,81600,82700,81100,82500,97521,1.1,62,KODEX 증권
2025-02-25,한국금융지주,071050,KOSPI,81700,83100,81200,81700,153931,-0.97,62,KODEX 증권
2025-02-26,한국금융지주,071050,KOSPI,81900,82400,81000,81500,171338,-0.24,62,KODEX 증권
2025-02-27,한국금융지주,071050,KOSPI,79000,79300,77500,78900,195748,-3.19,62,KODEX 증권
2025-02-28,한국금융지주,071050,KOSPI,77700,79600,77100,79600,234232,0.89,62,KODEX 증권
2025-03-04,한국금융지주,071050,KOSPI,78700,79700,75400,75600,165718,-5.03,62,KODEX 증권
2025-03-05,한국금융지주,071050,KOSPI,75800,76600,74100,75700,110279,0.13,62,KODEX 증권
2025-03-06,한국금융지주,071050,KOSPI,75300,78000,75300,77100,133997,1.85,62,KODEX 증권
2025-03-07,한국금융지주,071050,KOSPI,77400,77400,74600,75000,95494,-2.72,62,KODEX 증권
2025-03-10,한국금융지주,071050,KOSPI,74300,75700,74300,74500,126540,-0.67,62,KODEX 증권
2025-03-11,한국금융지주,071050,KOSPI,73400,74600,73000,73800,107772,-0.94,62,KODEX 증권
2025-03-12,한국금융지주,071050,KOSPI,73500,75500,73500,74800,92402,1.36,62,KODEX 증권
2025-03-13,한국금융지주,071050,KOSPI,74800,76000,74300,74600,266561,-0.27,62,KODEX 증권
2025-03-14,한국금융지주,071050,KOSPI,74600,74600,73500,73800,116463,-1.07,62,KODEX 증권
2025-03-17,한국금융지주,071050,KOSPI,74300,75800,74200,75500,139749,2.3,62,KODEX 증권
2025-03-18,한국금융지주,071050,KOSPI,76200,76500,75500,75500,91100,0.0,62,KODEX 증권
