날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,LIG넥스원,079550,KOSPI,215000,215500,208000,209000,230646,0.0,92,TIGER 우주방산
2025-01-21,LIG넥스원,079550,KOSPI,211500,219000,211000,217000,279723,3.83,92,TIGER 우주방산
2025-01-22,LIG넥스원,079550,KOSPI,220000,221500,217000,219500,221436,1.15,92,TIGER 우주방산
2025-01-23,LIG넥스원,079550,KOSPI,222000,226000,218000,219000,184738,-0.23,92,TIGER 우주방산
2025-01-24,LIG넥스원,079550,KOSPI,222500,234500,220500,230500,345732,5.25,92,TIGER 우주방산
2025-01-31,LIG넥스원,079550,KOSPI,234500,236500,224500,226500,222556,-1.74,92,TIGER 우주방산
2025-02-03,LIG넥스원,079550,KOSPI,220000,230000,214000,228000,246841,0.66,92,TIGER 우주방산
2025-02-04,LIG넥스원,079550,KOSPI,235500,255000,235000,247500,497380,8.55,92,TIGER 우주방산
2025-02-05,LIG넥스원,079550,KOSPI,248000,252500,246000,249000,189884,0.61,92,TIGER 우주방산
2025-02-06,LIG넥스원,079550,KOSPI,250500,257000,247500,254000,284327,2.01,92,TIGER 우주방산
2025-02-07,LIG넥스원,079550,KOSPI,254000,260500,250500,251000,313716,-1.18,92,TIGER 우주방산
2025-02-10,LIG넥스원,079550,KOSPI,254000,260500,250000,253000,240539,0.8,92,TIGER 우주방산
2025-02-11,LIG넥스원,079550,KOSPI,260000,267000,254000,267000,506987,5.53,92,TIGER 우주방산
2025-02-12,LIG넥스원,079550,KOSPI,272500,292500,271000,290000,808678,8.61,92,TIGER 우주방산
2025-02-13,LIG넥스원,079550,KOSPI,285500,294500,277000,288000,496948,-0.69,92,TIGER 우주방산
2025-02-14,LIG넥스원,079550,KOSPI,296000,296000,277000,284000,477983,-1.39,92,TIGER 우주방산
2025-02-17,LIG넥스원,079550,KOSPI,285000,291500,271500,280500,441318,-1.23,92,TIGER 우주방산
2025-02-18,LIG넥스원,079550,KOSPI,289500,319500,286000,306000,1396298,9.09,92,TIGER 우주방산
2025-02-19,LIG넥스원,079550,KOSPI,307000,313000,301500,306000,503059,0.0,92,TIGER 우주방산
2025-02-20,LIG넥스원,079550,KOSPI,300500,313000,292000,306000,550296,0.0,92,TIGER 우주방산
2025-02-21,LIG넥스원,079550,KOSPI,303500,314000,297000,312500,372725,2.12,92,TIGER 우주방산
2025-02-24,LIG넥스원,079550,KOSPI,310000,313500,298000,300000,349149,-4.0,92,TIGER 우주방산
2025-02-25,LIG넥스원,079550,KOSPI,301500,310000,296000,306000,284561,2.0,92,TIGER 우주방산
2025-02-26,LIG넥스원,079550,KOSPI,307500,313000,292000,294000,323823,-3.92,92,TIGER 우주방산
2025-02-27,LIG넥스원,079550,KOSPI,293000,295500,282500,289000,763605,-1.7,92,TIGER 우주방산
2025-02-28,LIG넥스원,079550,KOSPI,287500,292000,270500,270500,376336,-6.4,92,TIGER 우주방산
2025-03-04,LIG넥스원,079550,KOSPI,280000,293500,274500,290500,535975,7.39,92,TIGER 우주방산
2025-03-05,LIG넥스원,079550,KOSPI,292500,307000,284000,303000,406511,4.3,92,TIGER 우주방산
2025-03-06,LIG넥스원,079550,KOSPI,308000,324500,301000,320500,458236,5.78,92,TIGER 우주방산
2025-03-07,LIG넥스원,079550,KOSPI,320500,323000,309250,319000,353894,-0.47,92,TIGER 우주방산
2025-03-10,LIG넥스원,079550,KOSPI,319000,321500,304000,316000,231917,-0.94,92,TIGER 우주방산
2025-03-11,LIG넥스원,079550,KOSPI,306000,311500,304000,309000,291104,-2.22,92,TIGER 우주방산
2025-03-12,LIG넥스원,079550,KOSPI,307500,317000,277000,280500,724848,-9.22,92,TIGER 우주방산
2025-03-13,LIG넥스원,079550,KOSPI,281500,289000,279000,279500,699715,-0.36,92,TIGER 우주방산
2025-03-14,LIG넥스원,079550,KOSPI,280500,281500,274500,276000,261921,-1.25,92,TIGER 우주방산
2025-03-17,LIG넥스원,079550,KOSPI,281000,296000,280000,292500,529473,5.98,92,TIGER 우주방산
2025-03-18,LIG넥스원,079550,KOSPI,296500,297000,281000,281500,345058,-3.76,92,TIGER 우주방산
2025-03-19,LIG넥스원,079550,KOSPI,283500,289000,276500,283500,379261,0.71,92,TIGER 우주방산
2025-03-20,LIG넥스원,079550,KOSPI,280000,282000,266500,270500,464297,-4.59,92,TIGER 우주방산
2025-03-21,LIG넥스원,079550,KOSPI,260000,274500,260000,269000,243990,-0.55,92,TIGER 우주방산
