날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,현대글로비스,086280,KOSPI,125400,128000,124100,125000,119728,0.0,83,KODEX 운송
2025-01-21,현대글로비스,086280,KOSPI,125800,127900,125100,127900,131704,2.32,83,KODEX 운송
2025-01-22,현대글로비스,086280,KOSPI,128700,133300,127500,133100,230829,4.07,83,KODEX 운송
2025-01-23,현대글로비스,086280,KOSPI,133400,134800,131200,134800,210467,1.28,83,KODEX 운송
2025-01-24,현대글로비스,086280,KOSPI,134800,145800,133400,144100,870724,6.9,83,KODEX 운송
2025-01-31,현대글로비스,086280,KOSPI,145500,151000,145500,149400,363302,3.68,83,KODEX 운송
2025-02-03,현대글로비스,086280,KOSPI,146500,148100,143500,144600,210133,-3.21,83,KODEX 운송
2025-02-04,현대글로비스,086280,KOSPI,146100,146400,141700,142200,161145,-1.66,83,KODEX 운송
2025-02-05,현대글로비스,086280,KOSPI,143100,143100,139100,142700,163949,0.35,83,KODEX 운송
2025-02-06,현대글로비스,086280,KOSPI,141800,142900,133600,136000,387221,-4.7,83,KODEX 운송
2025-02-07,현대글로비스,086280,KOSPI,136000,136200,133000,133000,200347,-2.21,83,KODEX 운송
2025-02-10,현대글로비스,086280,KOSPI,131300,136000,129300,133800,192092,0.6,83,KODEX 운송
2025-02-11,현대글로비스,086280,KOSPI,133500,135500,131300,131700,143559,-1.57,83,KODEX 운송
2025-02-12,현대글로비스,086280,KOSPI,131400,132700,129900,130600,103631,-0.84,83,KODEX 운송
2025-02-13,현대글로비스,086280,KOSPI,130800,130900,128700,128800,282977,-1.38,83,KODEX 운송
2025-02-14,현대글로비스,086280,KOSPI,128800,131600,127100,130600,146024,1.4,83,KODEX 운송
2025-02-17,현대글로비스,086280,KOSPI,130100,130200,124800,126100,214651,-3.45,83,KODEX 운송
2025-02-18,현대글로비스,086280,KOSPI,126100,129700,125500,128100,148844,1.59,83,KODEX 운송
2025-02-19,현대글로비스,086280,KOSPI,127400,130800,127300,130300,148927,1.72,83,KODEX 운송
2025-02-20,현대글로비스,086280,KOSPI,129000,130900,127600,130400,129397,0.08,83,KODEX 운송
2025-02-21,현대글로비스,086280,KOSPI,132200,138500,132100,133900,305475,2.68,83,KODEX 운송
2025-02-24,현대글로비스,086280,KOSPI,132800,142300,131800,141100,353214,5.38,83,KODEX 운송
2025-02-25,현대글로비스,086280,KOSPI,140000,142000,137400,138100,178681,-2.13,83,KODEX 운송
2025-02-26,현대글로비스,086280,KOSPI,138900,139100,134700,137000,139822,-0.8,83,KODEX 운송
2025-02-27,현대글로비스,086280,KOSPI,138000,138200,133500,134800,119763,-1.61,83,KODEX 운송
2025-02-28,현대글로비스,086280,KOSPI,133100,133800,129200,130100,205571,-3.49,83,KODEX 운송
2025-03-04,현대글로비스,086280,KOSPI,128800,135500,128800,131900,121932,1.38,83,KODEX 운송
2025-03-05,현대글로비스,086280,KOSPI,132900,135200,132300,132800,111925,0.68,83,KODEX 운송
2025-03-06,현대글로비스,086280,KOSPI,133500,135500,131900,133100,91472,0.23,83,KODEX 운송
2025-03-07,현대글로비스,086280,KOSPI,132800,133900,128000,128400,157603,-3.53,83,KODEX 운송
2025-03-10,현대글로비스,086280,KOSPI,126800,128800,125500,127300,127296,-0.86,83,KODEX 운송
2025-03-11,현대글로비스,086280,KOSPI,124500,125000,122400,123300,165446,-3.14,83,KODEX 운송
2025-03-12,현대글로비스,086280,KOSPI,123100,124700,120500,121500,270173,-1.46,83,KODEX 운송
2025-03-13,현대글로비스,086280,KOSPI,121900,122800,120100,120900,193863,-0.49,83,KODEX 운송
2025-03-14,현대글로비스,086280,KOSPI,121800,121800,119600,121300,100509,0.33,83,KODEX 운송
2025-03-17,현대글로비스,086280,KOSPI,121700,123500,120500,121700,105747,0.33,83,KODEX 운송
2025-03-18,현대글로비스,086280,KOSPI,121700,122400,120800,122200,94760,0.41,83,KODEX 운송
2025-03-19,현대글로비스,086280,KOSPI,121400,122500,120000,120300,170923,-1.55,83,KODEX 운송
2025-03-20,현대글로비스,086280,KOSPI,120200,121600,120000,120700,89755,0.33,83,KODEX 운송
2025-03-21,현대글로비스,086280,KOSPI,120600,126000,120100,124600,291946,3.23,83,KODEX 운송
