날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,에코프로,086520,KOSPI,61470,63921,61470,63431,1147045,0.0,6,"KODEX 코스닥150,SOL 2차전지소부장Fn"
2025-01-21,에코프로,086520,KOSPI,62450,62843,58823,59705,1366143,-5.87,6,"KODEX 코스닥150,SOL 2차전지소부장Fn"
2025-01-22,에코프로,086520,KOSPI,60490,61666,60098,61666,742380,3.28,6,"KODEX 코스닥150,SOL 2차전지소부장Fn"
2025-01-23,에코프로,086520,KOSPI,61078,61176,59705,59901,491726,-2.86,6,"KODEX 코스닥150,SOL 2차전지소부장Fn"
2025-01-24,에코프로,086520,KOSPI,60392,60490,59313,59803,458510,-0.16,6,"KODEX 코스닥150,SOL 2차전지소부장Fn"
2025-01-31,에코프로,086520,KOSPI,59803,60784,59019,59803,465038,0.0,6,"KODEX 코스닥150,SOL 2차전지소부장Fn"
2025-02-03,에코프로,086520,KOSPI,58529,58921,55784,56078,866509,-6.23,6,"KODEX 코스닥150,SOL 2차전지소부장Fn"
2025-02-04,에코프로,086520,KOSPI,57450,60980,57254,58137,1049115,3.67,6,"KODEX 코스닥150,SOL 2차전지소부장Fn"
2025-02-05,에코프로,086520,KOSPI,58235,59803,58235,59117,452120,1.69,6,"KODEX 코스닥150,SOL 2차전지소부장Fn"
2025-02-06,에코프로,086520,KOSPI,60000,60098,58137,58529,529977,-1.0,6,"KODEX 코스닥150,SOL 2차전지소부장Fn"
2025-02-07,에코프로,086520,KOSPI,58725,61372,57647,58725,816483,0.34,6,"KODEX 코스닥150,SOL 2차전지소부장Fn"
2025-02-10,에코프로,086520,KOSPI,57745,59411,56862,58921,724257,0.33,6,"KODEX 코스닥150,SOL 2차전지소부장Fn"
2025-02-11,에코프로,086520,KOSPI,59215,60000,58039,58431,740746,-0.83,6,"KODEX 코스닥150,SOL 2차전지소부장Fn"
2025-02-12,에코프로,086520,KOSPI,57941,59803,57843,58431,662944,0.0,6,"KODEX 코스닥150,SOL 2차전지소부장Fn"
2025-02-13,에코프로,086520,KOSPI,58921,61176,58823,60686,1241035,3.86,6,"KODEX 코스닥150,SOL 2차전지소부장Fn"
2025-02-14,에코프로,086520,KOSPI,60686,60686,59313,59509,610162,-1.94,6,"KODEX 코스닥150,SOL 2차전지소부장Fn"
2025-02-17,에코프로,086520,KOSPI,59705,62352,59117,61078,1233279,2.64,6,"KODEX 코스닥150,SOL 2차전지소부장Fn"
2025-02-18,에코프로,086520,KOSPI,61862,61960,60000,60588,544419,-0.8,6,"KODEX 코스닥150,SOL 2차전지소부장Fn"
2025-02-19,에코프로,086520,KOSPI,60882,63627,60784,62549,1581830,3.24,6,"KODEX 코스닥150,SOL 2차전지소부장Fn"
2025-02-20,에코프로,086520,KOSPI,62941,63529,61862,62058,1068466,-0.78,6,"KODEX 코스닥150,SOL 2차전지소부장Fn"
2025-02-21,에코프로,086520,KOSPI,63039,67450,62450,65882,2711268,6.16,6,"KODEX 코스닥150,SOL 2차전지소부장Fn"
2025-02-24,에코프로,086520,KOSPI,65196,67254,64705,67254,1480916,2.08,6,"KODEX 코스닥150,SOL 2차전지소부장Fn"
2025-02-25,에코프로,086520,KOSPI,66862,67156,63921,64117,997323,-4.66,6,"KODEX 코스닥150,SOL 2차전지소부장Fn"
2025-02-26,에코프로,086520,KOSPI,63235,67156,63137,67156,1128093,4.74,6,"KODEX 코스닥150,SOL 2차전지소부장Fn"
2025-02-27,에코프로,086520,KOSPI,66900,68100,65700,65900,623392,-1.87,6,"KODEX 코스닥150,SOL 2차전지소부장Fn"
2025-02-28,에코프로,086520,KOSPI,65000,65200,61100,62200,1276060,-5.61,6,"KODEX 코스닥150,SOL 2차전지소부장Fn"
2025-03-04,에코프로,086520,KOSPI,61900,62100,57800,58100,1255916,-6.59,6,"KODEX 코스닥150,SOL 2차전지소부장Fn"
2025-03-05,에코프로,086520,KOSPI,58800,60400,58200,58900,728668,1.38,6,"KODEX 코스닥150,SOL 2차전지소부장Fn"
2025-03-06,에코프로,086520,KOSPI,59700,60700,58500,58700,713885,-0.34,6,"KODEX 코스닥150,SOL 2차전지소부장Fn"
2025-03-07,에코프로,086520,KOSPI,58000,60000,57600,59500,628569,1.36,6,"KODEX 코스닥150,SOL 2차전지소부장Fn"
2025-03-10,에코프로,086520,KOSPI,59400,60900,58600,60000,675281,0.84,6,"KODEX 코스닥150,SOL 2차전지소부장Fn"
2025-03-11,에코프로,086520,KOSPI,58000,58900,57400,58300,560531,-2.83,6,"KODEX 코스닥150,SOL 2차전지소부장Fn"
2025-03-12,에코프로,086520,KOSPI,58700,59300,58300,59000,371180,1.2,6,"KODEX 코스닥150,SOL 2차전지소부장Fn"
2025-03-13,에코프로,086520,KOSPI,59900,60200,57400,57400,786331,-2.71,6,"KODEX 코스닥150,SOL 2차전지소부장Fn"
2025-03-14,에코프로,086520,KOSPI,57700,59800,56600,59800,839738,4.18,6,"KODEX 코스닥150,SOL 2차전지소부장Fn"
2025-03-17,에코프로,086520,KOSPI,59600,60200,58200,59900,736327,0.17,6,"KODEX 코스닥150,SOL 2차전지소부장Fn"
