날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,하나금융지주,086790,KOSPI,57100,57900,57000,57200,626010,0.0,70,"TIGER 200 금융,KODEX 은행"
2025-01-21,하나금융지주,086790,KOSPI,57500,58600,57400,58000,1110986,1.4,70,"TIGER 200 금융,KODEX 은행"
2025-01-22,하나금융지주,086790,KOSPI,58600,59100,58000,58700,1017026,1.21,70,"TIGER 200 금융,KODEX 은행"
2025-01-23,하나금융지주,086790,KOSPI,59000,60000,58900,59100,1352096,0.68,70,"TIGER 200 금융,KODEX 은행"
2025-01-24,하나금융지주,086790,KOSPI,59400,59700,58800,59200,776640,0.17,70,"TIGER 200 금융,KODEX 은행"
2025-01-31,하나금융지주,086790,KOSPI,60100,60900,59600,60500,1308593,2.2,70,"TIGER 200 금융,KODEX 은행"
2025-02-03,하나금융지주,086790,KOSPI,59700,60300,58800,59300,1003514,-1.98,70,"TIGER 200 금융,KODEX 은행"
2025-02-04,하나금융지주,086790,KOSPI,59800,62300,59600,61500,1540601,3.71,70,"TIGER 200 금융,KODEX 은행"
2025-02-05,하나금융지주,086790,KOSPI,61900,63700,61300,61800,1406330,0.49,70,"TIGER 200 금융,KODEX 은행"
2025-02-06,하나금융지주,086790,KOSPI,61900,62600,60900,61400,1144658,-0.65,70,"TIGER 200 금융,KODEX 은행"
2025-02-07,하나금융지주,086790,KOSPI,61400,61800,61000,61600,1071213,0.33,70,"TIGER 200 금융,KODEX 은행"
2025-02-10,하나금융지주,086790,KOSPI,61700,62500,60700,60700,835576,-1.46,70,"TIGER 200 금융,KODEX 은행"
2025-02-11,하나금융지주,086790,KOSPI,61200,61600,60100,60600,625237,-0.16,70,"TIGER 200 금융,KODEX 은행"
2025-02-12,하나금융지주,086790,KOSPI,61000,61500,60600,60900,603264,0.5,70,"TIGER 200 금융,KODEX 은행"
2025-02-13,하나금융지주,086790,KOSPI,60900,61400,60600,60600,877616,-0.49,70,"TIGER 200 금융,KODEX 은행"
2025-02-14,하나금융지주,086790,KOSPI,60500,61100,60200,60800,553878,0.33,70,"TIGER 200 금융,KODEX 은행"
2025-02-17,하나금융지주,086790,KOSPI,61000,61000,60000,60300,624388,-0.82,70,"TIGER 200 금융,KODEX 은행"
2025-02-18,하나금융지주,086790,KOSPI,60100,61400,60100,61200,497851,1.49,70,"TIGER 200 금융,KODEX 은행"
2025-02-19,하나금융지주,086790,KOSPI,61200,62800,61200,62100,935452,1.47,70,"TIGER 200 금융,KODEX 은행"
2025-02-20,하나금융지주,086790,KOSPI,62100,62700,62000,62500,682490,0.64,70,"TIGER 200 금융,KODEX 은행"
2025-02-21,하나금융지주,086790,KOSPI,62800,63100,62000,62300,804553,-0.32,70,"TIGER 200 금융,KODEX 은행"
2025-02-24,하나금융지주,086790,KOSPI,62300,62600,61800,62500,513177,0.32,70,"TIGER 200 금융,KODEX 은행"
2025-02-25,하나금융지주,086790,KOSPI,62200,62900,62000,62000,1481212,-0.8,70,"TIGER 200 금융,KODEX 은행"
2025-02-26,하나금융지주,086790,KOSPI,62000,62800,61800,62500,1303228,0.81,70,"TIGER 200 금융,KODEX 은행"
2025-02-27,하나금융지주,086790,KOSPI,62000,62000,60300,61500,1261187,-1.6,70,"TIGER 200 금융,KODEX 은행"
2025-02-28,하나금융지주,086790,KOSPI,60900,61100,59500,59500,2001092,-3.25,70,"TIGER 200 금융,KODEX 은행"
2025-03-04,하나금융지주,086790,KOSPI,59900,60200,59200,59400,764143,-0.17,70,"TIGER 200 금융,KODEX 은행"
2025-03-05,하나금융지주,086790,KOSPI,59500,59900,57600,57800,1115620,-2.69,70,"TIGER 200 금융,KODEX 은행"
2025-03-06,하나금융지주,086790,KOSPI,58000,59600,58000,59500,739368,2.94,70,"TIGER 200 금융,KODEX 은행"
2025-03-07,하나금융지주,086790,KOSPI,58800,59100,58000,58000,684582,-2.52,70,"TIGER 200 금융,KODEX 은행"
2025-03-10,하나금융지주,086790,KOSPI,57600,60000,57600,59300,687263,2.24,70,"TIGER 200 금융,KODEX 은행"
2025-03-11,하나금융지주,086790,KOSPI,58300,59600,58200,58800,638980,-0.84,70,"TIGER 200 금융,KODEX 은행"
2025-03-12,하나금융지주,086790,KOSPI,59200,60700,59100,60500,1150668,2.89,70,"TIGER 200 금융,KODEX 은행"
2025-03-13,하나금융지주,086790,KOSPI,60600,61900,60200,61600,1647441,1.82,70,"TIGER 200 금융,KODEX 은행"
2025-03-14,하나금융지주,086790,KOSPI,60500,61300,60000,60100,1107925,-2.44,70,"TIGER 200 금융,KODEX 은행"
2025-03-17,하나금융지주,086790,KOSPI,60300,61000,60200,61000,699956,1.5,70,"TIGER 200 금융,KODEX 은행"
2025-03-18,하나금융지주,086790,KOSPI,61700,62300,60900,61100,783093,0.16,70,"TIGER 200 금융,KODEX 은행"
2025-03-19,하나금융지주,086790,KOSPI,61500,62200,61200,62000,626136,1.47,70,"TIGER 200 금융,KODEX 은행"
2025-03-20,하나금융지주,086790,KOSPI,62000,62400,61700,62200,732806,0.32,70,"TIGER 200 금융,KODEX 은행"
2025-03-21,하나금융지주,086790,KOSPI,61500,62500,61400,62200,1068725,0.0,70,"TIGER 200 금융,KODEX 은행"
