날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,메디톡스,086900,KOSPI,118700,118700,112100,115300,95617,0.0,64,SOL 의료기기소부장Fn
2025-01-21,메디톡스,086900,KOSPI,115800,121500,115300,120700,51173,4.68,64,SOL 의료기기소부장Fn
2025-01-22,메디톡스,086900,KOSPI,120700,121800,119900,121000,32287,0.25,64,SOL 의료기기소부장Fn
2025-01-23,메디톡스,086900,KOSPI,120400,122800,118900,121200,32267,0.17,64,SOL 의료기기소부장Fn
2025-01-24,메디톡스,086900,KOSPI,122400,122800,119500,120300,25569,-0.74,64,SOL 의료기기소부장Fn
2025-01-31,메디톡스,086900,KOSPI,120800,121300,117700,118400,22837,-1.58,64,SOL 의료기기소부장Fn
2025-02-03,메디톡스,086900,KOSPI,116000,118400,113100,114200,32630,-3.55,64,SOL 의료기기소부장Fn
2025-02-04,메디톡스,086900,KOSPI,115200,118100,114800,116000,30988,1.58,64,SOL 의료기기소부장Fn
2025-02-05,메디톡스,086900,KOSPI,116100,118900,116100,117200,20268,1.03,64,SOL 의료기기소부장Fn
2025-02-06,메디톡스,086900,KOSPI,118100,122700,117300,121200,39257,3.41,64,SOL 의료기기소부장Fn
2025-02-07,메디톡스,086900,KOSPI,121400,121700,118400,119000,23546,-1.82,64,SOL 의료기기소부장Fn
2025-02-10,메디톡스,086900,KOSPI,117100,120600,117000,118400,24143,-0.5,64,SOL 의료기기소부장Fn
2025-02-11,메디톡스,086900,KOSPI,119300,134000,118400,121600,114099,2.7,64,SOL 의료기기소부장Fn
2025-02-12,메디톡스,086900,KOSPI,121900,122700,119000,119200,26055,-1.97,64,SOL 의료기기소부장Fn
2025-02-13,메디톡스,086900,KOSPI,120700,121700,119200,120800,30777,1.34,64,SOL 의료기기소부장Fn
2025-02-14,메디톡스,086900,KOSPI,120900,123800,120300,122200,30576,1.16,64,SOL 의료기기소부장Fn
2025-02-17,메디톡스,086900,KOSPI,123500,124400,122100,124100,34142,1.55,64,SOL 의료기기소부장Fn
2025-02-18,메디톡스,086900,KOSPI,124400,124800,122000,122900,30889,-0.97,64,SOL 의료기기소부장Fn
2025-02-19,메디톡스,086900,KOSPI,123400,125500,122500,124100,42122,0.98,64,SOL 의료기기소부장Fn
2025-02-20,메디톡스,086900,KOSPI,122000,126400,121900,122600,40788,-1.21,64,SOL 의료기기소부장Fn
2025-02-21,메디톡스,086900,KOSPI,123800,125700,122000,124700,33082,1.71,64,SOL 의료기기소부장Fn
2025-02-24,메디톡스,086900,KOSPI,125000,125900,123100,125100,26635,0.32,64,SOL 의료기기소부장Fn
2025-02-25,메디톡스,086900,KOSPI,124600,126300,123300,125900,32899,0.64,64,SOL 의료기기소부장Fn
2025-02-26,메디톡스,086900,KOSPI,125900,135300,125900,132600,155490,5.32,64,SOL 의료기기소부장Fn
2025-02-27,메디톡스,086900,KOSPI,133100,134200,129100,131300,49540,-0.98,64,SOL 의료기기소부장Fn
2025-02-28,메디톡스,086900,KOSPI,129500,130000,126000,126200,48820,-3.88,64,SOL 의료기기소부장Fn
2025-03-04,메디톡스,086900,KOSPI,126200,126600,123500,125300,27253,-0.71,64,SOL 의료기기소부장Fn
2025-03-05,메디톡스,086900,KOSPI,126800,128100,122200,123300,38092,-1.6,64,SOL 의료기기소부장Fn
2025-03-06,메디톡스,086900,KOSPI,124500,125100,122500,123700,20521,0.32,64,SOL 의료기기소부장Fn
2025-03-07,메디톡스,086900,KOSPI,123600,123700,120200,120400,38378,-2.67,64,SOL 의료기기소부장Fn
2025-03-10,메디톡스,086900,KOSPI,121900,123700,120300,120500,37970,0.08,64,SOL 의료기기소부장Fn
2025-03-11,메디톡스,086900,KOSPI,118000,123500,117100,123400,44890,2.41,64,SOL 의료기기소부장Fn
2025-03-12,메디톡스,086900,KOSPI,122300,130000,122300,124800,57202,1.13,64,SOL 의료기기소부장Fn
2025-03-13,메디톡스,086900,KOSPI,125100,129100,123600,124000,91898,-0.64,64,SOL 의료기기소부장Fn
2025-03-14,메디톡스,086900,KOSPI,129500,139000,125400,130700,253412,5.4,64,SOL 의료기기소부장Fn
2025-03-17,메디톡스,086900,KOSPI,133100,133500,131200,132300,49363,1.22,64,SOL 의료기기소부장Fn
2025-03-18,메디톡스,086900,KOSPI,133500,136600,131750,135500,52538,2.42,64,SOL 의료기기소부장Fn
2025-03-19,메디톡스,086900,KOSPI,136000,136700,133500,133900,41530,-1.18,64,SOL 의료기기소부장Fn
2025-03-20,메디톡스,086900,KOSPI,134000,135800,133000,133600,29238,-0.22,64,SOL 의료기기소부장Fn
2025-03-21,메디톡스,086900,KOSPI,134900,137400,133700,135800,42118,1.65,64,SOL 의료기기소부장Fn
