날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,아모레퍼시픽,090430,KOSPI,125000,125000,120100,123300,223595,0.0,71,HANARO K-뷰티
2025-01-21,아모레퍼시픽,090430,KOSPI,123800,125400,122700,122900,146617,-0.32,71,HANARO K-뷰티
2025-01-22,아모레퍼시픽,090430,KOSPI,124400,127500,123700,125500,325407,2.12,71,HANARO K-뷰티
2025-01-23,아모레퍼시픽,090430,KOSPI,126400,126900,123800,124600,210875,-0.72,71,HANARO K-뷰티
2025-01-24,아모레퍼시픽,090430,KOSPI,125400,126800,121900,126000,199771,1.12,71,HANARO K-뷰티
2025-01-31,아모레퍼시픽,090430,KOSPI,127500,130000,126300,129700,288829,2.94,71,HANARO K-뷰티
2025-02-03,아모레퍼시픽,090430,KOSPI,125900,125900,122400,122500,232334,-5.55,71,HANARO K-뷰티
2025-02-04,아모레퍼시픽,090430,KOSPI,124200,127300,123300,126800,232778,3.51,71,HANARO K-뷰티
2025-02-05,아모레퍼시픽,090430,KOSPI,126800,126900,122000,122900,266225,-3.08,71,HANARO K-뷰티
2025-02-06,아모레퍼시픽,090430,KOSPI,123600,127500,122100,126300,257223,2.77,71,HANARO K-뷰티
2025-02-07,아모레퍼시픽,090430,KOSPI,127000,127000,118100,118700,683583,-6.02,71,HANARO K-뷰티
2025-02-10,아모레퍼시픽,090430,KOSPI,118000,119000,116100,117500,228346,-1.01,71,HANARO K-뷰티
2025-02-11,아모레퍼시픽,090430,KOSPI,117900,118300,116000,116600,283656,-0.77,71,HANARO K-뷰티
2025-02-12,아모레퍼시픽,090430,KOSPI,116500,116900,115000,116300,225728,-0.26,71,HANARO K-뷰티
2025-02-13,아모레퍼시픽,090430,KOSPI,116800,117400,115600,116700,262149,0.34,71,HANARO K-뷰티
2025-02-14,아모레퍼시픽,090430,KOSPI,117500,120400,117100,119100,323799,2.06,71,HANARO K-뷰티
2025-02-17,아모레퍼시픽,090430,KOSPI,120000,120200,118000,118400,152732,-0.59,71,HANARO K-뷰티
2025-02-18,아모레퍼시픽,090430,KOSPI,118400,118900,114300,115000,372478,-2.87,71,HANARO K-뷰티
2025-02-19,아모레퍼시픽,090430,KOSPI,115200,119100,115100,117900,309432,2.52,71,HANARO K-뷰티
2025-02-20,아모레퍼시픽,090430,KOSPI,123000,125400,121200,124000,895759,5.17,71,HANARO K-뷰티
2025-02-21,아모레퍼시픽,090430,KOSPI,124800,124900,118500,119200,527787,-3.87,71,HANARO K-뷰티
2025-02-24,아모레퍼시픽,090430,KOSPI,118100,119300,117100,118700,165416,-0.42,71,HANARO K-뷰티
2025-02-25,아모레퍼시픽,090430,KOSPI,119100,121200,119000,119100,236225,0.34,71,HANARO K-뷰티
2025-02-26,아모레퍼시픽,090430,KOSPI,119000,119600,116600,118500,249423,-0.5,71,HANARO K-뷰티
2025-02-27,아모레퍼시픽,090430,KOSPI,118800,121400,117800,120500,278871,1.69,71,HANARO K-뷰티
2025-02-28,아모레퍼시픽,090430,KOSPI,117900,120400,116700,117200,346710,-2.74,71,HANARO K-뷰티
2025-03-04,아모레퍼시픽,090430,KOSPI,115600,117800,115600,115700,173506,-1.28,71,HANARO K-뷰티
2025-03-05,아모레퍼시픽,090430,KOSPI,115900,117600,115100,116400,189466,0.61,71,HANARO K-뷰티
2025-03-06,아모레퍼시픽,090430,KOSPI,116900,120200,116500,118200,239163,1.55,71,HANARO K-뷰티
2025-03-07,아모레퍼시픽,090430,KOSPI,117300,118900,116000,117100,179237,-0.93,71,HANARO K-뷰티
2025-03-10,아모레퍼시픽,090430,KOSPI,116500,117100,113500,114400,279231,-2.31,71,HANARO K-뷰티
2025-03-11,아모레퍼시픽,090430,KOSPI,111100,114000,111100,112800,235907,-1.4,71,HANARO K-뷰티
2025-03-12,아모레퍼시픽,090430,KOSPI,113000,114100,112400,113500,187804,0.62,71,HANARO K-뷰티
2025-03-13,아모레퍼시픽,090430,KOSPI,113500,114000,110100,112600,418402,-0.79,71,HANARO K-뷰티
2025-03-14,아모레퍼시픽,090430,KOSPI,111900,113600,111100,112600,143705,0.0,71,HANARO K-뷰티
2025-03-17,아모레퍼시픽,090430,KOSPI,113000,114300,111300,111800,237211,-0.71,71,HANARO K-뷰티
2025-03-18,아모레퍼시픽,090430,KOSPI,112400,114000,111700,111900,202200,0.09,71,HANARO K-뷰티
