날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,SK이노베이션,096770,KOSPI,130000,131200,125900,129400,233023,0.0,72,"TIGER 200 에너지화학,TIGER 2차전지TOP10"
2025-01-21,SK이노베이션,096770,KOSPI,129400,129400,123300,124600,277474,-3.71,72,"TIGER 200 에너지화학,TIGER 2차전지TOP10"
2025-01-22,SK이노베이션,096770,KOSPI,125900,129100,125100,127900,233401,2.65,72,"TIGER 200 에너지화학,TIGER 2차전지TOP10"
2025-01-23,SK이노베이션,096770,KOSPI,128800,128800,126100,127100,168921,-0.63,72,"TIGER 200 에너지화학,TIGER 2차전지TOP10"
2025-01-24,SK이노베이션,096770,KOSPI,128800,129800,126800,127100,143727,0.0,72,"TIGER 200 에너지화학,TIGER 2차전지TOP10"
2025-01-31,SK이노베이션,096770,KOSPI,129300,129800,126100,127500,176246,0.31,72,"TIGER 200 에너지화학,TIGER 2차전지TOP10"
2025-02-03,SK이노베이션,096770,KOSPI,124800,124800,120300,120900,234451,-5.18,72,"TIGER 200 에너지화학,TIGER 2차전지TOP10"
2025-02-04,SK이노베이션,096770,KOSPI,123100,126900,122000,123400,195019,2.07,72,"TIGER 200 에너지화학,TIGER 2차전지TOP10"
2025-02-05,SK이노베이션,096770,KOSPI,123500,126400,122900,125800,155635,1.94,72,"TIGER 200 에너지화학,TIGER 2차전지TOP10"
2025-02-06,SK이노베이션,096770,KOSPI,124500,125500,120900,124500,180135,-1.03,72,"TIGER 200 에너지화학,TIGER 2차전지TOP10"
2025-02-07,SK이노베이션,096770,KOSPI,123600,125100,121100,121100,136542,-2.73,72,"TIGER 200 에너지화학,TIGER 2차전지TOP10"
2025-02-10,SK이노베이션,096770,KOSPI,120900,123400,120000,122100,185265,0.83,72,"TIGER 200 에너지화학,TIGER 2차전지TOP10"
2025-02-11,SK이노베이션,096770,KOSPI,123400,124200,120500,120900,191701,-0.98,72,"TIGER 200 에너지화학,TIGER 2차전지TOP10"
2025-02-12,SK이노베이션,096770,KOSPI,121600,123500,120200,121900,157638,0.83,72,"TIGER 200 에너지화학,TIGER 2차전지TOP10"
2025-02-13,SK이노베이션,096770,KOSPI,122100,124300,120300,124300,393847,1.97,72,"TIGER 200 에너지화학,TIGER 2차전지TOP10"
2025-02-14,SK이노베이션,096770,KOSPI,123700,124000,121400,122000,158652,-1.85,72,"TIGER 200 에너지화학,TIGER 2차전지TOP10"
2025-02-17,SK이노베이션,096770,KOSPI,121800,128500,120700,128500,331331,5.33,72,"TIGER 200 에너지화학,TIGER 2차전지TOP10"
2025-02-18,SK이노베이션,096770,KOSPI,128100,129400,126700,128800,207974,0.23,72,"TIGER 200 에너지화학,TIGER 2차전지TOP10"
2025-02-19,SK이노베이션,096770,KOSPI,129300,130200,127800,130000,248643,0.93,72,"TIGER 200 에너지화학,TIGER 2차전지TOP10"
2025-02-20,SK이노베이션,096770,KOSPI,130000,133200,128600,131400,341348,1.08,72,"TIGER 200 에너지화학,TIGER 2차전지TOP10"
2025-02-21,SK이노베이션,096770,KOSPI,132500,133400,130900,132400,243030,0.76,72,"TIGER 200 에너지화학,TIGER 2차전지TOP10"
2025-02-24,SK이노베이션,096770,KOSPI,132700,134000,131600,133900,247440,1.13,72,"TIGER 200 에너지화학,TIGER 2차전지TOP10"
2025-02-25,SK이노베이션,096770,KOSPI,132700,132700,128000,128800,227745,-3.81,72,"TIGER 200 에너지화학,TIGER 2차전지TOP10"
2025-02-26,SK이노베이션,096770,KOSPI,128800,131500,128200,130800,178693,1.55,72,"TIGER 200 에너지화학,TIGER 2차전지TOP10"
2025-02-27,SK이노베이션,096770,KOSPI,130700,132100,129300,132100,251609,0.99,72,"TIGER 200 에너지화학,TIGER 2차전지TOP10"
2025-02-28,SK이노베이션,096770,KOSPI,130500,130800,125700,125700,814483,-4.84,72,"TIGER 200 에너지화학,TIGER 2차전지TOP10"
2025-03-04,SK이노베이션,096770,KOSPI,125500,126800,122600,124200,197545,-1.19,72,"TIGER 200 에너지화학,TIGER 2차전지TOP10"
2025-03-05,SK이노베이션,096770,KOSPI,124000,127400,124000,126700,168056,2.01,72,"TIGER 200 에너지화학,TIGER 2차전지TOP10"
2025-03-06,SK이노베이션,096770,KOSPI,127700,129900,123800,126500,196054,-0.16,72,"TIGER 200 에너지화학,TIGER 2차전지TOP10"
2025-03-07,SK이노베이션,096770,KOSPI,125100,128300,124000,128000,181312,1.19,72,"TIGER 200 에너지화학,TIGER 2차전지TOP10"
2025-03-10,SK이노베이션,096770,KOSPI,130000,135700,129100,135700,886360,6.02,72,"TIGER 200 에너지화학,TIGER 2차전지TOP10"
2025-03-11,SK이노베이션,096770,KOSPI,133400,137000,131000,134400,373162,-0.96,72,"TIGER 200 에너지화학,TIGER 2차전지TOP10"
2025-03-12,SK이노베이션,096770,KOSPI,134100,138600,133100,138600,390033,3.12,72,"TIGER 200 에너지화학,TIGER 2차전지TOP10"
2025-03-13,SK이노베이션,096770,KOSPI,138600,140200,135600,139200,1044354,0.43,72,"TIGER 200 에너지화학,TIGER 2차전지TOP10"
2025-03-14,SK이노베이션,096770,KOSPI,137500,137500,130800,132000,331659,-5.17,72,"TIGER 200 에너지화학,TIGER 2차전지TOP10"
2025-03-17,SK이노베이션,096770,KOSPI,130600,132000,125200,126200,369244,-4.39,72,"TIGER 200 에너지화학,TIGER 2차전지TOP10"
2025-03-18,SK이노베이션,096770,KOSPI,127100,128000,125200,126100,181875,-0.08,72,"TIGER 200 에너지화학,TIGER 2차전지TOP10"
