날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,CJ제일제당,097950,KOSPI,243000,246500,241500,244000,26357,0.0,37,HANARO Fn K-푸드
2025-01-21,CJ제일제당,097950,KOSPI,246500,247000,240000,242000,40946,-0.82,37,HANARO Fn K-푸드
2025-01-22,CJ제일제당,097950,KOSPI,243500,244000,240500,241500,41212,-0.21,37,HANARO Fn K-푸드
2025-01-23,CJ제일제당,097950,KOSPI,241500,242000,232500,234500,104843,-2.9,37,HANARO Fn K-푸드
2025-01-24,CJ제일제당,097950,KOSPI,235500,236500,232500,236000,39245,0.64,37,HANARO Fn K-푸드
2025-01-31,CJ제일제당,097950,KOSPI,238000,242000,234500,242000,54228,2.54,37,HANARO Fn K-푸드
2025-02-03,CJ제일제당,097950,KOSPI,239500,239500,232500,232500,47457,-3.93,37,HANARO Fn K-푸드
2025-02-04,CJ제일제당,097950,KOSPI,235000,242000,234000,242000,46379,4.09,37,HANARO Fn K-푸드
2025-02-05,CJ제일제당,097950,KOSPI,245500,252500,243000,244000,88275,0.83,37,HANARO Fn K-푸드
2025-02-06,CJ제일제당,097950,KOSPI,245000,251500,244000,247500,51006,1.43,37,HANARO Fn K-푸드
2025-02-07,CJ제일제당,097950,KOSPI,247500,248500,244000,245000,26309,-1.01,37,HANARO Fn K-푸드
2025-02-10,CJ제일제당,097950,KOSPI,245000,252000,244000,250000,58785,2.04,37,HANARO Fn K-푸드
2025-02-11,CJ제일제당,097950,KOSPI,247500,248500,239000,240000,118675,-4.0,37,HANARO Fn K-푸드
2025-02-12,CJ제일제당,097950,KOSPI,242000,247500,240500,244500,64297,1.88,37,HANARO Fn K-푸드
2025-02-13,CJ제일제당,097950,KOSPI,245000,246000,241000,246000,88053,0.61,37,HANARO Fn K-푸드
2025-02-14,CJ제일제당,097950,KOSPI,245000,250000,245000,247500,64436,0.61,37,HANARO Fn K-푸드
2025-02-17,CJ제일제당,097950,KOSPI,247000,247000,243000,246000,62971,-0.61,37,HANARO Fn K-푸드
2025-02-18,CJ제일제당,097950,KOSPI,245000,245500,240500,242000,86024,-1.63,37,HANARO Fn K-푸드
2025-02-19,CJ제일제당,097950,KOSPI,242000,247500,241500,245000,87246,1.24,37,HANARO Fn K-푸드
2025-02-20,CJ제일제당,097950,KOSPI,246000,250000,245500,249500,69971,1.84,37,HANARO Fn K-푸드
2025-02-21,CJ제일제당,097950,KOSPI,250000,250000,246000,248000,57402,-0.6,37,HANARO Fn K-푸드
2025-02-24,CJ제일제당,097950,KOSPI,247500,252500,244500,249500,56595,0.6,37,HANARO Fn K-푸드
2025-02-25,CJ제일제당,097950,KOSPI,249500,250500,244500,246000,65095,-1.4,37,HANARO Fn K-푸드
2025-02-26,CJ제일제당,097950,KOSPI,246500,249000,246000,247500,44072,0.61,37,HANARO Fn K-푸드
2025-02-27,CJ제일제당,097950,KOSPI,247000,247000,244000,247000,49000,-0.2,37,HANARO Fn K-푸드
2025-02-28,CJ제일제당,097950,KOSPI,244000,244500,236000,237000,152864,-4.05,37,HANARO Fn K-푸드
2025-03-04,CJ제일제당,097950,KOSPI,236500,242000,236000,240000,49419,1.27,37,HANARO Fn K-푸드
2025-03-05,CJ제일제당,097950,KOSPI,240000,244500,240000,243000,64952,1.25,37,HANARO Fn K-푸드
2025-03-06,CJ제일제당,097950,KOSPI,244000,258000,243500,257500,153243,5.97,37,HANARO Fn K-푸드
2025-03-07,CJ제일제당,097950,KOSPI,258000,266500,253500,262000,171861,1.75,37,HANARO Fn K-푸드
2025-03-10,CJ제일제당,097950,KOSPI,260000,265000,257500,259000,62437,-1.15,37,HANARO Fn K-푸드
2025-03-11,CJ제일제당,097950,KOSPI,253000,259500,253000,257000,86665,-0.77,37,HANARO Fn K-푸드
2025-03-12,CJ제일제당,097950,KOSPI,257000,262500,257000,257500,57472,0.19,37,HANARO Fn K-푸드
2025-03-13,CJ제일제당,097950,KOSPI,258500,259000,249000,250500,102173,-2.72,37,HANARO Fn K-푸드
2025-03-14,CJ제일제당,097950,KOSPI,250500,253000,248000,250500,55717,0.0,37,HANARO Fn K-푸드
2025-03-17,CJ제일제당,097950,KOSPI,252500,253000,250000,252500,43804,0.8,37,HANARO Fn K-푸드
2025-03-18,CJ제일제당,097950,KOSPI,253000,258000,252500,253500,48586,0.4,37,HANARO Fn K-푸드
