날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,풍산,103140,KOSPI,56100,56100,53600,54300,209821,0.0,90,TIGER 200 철강소재
2025-01-21,풍산,103140,KOSPI,54800,55300,54300,54900,158225,1.1,90,TIGER 200 철강소재
2025-01-22,풍산,103140,KOSPI,55500,56100,55000,55600,140549,1.28,90,TIGER 200 철강소재
2025-01-23,풍산,103140,KOSPI,55800,56200,53200,53800,246118,-3.24,90,TIGER 200 철강소재
2025-01-24,풍산,103140,KOSPI,53500,54800,53200,54600,130410,1.49,90,TIGER 200 철강소재
2025-01-31,풍산,103140,KOSPI,54700,54900,52700,53000,170922,-2.93,90,TIGER 200 철강소재
2025-02-03,풍산,103140,KOSPI,51700,52000,50700,51200,201694,-3.4,90,TIGER 200 철강소재
2025-02-04,풍산,103140,KOSPI,51800,52300,51400,51900,128731,1.37,90,TIGER 200 철강소재
2025-02-05,풍산,103140,KOSPI,52300,52800,51900,52200,105819,0.58,90,TIGER 200 철강소재
2025-02-06,풍산,103140,KOSPI,52900,54200,52700,54100,221326,3.64,90,TIGER 200 철강소재
2025-02-07,풍산,103140,KOSPI,54200,55800,53700,55000,282589,1.66,90,TIGER 200 철강소재
2025-02-10,풍산,103140,KOSPI,56100,56900,54900,56400,415248,2.55,90,TIGER 200 철강소재
2025-02-11,풍산,103140,KOSPI,57000,58800,54400,54900,601315,-2.66,90,TIGER 200 철강소재
2025-02-12,풍산,103140,KOSPI,54000,56300,54000,55900,283457,1.82,90,TIGER 200 철강소재
2025-02-13,풍산,103140,KOSPI,56000,56300,54700,56000,242793,0.18,90,TIGER 200 철강소재
2025-02-14,풍산,103140,KOSPI,56500,56600,55000,55800,199567,-0.36,90,TIGER 200 철강소재
2025-02-17,풍산,103140,KOSPI,55800,59700,55800,59400,486852,6.45,90,TIGER 200 철강소재
2025-02-18,풍산,103140,KOSPI,60900,64100,60300,61000,1158834,2.69,90,TIGER 200 철강소재
2025-02-19,풍산,103140,KOSPI,60800,61000,58700,58900,479005,-3.44,90,TIGER 200 철강소재
2025-02-20,풍산,103140,KOSPI,61500,62100,59100,60400,624074,2.55,90,TIGER 200 철강소재
2025-02-21,풍산,103140,KOSPI,60800,62100,59200,60700,410924,0.5,90,TIGER 200 철강소재
2025-02-24,풍산,103140,KOSPI,60000,61500,58700,59700,293613,-1.65,90,TIGER 200 철강소재
2025-02-25,풍산,103140,KOSPI,59200,59400,58600,58900,237711,-1.34,90,TIGER 200 철강소재
2025-02-26,풍산,103140,KOSPI,60000,61400,58800,59200,319746,0.51,90,TIGER 200 철강소재
2025-02-27,풍산,103140,KOSPI,58000,58200,56800,57000,353061,-3.72,90,TIGER 200 철강소재
2025-02-28,풍산,103140,KOSPI,56500,56500,54400,54900,297749,-3.68,90,TIGER 200 철강소재
2025-03-04,풍산,103140,KOSPI,56000,59500,55900,59100,761197,7.65,90,TIGER 200 철강소재
2025-03-05,풍산,103140,KOSPI,59000,60500,57900,60300,392907,2.03,90,TIGER 200 철강소재
2025-03-06,풍산,103140,KOSPI,62100,64000,61500,62100,821837,2.99,90,TIGER 200 철강소재
2025-03-07,풍산,103140,KOSPI,62100,67300,61500,65000,1112306,4.67,90,TIGER 200 철강소재
2025-03-10,풍산,103140,KOSPI,66900,68600,65200,66200,624414,1.85,90,TIGER 200 철강소재
2025-03-11,풍산,103140,KOSPI,63500,65800,63400,65400,425616,-1.21,90,TIGER 200 철강소재
2025-03-12,풍산,103140,KOSPI,65100,66100,60500,61500,726717,-5.96,90,TIGER 200 철강소재
2025-03-13,풍산,103140,KOSPI,62000,64800,61800,63800,415039,3.74,90,TIGER 200 철강소재
2025-03-14,풍산,103140,KOSPI,64600,66400,63200,64700,326875,1.41,90,TIGER 200 철강소재
2025-03-17,풍산,103140,KOSPI,64600,65500,63800,64900,313721,0.31,90,TIGER 200 철강소재
2025-03-18,풍산,103140,KOSPI,65200,66200,63400,63800,260498,-1.69,90,TIGER 200 철강소재
