날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,KB금융,105560,KOSPI,88300,89500,87900,88800,380114,0.0,70,"TIGER 200 금융,KODEX 은행"
2025-01-21,KB금융,105560,KOSPI,89600,90100,88100,88900,478811,0.11,70,"TIGER 200 금융,KODEX 은행"
2025-01-22,KB금융,105560,KOSPI,89900,90000,88900,89400,764445,0.56,70,"TIGER 200 금융,KODEX 은행"
2025-01-23,KB금융,105560,KOSPI,89800,91000,88600,88600,771073,-0.89,70,"TIGER 200 금융,KODEX 은행"
2025-01-24,KB금융,105560,KOSPI,88600,89100,87800,88900,1024781,0.34,70,"TIGER 200 금융,KODEX 은행"
2025-01-31,KB금융,105560,KOSPI,89700,91900,89700,91700,2113398,3.15,70,"TIGER 200 금융,KODEX 은행"
2025-02-03,KB금융,105560,KOSPI,91600,92000,88100,88800,970789,-3.16,70,"TIGER 200 금융,KODEX 은행"
2025-02-04,KB금융,105560,KOSPI,90000,92000,89700,91300,1272273,2.82,70,"TIGER 200 금융,KODEX 은행"
2025-02-05,KB금융,105560,KOSPI,92300,93300,90400,91000,898948,-0.33,70,"TIGER 200 금융,KODEX 은행"
2025-02-06,KB금융,105560,KOSPI,87900,88000,83100,84900,3473264,-6.7,70,"TIGER 200 금융,KODEX 은행"
2025-02-07,KB금융,105560,KOSPI,85900,86300,84900,86000,2067392,1.3,70,"TIGER 200 금융,KODEX 은행"
2025-02-10,KB금융,105560,KOSPI,85900,86900,84900,84900,1409776,-1.28,70,"TIGER 200 금융,KODEX 은행"
2025-02-11,KB금융,105560,KOSPI,85100,85600,83800,84200,1278762,-0.82,70,"TIGER 200 금융,KODEX 은행"
2025-02-12,KB금융,105560,KOSPI,83200,85000,81900,82000,1948739,-2.61,70,"TIGER 200 금융,KODEX 은행"
2025-02-13,KB금융,105560,KOSPI,82000,82100,79100,79400,3880882,-3.17,70,"TIGER 200 금융,KODEX 은행"
2025-02-14,KB금융,105560,KOSPI,79100,80200,78700,79700,2655434,0.38,70,"TIGER 200 금융,KODEX 은행"
2025-02-17,KB금융,105560,KOSPI,79200,81100,77600,81000,2650482,1.63,70,"TIGER 200 금융,KODEX 은행"
2025-02-18,KB금융,105560,KOSPI,81000,82300,80600,82100,1279204,1.36,70,"TIGER 200 금융,KODEX 은행"
2025-02-19,KB금융,105560,KOSPI,82400,82600,81800,82200,1334119,0.12,70,"TIGER 200 금융,KODEX 은행"
2025-02-20,KB금융,105560,KOSPI,83000,83400,81300,82700,1698239,0.61,70,"TIGER 200 금융,KODEX 은행"
2025-02-21,KB금융,105560,KOSPI,82600,83500,82300,82700,1662225,0.0,70,"TIGER 200 금융,KODEX 은행"
2025-02-24,KB금융,105560,KOSPI,82700,83300,81700,82000,1001661,-0.85,70,"TIGER 200 금융,KODEX 은행"
2025-02-25,KB금융,105560,KOSPI,81400,82200,81300,81400,798719,-0.73,70,"TIGER 200 금융,KODEX 은행"
2025-02-26,KB금융,105560,KOSPI,82000,82100,80700,81500,1264119,0.12,70,"TIGER 200 금융,KODEX 은행"
2025-02-27,KB금융,105560,KOSPI,81500,81500,79900,80800,1512909,-0.86,70,"TIGER 200 금융,KODEX 은행"
2025-02-28,KB금융,105560,KOSPI,80100,80700,78300,78300,1490037,-3.09,70,"TIGER 200 금융,KODEX 은행"
2025-03-04,KB금융,105560,KOSPI,78500,79200,77100,77900,1154886,-0.51,70,"TIGER 200 금융,KODEX 은행"
2025-03-05,KB금융,105560,KOSPI,79200,79600,76400,76600,1562477,-1.67,70,"TIGER 200 금융,KODEX 은행"
2025-03-06,KB금융,105560,KOSPI,77800,79200,77500,78600,1559898,2.61,70,"TIGER 200 금융,KODEX 은행"
2025-03-07,KB금융,105560,KOSPI,78600,79200,77700,77700,1168545,-1.15,70,"TIGER 200 금융,KODEX 은행"
2025-03-10,KB금융,105560,KOSPI,77000,79000,76600,78500,961703,1.03,70,"TIGER 200 금융,KODEX 은행"
2025-03-11,KB금융,105560,KOSPI,78000,78300,76500,77400,1259132,-1.4,70,"TIGER 200 금융,KODEX 은행"
2025-03-12,KB금융,105560,KOSPI,77800,78100,76400,76900,1425883,-0.65,70,"TIGER 200 금융,KODEX 은행"
2025-03-13,KB금융,105560,KOSPI,77400,79800,77300,78600,2826631,2.21,70,"TIGER 200 금융,KODEX 은행"
2025-03-14,KB금융,105560,KOSPI,77500,80000,77100,78300,1596060,-0.38,70,"TIGER 200 금융,KODEX 은행"
2025-03-17,KB금융,105560,KOSPI,79100,79900,78400,78900,804423,0.77,70,"TIGER 200 금융,KODEX 은행"
2025-03-18,KB금융,105560,KOSPI,79900,81100,79800,80200,1164823,1.65,70,"TIGER 200 금융,KODEX 은행"
