날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,와이지엔터테인먼트,122870,KOSPI,48650,49100,47800,47950,172838,0.0,90,"ACE KPOP포커스,TIGER 미디어컨텐츠"
2025-01-21,와이지엔터테인먼트,122870,KOSPI,47900,49000,47700,48300,130308,0.73,90,"ACE KPOP포커스,TIGER 미디어컨텐츠"
2025-01-22,와이지엔터테인먼트,122870,KOSPI,48300,48800,47450,48400,147488,0.21,90,"ACE KPOP포커스,TIGER 미디어컨텐츠"
2025-01-23,와이지엔터테인먼트,122870,KOSPI,48600,50000,48600,49100,204517,1.45,90,"ACE KPOP포커스,TIGER 미디어컨텐츠"
2025-01-24,와이지엔터테인먼트,122870,KOSPI,49200,50500,48700,49750,219508,1.32,90,"ACE KPOP포커스,TIGER 미디어컨텐츠"
2025-01-31,와이지엔터테인먼트,122870,KOSPI,50600,51200,49650,49850,247209,0.2,90,"ACE KPOP포커스,TIGER 미디어컨텐츠"
2025-02-03,와이지엔터테인먼트,122870,KOSPI,49500,51200,49300,50500,173535,1.3,90,"ACE KPOP포커스,TIGER 미디어컨텐츠"
2025-02-04,와이지엔터테인먼트,122870,KOSPI,50500,52000,49900,51700,313011,2.38,90,"ACE KPOP포커스,TIGER 미디어컨텐츠"
2025-02-05,와이지엔터테인먼트,122870,KOSPI,51900,52400,51400,51700,141220,0.0,90,"ACE KPOP포커스,TIGER 미디어컨텐츠"
2025-02-06,와이지엔터테인먼트,122870,KOSPI,52900,53700,51700,52500,229500,1.55,90,"ACE KPOP포커스,TIGER 미디어컨텐츠"
2025-02-07,와이지엔터테인먼트,122870,KOSPI,53000,53400,51900,52400,211831,-0.19,90,"ACE KPOP포커스,TIGER 미디어컨텐츠"
2025-02-10,와이지엔터테인먼트,122870,KOSPI,53800,54700,52500,52700,392294,0.57,90,"ACE KPOP포커스,TIGER 미디어컨텐츠"
2025-02-11,와이지엔터테인먼트,122870,KOSPI,52700,53900,52600,53800,189290,2.09,90,"ACE KPOP포커스,TIGER 미디어컨텐츠"
2025-02-12,와이지엔터테인먼트,122870,KOSPI,53800,53800,52800,53800,116921,0.0,90,"ACE KPOP포커스,TIGER 미디어컨텐츠"
2025-02-13,와이지엔터테인먼트,122870,KOSPI,53900,54000,52400,53400,188204,-0.74,90,"ACE KPOP포커스,TIGER 미디어컨텐츠"
2025-02-14,와이지엔터테인먼트,122870,KOSPI,53000,53800,51300,51700,214818,-3.18,90,"ACE KPOP포커스,TIGER 미디어컨텐츠"
2025-02-17,와이지엔터테인먼트,122870,KOSPI,51500,51700,50100,51500,223957,-0.39,90,"ACE KPOP포커스,TIGER 미디어컨텐츠"
2025-02-18,와이지엔터테인먼트,122870,KOSPI,51000,52400,51000,51900,105002,0.78,90,"ACE KPOP포커스,TIGER 미디어컨텐츠"
2025-02-19,와이지엔터테인먼트,122870,KOSPI,51200,53400,51200,53200,249508,2.5,90,"ACE KPOP포커스,TIGER 미디어컨텐츠"
2025-02-20,와이지엔터테인먼트,122870,KOSPI,57400,62000,56300,60200,2713656,13.16,90,"ACE KPOP포커스,TIGER 미디어컨텐츠"
