날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,한미약품,128940,KOSPI,256500,257500,253000,255000,29264,0.0,24,"TIGER 200 헬스케어,KIWOOM 의료AI"
2025-01-21,한미약품,128940,KOSPI,256000,260500,254000,254500,31860,-0.2,24,"TIGER 200 헬스케어,KIWOOM 의료AI"
2025-01-22,한미약품,128940,KOSPI,256000,257500,250500,253000,42148,-0.59,24,"TIGER 200 헬스케어,KIWOOM 의료AI"
2025-01-23,한미약품,128940,KOSPI,254000,254000,246000,246500,59547,-2.57,24,"TIGER 200 헬스케어,KIWOOM 의료AI"
2025-01-24,한미약품,128940,KOSPI,247000,247500,243500,245000,37180,-0.61,24,"TIGER 200 헬스케어,KIWOOM 의료AI"
2025-01-31,한미약품,128940,KOSPI,247000,249500,242000,244000,38778,-0.41,24,"TIGER 200 헬스케어,KIWOOM 의료AI"
2025-02-03,한미약품,128940,KOSPI,244000,244000,233000,234000,54700,-4.1,24,"TIGER 200 헬스케어,KIWOOM 의료AI"
2025-02-04,한미약품,128940,KOSPI,236500,242000,235500,238000,34525,1.71,24,"TIGER 200 헬스케어,KIWOOM 의료AI"
2025-02-05,한미약품,128940,KOSPI,242500,252500,242500,251500,93460,5.67,24,"TIGER 200 헬스케어,KIWOOM 의료AI"
2025-02-06,한미약품,128940,KOSPI,254000,256500,249000,254500,55534,1.19,24,"TIGER 200 헬스케어,KIWOOM 의료AI"
2025-02-07,한미약품,128940,KOSPI,252500,261000,252000,257500,51824,1.18,24,"TIGER 200 헬스케어,KIWOOM 의료AI"
2025-02-10,한미약품,128940,KOSPI,259500,266500,259000,263500,65194,2.33,24,"TIGER 200 헬스케어,KIWOOM 의료AI"
2025-02-11,한미약품,128940,KOSPI,265500,268500,261000,264500,65632,0.38,24,"TIGER 200 헬스케어,KIWOOM 의료AI"
2025-02-12,한미약품,128940,KOSPI,265500,265500,254500,256000,65363,-3.21,24,"TIGER 200 헬스케어,KIWOOM 의료AI"
2025-02-13,한미약품,128940,KOSPI,256000,267500,252500,267500,51767,4.49,24,"TIGER 200 헬스케어,KIWOOM 의료AI"
2025-02-14,한미약품,128940,KOSPI,267000,267000,258500,260500,52190,-2.62,24,"TIGER 200 헬스케어,KIWOOM 의료AI"
2025-02-17,한미약품,128940,KOSPI,260500,263000,259000,261000,31592,0.19,24,"TIGER 200 헬스케어,KIWOOM 의료AI"
2025-02-18,한미약품,128940,KOSPI,262000,264500,257000,262500,32335,0.57,24,"TIGER 200 헬스케어,KIWOOM 의료AI"
2025-02-19,한미약품,128940,KOSPI,263000,265500,261000,264000,30565,0.57,24,"TIGER 200 헬스케어,KIWOOM 의료AI"
2025-02-20,한미약품,128940,KOSPI,264500,274000,262000,269500,96762,2.08,24,"TIGER 200 헬스케어,KIWOOM 의료AI"
2025-02-21,한미약품,128940,KOSPI,270000,274000,268500,268500,35665,-0.37,24,"TIGER 200 헬스케어,KIWOOM 의료AI"
2025-02-24,한미약품,128940,KOSPI,264000,270000,264000,268500,31345,0.0,24,"TIGER 200 헬스케어,KIWOOM 의료AI"
2025-02-25,한미약품,128940,KOSPI,267500,269000,263000,266000,45499,-0.93,24,"TIGER 200 헬스케어,KIWOOM 의료AI"
2025-02-26,한미약품,128940,KOSPI,268500,269500,265500,268000,50550,0.75,24,"TIGER 200 헬스케어,KIWOOM 의료AI"
2025-02-27,한미약품,128940,KOSPI,268000,270500,250000,252500,116071,-5.78,24,"TIGER 200 헬스케어,KIWOOM 의료AI"
2025-02-28,한미약품,128940,KOSPI,249500,254500,240000,240000,682281,-4.95,24,"TIGER 200 헬스케어,KIWOOM 의료AI"
2025-03-04,한미약품,128940,KOSPI,240000,246000,237500,240500,106618,0.21,24,"TIGER 200 헬스케어,KIWOOM 의료AI"
2025-03-05,한미약품,128940,KOSPI,241500,263500,241500,262500,155159,9.15,24,"TIGER 200 헬스케어,KIWOOM 의료AI"
2025-03-06,한미약품,128940,KOSPI,262500,263000,252000,255000,63532,-2.86,24,"TIGER 200 헬스케어,KIWOOM 의료AI"
2025-03-07,한미약품,128940,KOSPI,253500,253500,247500,248000,55525,-2.75,24,"TIGER 200 헬스케어,KIWOOM 의료AI"
2025-03-10,한미약품,128940,KOSPI,248000,258500,247000,249500,55395,0.6,24,"TIGER 200 헬스케어,KIWOOM 의료AI"
2025-03-11,한미약품,128940,KOSPI,244000,246000,241500,244000,62486,-2.2,24,"TIGER 200 헬스케어,KIWOOM 의료AI"
2025-03-12,한미약품,128940,KOSPI,244500,247000,242500,243000,52739,-0.41,24,"TIGER 200 헬스케어,KIWOOM 의료AI"
2025-03-13,한미약품,128940,KOSPI,243000,249000,241500,242000,91970,-0.41,24,"TIGER 200 헬스케어,KIWOOM 의료AI"
2025-03-14,한미약품,128940,KOSPI,243000,247500,241000,245000,30574,1.24,24,"TIGER 200 헬스케어,KIWOOM 의료AI"
2025-03-17,한미약품,128940,KOSPI,246000,247500,244000,246000,37194,0.41,24,"TIGER 200 헬스케어,KIWOOM 의료AI"
2025-03-18,한미약품,128940,KOSPI,248000,248500,243000,245500,36051,-0.2,24,"TIGER 200 헬스케어,KIWOOM 의료AI"
