날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,파크시스템스,140860,KOSPI,243000,245500,238000,243000,10483,0.0,69,SOL 반도체전공정
2025-01-21,파크시스템스,140860,KOSPI,245000,249500,242500,247500,13980,1.85,69,SOL 반도체전공정
2025-01-22,파크시스템스,140860,KOSPI,248500,250000,237500,245500,16309,-0.81,69,SOL 반도체전공정
2025-01-23,파크시스템스,140860,KOSPI,245000,245500,240000,243500,11996,-0.81,69,SOL 반도체전공정
2025-01-24,파크시스템스,140860,KOSPI,245500,248000,243500,244500,7090,0.41,69,SOL 반도체전공정
2025-01-31,파크시스템스,140860,KOSPI,237000,243000,233500,236000,30583,-3.48,69,SOL 반도체전공정
2025-02-03,파크시스템스,140860,KOSPI,230500,232500,222500,229500,31639,-2.75,69,SOL 반도체전공정
2025-02-04,파크시스템스,140860,KOSPI,234000,234000,226000,226000,17830,-1.53,69,SOL 반도체전공정
2025-02-05,파크시스템스,140860,KOSPI,232500,238000,224500,226000,29091,0.0,69,SOL 반도체전공정
2025-02-06,파크시스템스,140860,KOSPI,232000,233000,225000,229000,22197,1.33,69,SOL 반도체전공정
2025-02-07,파크시스템스,140860,KOSPI,227000,235000,226000,231500,19317,1.09,69,SOL 반도체전공정
2025-02-10,파크시스템스,140860,KOSPI,228500,238000,228500,237000,20667,2.38,69,SOL 반도체전공정
2025-02-11,파크시스템스,140860,KOSPI,239000,240000,230500,232000,25762,-2.11,69,SOL 반도체전공정
2025-02-12,파크시스템스,140860,KOSPI,230500,235500,225500,227500,25473,-1.94,69,SOL 반도체전공정
2025-02-13,파크시스템스,140860,KOSPI,228500,232500,228000,230000,12863,1.1,69,SOL 반도체전공정
2025-02-14,파크시스템스,140860,KOSPI,228000,230500,221000,222000,20574,-3.48,69,SOL 반도체전공정
2025-02-17,파크시스템스,140860,KOSPI,223500,226000,217500,218500,32048,-1.58,69,SOL 반도체전공정
2025-02-18,파크시스템스,140860,KOSPI,216500,218500,211000,215000,46861,-1.6,69,SOL 반도체전공정
2025-02-19,파크시스템스,140860,KOSPI,219000,226500,217000,219000,48701,1.86,69,SOL 반도체전공정
2025-02-20,파크시스템스,140860,KOSPI,215500,222500,211500,217000,31676,-0.91,69,SOL 반도체전공정
2025-02-21,파크시스템스,140860,KOSPI,217000,219500,212000,216500,19916,-0.23,69,SOL 반도체전공정
2025-02-24,파크시스템스,140860,KOSPI,212500,217500,212500,216500,17323,0.0,69,SOL 반도체전공정
2025-02-25,파크시스템스,140860,KOSPI,213000,217000,212500,214500,13103,-0.92,69,SOL 반도체전공정
2025-02-26,파크시스템스,140860,KOSPI,213000,218000,213000,215500,16695,0.47,69,SOL 반도체전공정
2025-02-27,파크시스템스,140860,KOSPI,213500,223000,213500,222000,27090,3.02,69,SOL 반도체전공정
2025-02-28,파크시스템스,140860,KOSPI,218000,219500,207000,207000,34305,-6.76,69,SOL 반도체전공정
2025-03-04,파크시스템스,140860,KOSPI,207000,207500,199900,201000,33377,-2.9,69,SOL 반도체전공정
2025-03-05,파크시스템스,140860,KOSPI,199100,202500,195500,201000,43606,0.0,69,SOL 반도체전공정
2025-03-06,파크시스템스,140860,KOSPI,202500,202500,192000,194100,50421,-3.43,69,SOL 반도체전공정
2025-03-07,파크시스템스,140860,KOSPI,194100,198500,192000,195400,39151,0.67,69,SOL 반도체전공정
2025-03-10,파크시스템스,140860,KOSPI,194100,196200,188800,188900,36018,-3.33,69,SOL 반도체전공정
2025-03-11,파크시스템스,140860,KOSPI,183000,191500,181300,189100,41501,0.11,69,SOL 반도체전공정
2025-03-12,파크시스템스,140860,KOSPI,189200,199100,187500,196500,22728,3.91,69,SOL 반도체전공정
2025-03-13,파크시스템스,140860,KOSPI,198900,199600,193100,193100,30938,-1.73,69,SOL 반도체전공정
2025-03-14,파크시스템스,140860,KOSPI,193100,205000,192000,200500,31036,3.83,69,SOL 반도체전공정
2025-03-17,파크시스템스,140860,KOSPI,201500,208500,201500,203500,18200,1.5,69,SOL 반도체전공정
