날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,리가켐바이오,141080,KOSPI,121600,123900,118100,121200,466293,0.0,80,TIGER 코스닥150바이오테크
2025-01-21,리가켐바이오,141080,KOSPI,122600,124600,119600,119900,477171,-1.07,80,TIGER 코스닥150바이오테크
2025-01-22,리가켐바이오,141080,KOSPI,120900,123300,118400,118400,568088,-1.25,80,TIGER 코스닥150바이오테크
2025-01-23,리가켐바이오,141080,KOSPI,118000,121100,117600,119600,411831,1.01,80,TIGER 코스닥150바이오테크
2025-01-24,리가켐바이오,141080,KOSPI,120300,123300,118600,122500,516116,2.42,80,TIGER 코스닥150바이오테크
2025-01-31,리가켐바이오,141080,KOSPI,123900,126500,120100,126500,644060,3.27,80,TIGER 코스닥150바이오테크
2025-02-03,리가켐바이오,141080,KOSPI,123000,124100,116100,116200,733171,-8.14,80,TIGER 코스닥150바이오테크
2025-02-04,리가켐바이오,141080,KOSPI,119000,125200,118200,122300,751639,5.25,80,TIGER 코스닥150바이오테크
2025-02-05,리가켐바이오,141080,KOSPI,122500,124100,120600,122100,457339,-0.16,80,TIGER 코스닥150바이오테크
2025-02-06,리가켐바이오,141080,KOSPI,123500,130800,123000,129000,959376,5.65,80,TIGER 코스닥150바이오테크
2025-02-07,리가켐바이오,141080,KOSPI,128000,130600,126800,127400,493899,-1.24,80,TIGER 코스닥150바이오테크
2025-02-10,리가켐바이오,141080,KOSPI,126900,128400,124200,124700,592426,-2.12,80,TIGER 코스닥150바이오테크
2025-02-11,리가켐바이오,141080,KOSPI,125900,126500,117000,118000,905276,-5.37,80,TIGER 코스닥150바이오테크
2025-02-12,리가켐바이오,141080,KOSPI,118500,118500,113100,116000,595036,-1.69,80,TIGER 코스닥150바이오테크
2025-02-13,리가켐바이오,141080,KOSPI,116600,120000,113300,115200,823636,-0.69,80,TIGER 코스닥150바이오테크
2025-02-14,리가켐바이오,141080,KOSPI,117800,118800,115000,118300,546443,2.69,80,TIGER 코스닥150바이오테크
2025-02-17,리가켐바이오,141080,KOSPI,119500,121100,114800,117000,613796,-1.1,80,TIGER 코스닥150바이오테크
2025-02-18,리가켐바이오,141080,KOSPI,117300,118400,113700,117700,693039,0.6,80,TIGER 코스닥150바이오테크
2025-02-19,리가켐바이오,141080,KOSPI,118000,118000,112600,112900,667457,-4.08,80,TIGER 코스닥150바이오테크
2025-02-20,리가켐바이오,141080,KOSPI,112200,114700,109800,110200,635710,-2.39,80,TIGER 코스닥150바이오테크
2025-02-21,리가켐바이오,141080,KOSPI,111000,115000,110500,114600,459714,3.99,80,TIGER 코스닥150바이오테크
2025-02-24,리가켐바이오,141080,KOSPI,112600,114600,111500,112400,312671,-1.92,80,TIGER 코스닥150바이오테크
2025-02-25,리가켐바이오,141080,KOSPI,111000,114200,107600,113500,352238,0.98,80,TIGER 코스닥150바이오테크
2025-02-26,리가켐바이오,141080,KOSPI,113500,114600,111500,113700,251529,0.18,80,TIGER 코스닥150바이오테크
2025-02-27,리가켐바이오,141080,KOSPI,114400,116100,110200,111800,460254,-1.67,80,TIGER 코스닥150바이오테크
2025-02-28,리가켐바이오,141080,KOSPI,110100,113300,109000,110000,334910,-1.61,80,TIGER 코스닥150바이오테크
2025-03-04,리가켐바이오,141080,KOSPI,110000,114400,108400,113900,338581,3.55,80,TIGER 코스닥150바이오테크
2025-03-05,리가켐바이오,141080,KOSPI,114500,117200,113400,115600,505336,1.49,80,TIGER 코스닥150바이오테크
2025-03-06,리가켐바이오,141080,KOSPI,116300,116300,110000,111600,465396,-3.46,80,TIGER 코스닥150바이오테크
2025-03-07,리가켐바이오,141080,KOSPI,110100,112100,103600,104900,624231,-6.0,80,TIGER 코스닥150바이오테크
2025-03-10,리가켐바이오,141080,KOSPI,104200,108900,102900,107000,304236,2.0,80,TIGER 코스닥150바이오테크
2025-03-11,리가켐바이오,141080,KOSPI,103900,106000,103100,105700,268255,-1.21,80,TIGER 코스닥150바이오테크
2025-03-12,리가켐바이오,141080,KOSPI,105800,106900,102900,103100,340247,-2.46,80,TIGER 코스닥150바이오테크
2025-03-13,리가켐바이오,141080,KOSPI,104500,105700,102400,102700,382090,-0.39,80,TIGER 코스닥150바이오테크
2025-03-14,리가켐바이오,141080,KOSPI,102700,107700,102000,103300,368846,0.58,80,TIGER 코스닥150바이오테크
2025-03-17,리가켐바이오,141080,KOSPI,103400,108400,101500,107800,541372,4.36,80,TIGER 코스닥150바이오테크
2025-03-18,리가켐바이오,141080,KOSPI,107700,108400,105700,106600,345564,-1.11,80,TIGER 코스닥150바이오테크
2025-03-19,리가켐바이오,141080,KOSPI,106200,108200,103100,103700,288337,-2.72,80,TIGER 코스닥150바이오테크
2025-03-20,리가켐바이오,141080,KOSPI,104500,104700,98700,98800,491105,-4.73,80,TIGER 코스닥150바이오테크
2025-03-21,리가켐바이오,141080,KOSPI,99000,102400,98300,100500,419409,1.72,80,TIGER 코스닥150바이오테크
