날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-22,휴젤,145020,KOSPI,254500,259500,246000,248000,77214,0.0,94,"SOL 의료기기소부장Fn,HANARO K-뷰티"
2025-01-23,휴젤,145020,KOSPI,248000,250000,239000,239000,71234,-3.63,94,"SOL 의료기기소부장Fn,HANARO K-뷰티"
2025-01-24,휴젤,145020,KOSPI,237500,239500,231000,231000,158309,-3.35,94,"SOL 의료기기소부장Fn,HANARO K-뷰티"
2025-01-31,휴젤,145020,KOSPI,231000,239500,229000,237500,79978,2.81,94,"SOL 의료기기소부장Fn,HANARO K-뷰티"
2025-02-03,휴젤,145020,KOSPI,232000,238000,230000,234500,50567,-1.26,94,"SOL 의료기기소부장Fn,HANARO K-뷰티"
2025-02-04,휴젤,145020,KOSPI,237500,244500,235500,241000,53155,2.77,94,"SOL 의료기기소부장Fn,HANARO K-뷰티"
2025-02-05,휴젤,145020,KOSPI,242000,247500,240000,242500,38576,0.62,94,"SOL 의료기기소부장Fn,HANARO K-뷰티"
2025-02-06,휴젤,145020,KOSPI,241500,254500,241500,252500,75717,4.12,94,"SOL 의료기기소부장Fn,HANARO K-뷰티"
2025-02-07,휴젤,145020,KOSPI,253000,255500,250500,251000,26466,-0.59,94,"SOL 의료기기소부장Fn,HANARO K-뷰티"
2025-02-10,휴젤,145020,KOSPI,247000,262500,245000,258500,76583,2.99,94,"SOL 의료기기소부장Fn,HANARO K-뷰티"
2025-02-11,휴젤,145020,KOSPI,260000,263500,255000,257500,67534,-0.39,94,"SOL 의료기기소부장Fn,HANARO K-뷰티"
2025-02-12,휴젤,145020,KOSPI,257500,264500,255500,261000,59148,1.36,94,"SOL 의료기기소부장Fn,HANARO K-뷰티"
2025-02-13,휴젤,145020,KOSPI,262500,269000,258000,259000,103826,-0.77,94,"SOL 의료기기소부장Fn,HANARO K-뷰티"
2025-02-14,휴젤,145020,KOSPI,265000,291000,263500,288000,365324,11.2,94,"SOL 의료기기소부장Fn,HANARO K-뷰티"
2025-02-17,휴젤,145020,KOSPI,292500,292500,280000,287000,72590,-0.35,94,"SOL 의료기기소부장Fn,HANARO K-뷰티"
2025-02-18,휴젤,145020,KOSPI,287000,289000,276500,279500,70187,-2.61,94,"SOL 의료기기소부장Fn,HANARO K-뷰티"
2025-02-19,휴젤,145020,KOSPI,283000,287000,279000,284500,58042,1.79,94,"SOL 의료기기소부장Fn,HANARO K-뷰티"
2025-02-20,휴젤,145020,KOSPI,282000,290000,278500,287500,69715,1.05,94,"SOL 의료기기소부장Fn,HANARO K-뷰티"
2025-02-21,휴젤,145020,KOSPI,289000,309500,288000,308500,195511,7.3,94,"SOL 의료기기소부장Fn,HANARO K-뷰티"
2025-02-24,휴젤,145020,KOSPI,307500,312500,306000,308000,77225,-0.16,94,"SOL 의료기기소부장Fn,HANARO K-뷰티"
2025-02-25,휴젤,145020,KOSPI,305500,319000,304500,316500,86569,2.76,94,"SOL 의료기기소부장Fn,HANARO K-뷰티"
2025-02-26,휴젤,145020,KOSPI,316500,328500,316500,323500,96651,2.21,94,"SOL 의료기기소부장Fn,HANARO K-뷰티"
2025-02-27,휴젤,145020,KOSPI,322000,332000,320000,329500,81386,1.85,94,"SOL 의료기기소부장Fn,HANARO K-뷰티"
2025-02-28,휴젤,145020,KOSPI,326500,326500,317000,317000,100614,-3.79,94,"SOL 의료기기소부장Fn,HANARO K-뷰티"
2025-03-04,휴젤,145020,KOSPI,301000,315500,296000,312000,79750,-1.58,94,"SOL 의료기기소부장Fn,HANARO K-뷰티"
2025-03-05,휴젤,145020,KOSPI,325000,326000,312000,315000,72522,0.96,94,"SOL 의료기기소부장Fn,HANARO K-뷰티"
2025-03-06,휴젤,145020,KOSPI,314500,321000,312500,315500,50677,0.16,94,"SOL 의료기기소부장Fn,HANARO K-뷰티"
2025-03-07,휴젤,145020,KOSPI,311000,312000,300000,302500,76657,-4.12,94,"SOL 의료기기소부장Fn,HANARO K-뷰티"
2025-03-10,휴젤,145020,KOSPI,302000,324500,301000,322000,75248,6.45,94,"SOL 의료기기소부장Fn,HANARO K-뷰티"
2025-03-11,휴젤,145020,KOSPI,317500,336500,312500,329000,101204,2.17,94,"SOL 의료기기소부장Fn,HANARO K-뷰티"
2025-03-12,휴젤,145020,KOSPI,332000,346000,331000,334500,85372,1.67,94,"SOL 의료기기소부장Fn,HANARO K-뷰티"
2025-03-13,휴젤,145020,KOSPI,339000,340500,328500,330500,69852,-1.2,94,"SOL 의료기기소부장Fn,HANARO K-뷰티"
2025-03-14,휴젤,145020,KOSPI,332500,337500,329500,330000,27349,-0.15,94,"SOL 의료기기소부장Fn,HANARO K-뷰티"
2025-03-17,휴젤,145020,KOSPI,333000,338000,326500,329000,62708,-0.3,94,"SOL 의료기기소부장Fn,HANARO K-뷰티"
2025-03-18,휴젤,145020,KOSPI,332000,337000,321500,333500,59842,1.37,94,"SOL 의료기기소부장Fn,HANARO K-뷰티"
2025-03-19,휴젤,145020,KOSPI,335000,337000,329500,330500,27568,-0.9,94,"SOL 의료기기소부장Fn,HANARO K-뷰티"
2025-03-20,휴젤,145020,KOSPI,333000,340000,327000,330000,84520,-0.15,94,"SOL 의료기기소부장Fn,HANARO K-뷰티"
2025-03-21,휴젤,145020,KOSPI,332500,336000,329000,334000,35487,1.21,94,"SOL 의료기기소부장Fn,HANARO K-뷰티"
