날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,한국타이어앤테크놀로지,161390,KOSPI,40300,40400,39550,39800,156580,0.0,31,KODEX 자동차
2025-01-21,한국타이어앤테크놀로지,161390,KOSPI,40050,40350,39250,39900,148192,0.25,31,KODEX 자동차
2025-01-22,한국타이어앤테크놀로지,161390,KOSPI,40200,40250,39550,39900,189593,0.0,31,KODEX 자동차
2025-01-23,한국타이어앤테크놀로지,161390,KOSPI,40150,40450,39650,39700,172364,-0.5,31,KODEX 자동차
2025-01-24,한국타이어앤테크놀로지,161390,KOSPI,40050,40050,39400,39800,201836,0.25,31,KODEX 자동차
2025-01-31,한국타이어앤테크놀로지,161390,KOSPI,40400,41000,40150,40950,281019,2.89,31,KODEX 자동차
2025-02-03,한국타이어앤테크놀로지,161390,KOSPI,40250,40450,38750,39000,346193,-4.76,31,KODEX 자동차
2025-02-04,한국타이어앤테크놀로지,161390,KOSPI,39600,40600,39400,40050,273385,2.69,31,KODEX 자동차
2025-02-05,한국타이어앤테크놀로지,161390,KOSPI,39850,39850,36650,37750,1135686,-5.74,31,KODEX 자동차
2025-02-06,한국타이어앤테크놀로지,161390,KOSPI,37750,38300,37350,38300,408468,1.46,31,KODEX 자동차
2025-02-07,한국타이어앤테크놀로지,161390,KOSPI,37950,38300,37700,37850,259929,-1.17,31,KODEX 자동차
2025-02-10,한국타이어앤테크놀로지,161390,KOSPI,37700,37850,36750,37450,376969,-1.06,31,KODEX 자동차
2025-02-11,한국타이어앤테크놀로지,161390,KOSPI,37450,38000,37400,37750,259537,0.8,31,KODEX 자동차
2025-02-12,한국타이어앤테크놀로지,161390,KOSPI,37750,37850,37250,37450,241295,-0.79,31,KODEX 자동차
2025-02-13,한국타이어앤테크놀로지,161390,KOSPI,37550,37850,37200,37850,366717,1.07,31,KODEX 자동차
2025-02-14,한국타이어앤테크놀로지,161390,KOSPI,37850,37850,37450,37800,221195,-0.13,31,KODEX 자동차
2025-02-17,한국타이어앤테크놀로지,161390,KOSPI,38000,38200,37700,38200,183185,1.06,31,KODEX 자동차
2025-02-18,한국타이어앤테크놀로지,161390,KOSPI,38300,38300,37900,38250,155239,0.13,31,KODEX 자동차
2025-02-19,한국타이어앤테크놀로지,161390,KOSPI,38400,39000,38250,38500,315494,0.65,31,KODEX 자동차
2025-02-20,한국타이어앤테크놀로지,161390,KOSPI,38250,38450,38100,38300,364158,-0.52,31,KODEX 자동차
2025-02-21,한국타이어앤테크놀로지,161390,KOSPI,38600,39750,38600,38650,351341,0.91,31,KODEX 자동차
2025-02-24,한국타이어앤테크놀로지,161390,KOSPI,38500,38550,37950,38250,212280,-1.03,31,KODEX 자동차
2025-02-25,한국타이어앤테크놀로지,161390,KOSPI,38000,38400,37550,37600,293588,-1.7,31,KODEX 자동차
2025-02-26,한국타이어앤테크놀로지,161390,KOSPI,37600,38000,37450,38000,304565,1.06,31,KODEX 자동차
2025-02-27,한국타이어앤테크놀로지,161390,KOSPI,37850,38250,37650,38250,265749,0.66,31,KODEX 자동차
2025-02-28,한국타이어앤테크놀로지,161390,KOSPI,38250,38400,37200,37900,612377,-0.92,31,KODEX 자동차
2025-03-04,한국타이어앤테크놀로지,161390,KOSPI,37800,38450,37500,37600,397059,-0.79,31,KODEX 자동차
2025-03-05,한국타이어앤테크놀로지,161390,KOSPI,37600,38200,37600,37850,273334,0.66,31,KODEX 자동차
2025-03-06,한국타이어앤테크놀로지,161390,KOSPI,38050,38500,37900,38350,410837,1.32,31,KODEX 자동차
2025-03-07,한국타이어앤테크놀로지,161390,KOSPI,38300,39150,38050,38400,224533,0.13,31,KODEX 자동차
2025-03-10,한국타이어앤테크놀로지,161390,KOSPI,38500,39650,38500,39350,303498,2.47,31,KODEX 자동차
2025-03-11,한국타이어앤테크놀로지,161390,KOSPI,38800,39550,38550,38800,337116,-1.4,31,KODEX 자동차
2025-03-12,한국타이어앤테크놀로지,161390,KOSPI,38650,39650,38550,39400,233332,1.55,31,KODEX 자동차
2025-03-13,한국타이어앤테크놀로지,161390,KOSPI,39400,41100,39200,40700,576017,3.3,31,KODEX 자동차
2025-03-14,한국타이어앤테크놀로지,161390,KOSPI,40550,40550,39900,40200,252987,-1.23,31,KODEX 자동차
2025-03-17,한국타이어앤테크놀로지,161390,KOSPI,40250,40725,39700,40550,306670,0.87,31,KODEX 자동차
2025-03-18,한국타이어앤테크놀로지,161390,KOSPI,40200,40900,39950,40300,316552,-0.62,31,KODEX 자동차
