날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-22,한국콜마,161890,KOSPI,62400,62600,61700,62000,159627,0.0,94,TIGER 화장품
2025-01-23,한국콜마,161890,KOSPI,62500,62500,60000,60800,186840,-1.94,94,TIGER 화장품
2025-01-24,한국콜마,161890,KOSPI,61000,61000,59200,60000,180866,-1.32,94,TIGER 화장품
2025-01-31,한국콜마,161890,KOSPI,60600,61100,59900,60600,134152,1.0,94,TIGER 화장품
2025-02-03,한국콜마,161890,KOSPI,59500,59900,57100,58700,147937,-3.14,94,TIGER 화장품
2025-02-04,한국콜마,161890,KOSPI,59600,61000,59200,60600,154784,3.24,94,TIGER 화장품
2025-02-05,한국콜마,161890,KOSPI,61400,61600,60000,60200,135512,-0.66,94,TIGER 화장품
2025-02-06,한국콜마,161890,KOSPI,60600,61400,59600,61000,143056,1.33,94,TIGER 화장품
2025-02-07,한국콜마,161890,KOSPI,60800,61000,59400,60000,127383,-1.64,94,TIGER 화장품
2025-02-10,한국콜마,161890,KOSPI,60100,60500,58700,59700,112040,-0.5,94,TIGER 화장품
2025-02-11,한국콜마,161890,KOSPI,59500,60700,58100,58500,234171,-2.01,94,TIGER 화장품
2025-02-12,한국콜마,161890,KOSPI,58700,59400,58000,58400,127484,-0.17,94,TIGER 화장품
2025-02-13,한국콜마,161890,KOSPI,58800,59000,57800,59000,199262,1.03,94,TIGER 화장품
2025-02-14,한국콜마,161890,KOSPI,58900,59800,58200,58300,170759,-1.19,94,TIGER 화장품
2025-02-17,한국콜마,161890,KOSPI,58400,58600,56700,57400,225299,-1.54,94,TIGER 화장품
2025-02-18,한국콜마,161890,KOSPI,57300,57600,56200,56500,268412,-1.57,94,TIGER 화장품
2025-02-19,한국콜마,161890,KOSPI,56800,57200,56200,56900,263029,0.71,94,TIGER 화장품
2025-02-20,한국콜마,161890,KOSPI,58100,59200,56500,56700,415866,-0.35,94,TIGER 화장품
2025-02-21,한국콜마,161890,KOSPI,57400,58900,56900,58800,375892,3.7,94,TIGER 화장품
2025-02-24,한국콜마,161890,KOSPI,57900,58100,56600,57700,288974,-1.87,94,TIGER 화장품
2025-02-25,한국콜마,161890,KOSPI,58600,59700,57500,58000,424002,0.52,94,TIGER 화장품
2025-02-26,한국콜마,161890,KOSPI,58600,60800,57400,60000,525604,3.45,94,TIGER 화장품
2025-02-27,한국콜마,161890,KOSPI,60500,61500,59100,60600,368012,1.0,94,TIGER 화장품
2025-02-28,한국콜마,161890,KOSPI,59700,62400,59300,61400,494772,1.32,94,TIGER 화장품
2025-03-04,한국콜마,161890,KOSPI,61400,62200,58800,60100,221563,-2.12,94,TIGER 화장품
2025-03-05,한국콜마,161890,KOSPI,60100,62400,60100,62100,275623,3.33,94,TIGER 화장품
2025-03-06,한국콜마,161890,KOSPI,62900,64200,61300,63200,271391,1.77,94,TIGER 화장품
2025-03-07,한국콜마,161890,KOSPI,62800,64800,62100,63400,218092,0.32,94,TIGER 화장품
2025-03-10,한국콜마,161890,KOSPI,64000,64000,61600,61900,191348,-2.37,94,TIGER 화장품
2025-03-11,한국콜마,161890,KOSPI,60100,62500,59500,61500,230850,-0.65,94,TIGER 화장품
2025-03-12,한국콜마,161890,KOSPI,61800,65900,61400,64800,411224,5.37,94,TIGER 화장품
2025-03-13,한국콜마,161890,KOSPI,65100,67400,64400,66700,496830,2.93,94,TIGER 화장품
2025-03-14,한국콜마,161890,KOSPI,66700,67400,65700,66100,196425,-0.9,94,TIGER 화장품
2025-03-17,한국콜마,161890,KOSPI,66900,69400,66100,66600,372471,0.76,94,TIGER 화장품
2025-03-18,한국콜마,161890,KOSPI,67400,67400,64900,65600,224585,-1.5,94,TIGER 화장품
2025-03-19,한국콜마,161890,KOSPI,65600,66600,64800,65300,133544,-0.46,94,TIGER 화장품
2025-03-20,한국콜마,161890,KOSPI,65400,67400,65300,65800,195569,0.77,94,TIGER 화장품
2025-03-21,한국콜마,161890,KOSPI,66000,67400,64800,66100,153885,0.46,94,TIGER 화장품
