날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,한진칼,180640,KOSPI,78900,80200,78400,79800,37805,0.0,85,KODEX 운송
2025-01-21,한진칼,180640,KOSPI,80500,83400,79600,79900,29392,0.13,85,KODEX 운송
2025-01-22,한진칼,180640,KOSPI,81400,82400,79500,81700,32968,2.25,85,KODEX 운송
2025-01-23,한진칼,180640,KOSPI,83800,83800,78500,79100,39734,-3.18,85,KODEX 운송
2025-01-24,한진칼,180640,KOSPI,79900,83900,79300,81400,38056,2.91,85,KODEX 운송
2025-01-31,한진칼,180640,KOSPI,84800,84900,81700,84100,46278,3.32,85,KODEX 운송
2025-02-03,한진칼,180640,KOSPI,79900,80800,77200,78500,100555,-6.66,85,KODEX 운송
2025-02-04,한진칼,180640,KOSPI,78800,85000,78800,82800,67119,5.48,85,KODEX 운송
2025-02-05,한진칼,180640,KOSPI,84800,84900,82500,82800,22801,0.0,85,KODEX 운송
2025-02-06,한진칼,180640,KOSPI,82600,84400,82500,84400,21011,1.93,85,KODEX 운송
2025-02-07,한진칼,180640,KOSPI,82800,83800,79100,79300,47150,-6.04,85,KODEX 운송
2025-02-10,한진칼,180640,KOSPI,80700,80700,78600,79200,40563,-0.13,85,KODEX 운송
2025-02-11,한진칼,180640,KOSPI,78800,81600,78800,80400,31797,1.52,85,KODEX 운송
2025-02-12,한진칼,180640,KOSPI,81500,81600,79200,80100,23361,-0.37,85,KODEX 운송
2025-02-13,한진칼,180640,KOSPI,80100,85200,79500,83700,109194,4.49,85,KODEX 운송
2025-02-14,한진칼,180640,KOSPI,84200,85800,83100,84800,31568,1.31,85,KODEX 운송
2025-02-17,한진칼,180640,KOSPI,86500,86500,83300,84300,21650,-0.59,85,KODEX 운송
2025-02-18,한진칼,180640,KOSPI,83000,85000,82600,83800,33188,-0.59,85,KODEX 운송
2025-02-19,한진칼,180640,KOSPI,82800,88400,82800,86900,50913,3.7,85,KODEX 운송
2025-02-20,한진칼,180640,KOSPI,84600,87000,83600,84500,37096,-2.76,85,KODEX 운송
2025-02-21,한진칼,180640,KOSPI,86000,86000,83400,84100,24545,-0.47,85,KODEX 운송
2025-02-24,한진칼,180640,KOSPI,83500,83600,81500,82900,28460,-1.43,85,KODEX 운송
2025-02-25,한진칼,180640,KOSPI,81200,82700,80600,81900,31346,-1.21,85,KODEX 운송
2025-02-26,한진칼,180640,KOSPI,83500,83500,80100,82200,40440,0.37,85,KODEX 운송
2025-02-27,한진칼,180640,KOSPI,81400,82300,80500,82300,41542,0.12,85,KODEX 운송
2025-02-28,한진칼,180640,KOSPI,81800,83100,79000,83100,115558,0.97,85,KODEX 운송
2025-03-04,한진칼,180640,KOSPI,82300,82300,78700,78700,64482,-5.29,85,KODEX 운송
2025-03-05,한진칼,180640,KOSPI,79800,79800,76500,78700,47778,0.0,85,KODEX 운송
2025-03-06,한진칼,180640,KOSPI,78500,81100,78500,81100,35850,3.05,85,KODEX 운송
2025-03-07,한진칼,180640,KOSPI,80500,82800,79500,80600,45332,-0.62,85,KODEX 운송
2025-03-10,한진칼,180640,KOSPI,79600,82700,79600,81000,35896,0.5,85,KODEX 운송
2025-03-11,한진칼,180640,KOSPI,77000,83200,77000,81900,55604,1.11,85,KODEX 운송
2025-03-12,한진칼,180640,KOSPI,80800,85300,80600,83000,62719,1.34,85,KODEX 운송
2025-03-13,한진칼,180640,KOSPI,82200,84700,82100,82700,70892,-0.36,85,KODEX 운송
2025-03-14,한진칼,180640,KOSPI,85000,85000,80800,81100,46358,-1.93,85,KODEX 운송
2025-03-17,한진칼,180640,KOSPI,81600,83700,80200,83700,37358,3.21,85,KODEX 운송
2025-03-18,한진칼,180640,KOSPI,84600,85500,83000,83500,31531,-0.24,85,KODEX 운송
2025-03-19,한진칼,180640,KOSPI,84900,85700,82500,83300,57976,-0.24,85,KODEX 운송
2025-03-20,한진칼,180640,KOSPI,83100,84000,81700,83800,29939,0.6,85,KODEX 운송
2025-03-21,한진칼,180640,KOSPI,82000,84400,80200,80700,50532,-3.7,85,KODEX 운송
