날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,코스맥스,192820,KOSPI,168200,171000,165800,168200,76786,0.0,92,TIGER 화장품
2025-01-21,코스맥스,192820,KOSPI,170000,173900,167100,168200,95424,0.0,92,TIGER 화장품
2025-01-22,코스맥스,192820,KOSPI,171400,172900,166900,166900,82106,-0.77,92,TIGER 화장품
2025-01-23,코스맥스,192820,KOSPI,167000,170300,163700,167100,68056,0.12,92,TIGER 화장품
2025-01-24,코스맥스,192820,KOSPI,167100,168200,161100,163800,75515,-1.97,92,TIGER 화장품
2025-01-31,코스맥스,192820,KOSPI,165400,166900,162100,164400,51448,0.37,92,TIGER 화장품
2025-02-03,코스맥스,192820,KOSPI,160000,163000,156600,156900,59041,-4.56,92,TIGER 화장품
2025-02-04,코스맥스,192820,KOSPI,158400,160200,153700,156700,91693,-0.13,92,TIGER 화장품
2025-02-05,코스맥스,192820,KOSPI,158000,158000,150600,154500,152021,-1.4,92,TIGER 화장품
2025-02-06,코스맥스,192820,KOSPI,155100,158800,153600,157100,94670,1.68,92,TIGER 화장품
2025-02-07,코스맥스,192820,KOSPI,157700,158400,154100,155800,83586,-0.83,92,TIGER 화장품
2025-02-10,코스맥스,192820,KOSPI,155900,160000,153300,155800,69892,0.0,92,TIGER 화장품
2025-02-11,코스맥스,192820,KOSPI,156400,158500,152700,153600,65701,-1.41,92,TIGER 화장품
2025-02-12,코스맥스,192820,KOSPI,153600,154700,148800,150300,85675,-2.15,92,TIGER 화장품
2025-02-13,코스맥스,192820,KOSPI,151800,153300,148800,151800,121739,1.0,92,TIGER 화장품
2025-02-14,코스맥스,192820,KOSPI,152000,156500,151300,152400,77281,0.4,92,TIGER 화장품
2025-02-17,코스맥스,192820,KOSPI,154900,155000,151800,153200,37911,0.52,92,TIGER 화장품
2025-02-18,코스맥스,192820,KOSPI,154200,158400,153400,157400,83780,2.74,92,TIGER 화장품
2025-02-19,코스맥스,192820,KOSPI,157000,158300,154400,157700,79347,0.19,92,TIGER 화장품
2025-02-20,코스맥스,192820,KOSPI,162100,172000,158300,159300,200780,1.01,92,TIGER 화장품
2025-02-21,코스맥스,192820,KOSPI,160000,161900,155900,161200,105131,1.19,92,TIGER 화장품
2025-02-24,코스맥스,192820,KOSPI,159600,160300,152200,153700,139500,-4.65,92,TIGER 화장품
2025-02-25,코스맥스,192820,KOSPI,164100,171100,158500,166000,405092,8.0,92,TIGER 화장품
2025-02-26,코스맥스,192820,KOSPI,166000,168500,164500,166000,125311,0.0,92,TIGER 화장품
2025-02-27,코스맥스,192820,KOSPI,167300,174100,164200,171200,159195,3.13,92,TIGER 화장품
2025-02-28,코스맥스,192820,KOSPI,170500,177200,168100,171300,222796,0.06,92,TIGER 화장품
2025-03-04,코스맥스,192820,KOSPI,172300,172900,165400,166100,117121,-3.04,92,TIGER 화장품
2025-03-05,코스맥스,192820,KOSPI,166100,171700,165700,171300,67352,3.13,92,TIGER 화장품
2025-03-06,코스맥스,192820,KOSPI,173000,185800,173000,184300,222114,7.59,92,TIGER 화장품
2025-03-07,코스맥스,192820,KOSPI,183000,186300,180300,184300,98010,0.0,92,TIGER 화장품
2025-03-10,코스맥스,192820,KOSPI,184100,184100,170800,172000,161837,-6.67,92,TIGER 화장품
2025-03-11,코스맥스,192820,KOSPI,165900,179400,165600,174500,157133,1.45,92,TIGER 화장품
2025-03-12,코스맥스,192820,KOSPI,175000,184400,173800,178800,120601,2.46,92,TIGER 화장품
2025-03-13,코스맥스,192820,KOSPI,179100,184900,177200,184900,104274,3.41,92,TIGER 화장품
2025-03-14,코스맥스,192820,KOSPI,185900,187700,180700,181400,72189,-1.89,92,TIGER 화장품
2025-03-17,코스맥스,192820,KOSPI,182700,185500,177500,180500,92176,-0.5,92,TIGER 화장품
2025-03-18,코스맥스,192820,KOSPI,182500,184600,180600,181600,77484,0.61,92,TIGER 화장품
2025-03-19,코스맥스,192820,KOSPI,180700,183500,178700,179900,55865,-0.94,92,TIGER 화장품
2025-03-20,코스맥스,192820,KOSPI,180000,185500,179600,180600,68743,0.39,92,TIGER 화장품
2025-03-21,코스맥스,192820,KOSPI,183500,185400,176500,180500,85410,-0.06,92,TIGER 화장품
