날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,알테오젠,196170,KOSPI,310500,322000,307500,318500,455776,0.0,95,"TIGER 코스닥150바이오테크,TIMEFOLIO K바이오액티브,KODEX 코스닥150"
2025-01-21,알테오젠,196170,KOSPI,316500,326000,316000,325000,406203,2.04,95,"TIGER 코스닥150바이오테크,TIMEFOLIO K바이오액티브,KODEX 코스닥150"
2025-01-22,알테오젠,196170,KOSPI,329000,346000,327000,342000,759686,5.23,95,"TIGER 코스닥150바이오테크,TIMEFOLIO K바이오액티브,KODEX 코스닥150"
2025-01-23,알테오젠,196170,KOSPI,345500,351500,340500,347000,450376,1.46,95,"TIGER 코스닥150바이오테크,TIMEFOLIO K바이오액티브,KODEX 코스닥150"
2025-01-24,알테오젠,196170,KOSPI,348500,364000,344000,362000,580269,4.32,95,"TIGER 코스닥150바이오테크,TIMEFOLIO K바이오액티브,KODEX 코스닥150"
2025-01-31,알테오젠,196170,KOSPI,364000,374500,358000,371500,507713,2.62,95,"TIGER 코스닥150바이오테크,TIMEFOLIO K바이오액티브,KODEX 코스닥150"
2025-02-03,알테오젠,196170,KOSPI,365500,368500,348000,352500,622851,-5.11,95,"TIGER 코스닥150바이오테크,TIMEFOLIO K바이오액티브,KODEX 코스닥150"
2025-02-04,알테오젠,196170,KOSPI,361000,384500,358000,374000,907257,6.1,95,"TIGER 코스닥150바이오테크,TIMEFOLIO K바이오액티브,KODEX 코스닥150"
2025-02-05,알테오젠,196170,KOSPI,378000,381500,371000,376000,718400,0.53,95,"TIGER 코스닥150바이오테크,TIMEFOLIO K바이오액티브,KODEX 코스닥150"
2025-02-06,알테오젠,196170,KOSPI,382500,394500,378500,392000,672576,4.26,95,"TIGER 코스닥150바이오테크,TIMEFOLIO K바이오액티브,KODEX 코스닥150"
2025-02-07,알테오젠,196170,KOSPI,389500,395500,384500,391500,455077,-0.13,95,"TIGER 코스닥150바이오테크,TIMEFOLIO K바이오액티브,KODEX 코스닥150"
2025-02-10,알테오젠,196170,KOSPI,388000,393500,380500,392000,475080,0.13,95,"TIGER 코스닥150바이오테크,TIMEFOLIO K바이오액티브,KODEX 코스닥150"
2025-02-11,알테오젠,196170,KOSPI,392000,400000,375000,378000,621324,-3.57,95,"TIGER 코스닥150바이오테크,TIMEFOLIO K바이오액티브,KODEX 코스닥150"
2025-02-12,알테오젠,196170,KOSPI,375500,379500,366000,377500,486787,-0.13,95,"TIGER 코스닥150바이오테크,TIMEFOLIO K바이오액티브,KODEX 코스닥150"
2025-02-13,알테오젠,196170,KOSPI,377500,379000,366000,370500,517401,-1.85,95,"TIGER 코스닥150바이오테크,TIMEFOLIO K바이오액티브,KODEX 코스닥150"
2025-02-14,알테오젠,196170,KOSPI,375000,396000,374000,394000,788705,6.34,95,"TIGER 코스닥150바이오테크,TIMEFOLIO K바이오액티브,KODEX 코스닥150"
2025-02-17,알테오젠,196170,KOSPI,398000,403500,387000,398500,517076,1.14,95,"TIGER 코스닥150바이오테크,TIMEFOLIO K바이오액티브,KODEX 코스닥150"
2025-02-18,알테오젠,196170,KOSPI,395500,399000,388500,395000,442220,-0.88,95,"TIGER 코스닥150바이오테크,TIMEFOLIO K바이오액티브,KODEX 코스닥150"
2025-02-19,알테오젠,196170,KOSPI,390000,392000,378000,387000,436280,-2.03,95,"TIGER 코스닥150바이오테크,TIMEFOLIO K바이오액티브,KODEX 코스닥150"
2025-02-20,알테오젠,196170,KOSPI,381000,395500,375000,378000,603485,-2.33,95,"TIGER 코스닥150바이오테크,TIMEFOLIO K바이오액티브,KODEX 코스닥150"
2025-02-21,알테오젠,196170,KOSPI,376000,393500,376000,392000,442073,3.7,95,"TIGER 코스닥150바이오테크,TIMEFOLIO K바이오액티브,KODEX 코스닥150"
2025-02-24,알테오젠,196170,KOSPI,387500,392500,381500,383000,303447,-2.3,95,"TIGER 코스닥150바이오테크,TIMEFOLIO K바이오액티브,KODEX 코스닥150"
2025-02-25,알테오젠,196170,KOSPI,380000,396000,375500,393500,416909,2.74,95,"TIGER 코스닥150바이오테크,TIMEFOLIO K바이오액티브,KODEX 코스닥150"
2025-02-26,알테오젠,196170,KOSPI,397000,398000,385000,393500,346183,0.0,95,"TIGER 코스닥150바이오테크,TIMEFOLIO K바이오액티브,KODEX 코스닥150"
2025-02-27,알테오젠,196170,KOSPI,395500,406000,390500,401500,510062,2.03,95,"TIGER 코스닥150바이오테크,TIMEFOLIO K바이오액티브,KODEX 코스닥150"
2025-02-28,알테오젠,196170,KOSPI,396500,398000,384500,387000,586240,-3.61,95,"TIGER 코스닥150바이오테크,TIMEFOLIO K바이오액티브,KODEX 코스닥150"
2025-03-04,알테오젠,196170,KOSPI,387000,403000,385000,400000,459797,3.36,95,"TIGER 코스닥150바이오테크,TIMEFOLIO K바이오액티브,KODEX 코스닥150"
2025-03-05,알테오젠,196170,KOSPI,406000,418500,402000,414000,501266,3.5,95,"TIGER 코스닥150바이오테크,TIMEFOLIO K바이오액티브,KODEX 코스닥150"
2025-03-06,알테오젠,196170,KOSPI,406000,409000,384000,390500,999302,-5.68,95,"TIGER 코스닥150바이오테크,TIMEFOLIO K바이오액티브,KODEX 코스닥150"
2025-03-07,알테오젠,196170,KOSPI,386500,394750,361000,368500,1061159,-5.63,95,"TIGER 코스닥150바이오테크,TIMEFOLIO K바이오액티브,KODEX 코스닥150"
2025-03-10,알테오젠,196170,KOSPI,363000,381500,358000,372000,496624,0.95,95,"TIGER 코스닥150바이오테크,TIMEFOLIO K바이오액티브,KODEX 코스닥150"
2025-03-11,알테오젠,196170,KOSPI,360500,373000,360500,370000,396668,-0.54,95,"TIGER 코스닥150바이오테크,TIMEFOLIO K바이오액티브,KODEX 코스닥150"
2025-03-12,알테오젠,196170,KOSPI,370500,380000,354500,361000,502310,-2.43,95,"TIGER 코스닥150바이오테크,TIMEFOLIO K바이오액티브,KODEX 코스닥150"
2025-03-13,알테오젠,196170,KOSPI,365000,387500,365000,375000,793596,3.88,95,"TIGER 코스닥150바이오테크,TIMEFOLIO K바이오액티브,KODEX 코스닥150"
2025-03-14,알테오젠,196170,KOSPI,379000,403000,372500,392000,1029691,4.53,95,"TIGER 코스닥150바이오테크,TIMEFOLIO K바이오액티브,KODEX 코스닥150"
2025-03-17,알테오젠,196170,KOSPI,398500,440750,390500,439500,2053323,12.12,95,"TIGER 코스닥150바이오테크,TIMEFOLIO K바이오액티브,KODEX 코스닥150"
2025-03-18,알테오젠,196170,KOSPI,453500,459500,424000,443500,2019144,0.91,95,"TIGER 코스닥150바이오테크,TIMEFOLIO K바이오액티브,KODEX 코스닥150"
