날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,HL만도,204320,KOSPI,45500,45500,43650,44000,136856,0.0,82,SOL 자동차소부장Fn
2025-01-21,HL만도,204320,KOSPI,44000,46100,44000,44850,236347,1.93,82,SOL 자동차소부장Fn
2025-01-22,HL만도,204320,KOSPI,45150,45200,44000,44000,103361,-1.9,82,SOL 자동차소부장Fn
2025-01-23,HL만도,204320,KOSPI,43950,44000,42550,43000,165975,-2.27,82,SOL 자동차소부장Fn
2025-01-24,HL만도,204320,KOSPI,43000,43950,42700,43600,90440,1.4,82,SOL 자동차소부장Fn
2025-01-31,HL만도,204320,KOSPI,44000,44650,43700,44500,227392,2.06,82,SOL 자동차소부장Fn
2025-02-03,HL만도,204320,KOSPI,43000,44350,41000,41200,277895,-7.42,82,SOL 자동차소부장Fn
2025-02-04,HL만도,204320,KOSPI,41900,43300,41550,41850,160223,1.58,82,SOL 자동차소부장Fn
2025-02-05,HL만도,204320,KOSPI,41950,42500,41750,42300,87882,1.08,82,SOL 자동차소부장Fn
2025-02-06,HL만도,204320,KOSPI,42650,43100,40300,40700,295424,-3.78,82,SOL 자동차소부장Fn
2025-02-07,HL만도,204320,KOSPI,41100,45700,41100,44350,823760,8.97,82,SOL 자동차소부장Fn
2025-02-10,HL만도,204320,KOSPI,44350,44800,43500,44000,258696,-0.79,82,SOL 자동차소부장Fn
2025-02-11,HL만도,204320,KOSPI,43600,45200,43500,43900,206765,-0.23,82,SOL 자동차소부장Fn
2025-02-12,HL만도,204320,KOSPI,44100,45450,44050,45000,312421,2.51,82,SOL 자동차소부장Fn
2025-02-13,HL만도,204320,KOSPI,45550,47000,45400,46650,485945,3.67,82,SOL 자동차소부장Fn
2025-02-14,HL만도,204320,KOSPI,46650,46800,45450,45900,213478,-1.61,82,SOL 자동차소부장Fn
2025-02-17,HL만도,204320,KOSPI,45800,45850,44800,45850,137501,-0.11,82,SOL 자동차소부장Fn
2025-02-18,HL만도,204320,KOSPI,45650,46300,45100,46100,193565,0.55,82,SOL 자동차소부장Fn
2025-02-19,HL만도,204320,KOSPI,46100,46950,45750,45900,216786,-0.43,82,SOL 자동차소부장Fn
2025-02-20,HL만도,204320,KOSPI,45450,45650,44200,44500,232753,-3.05,82,SOL 자동차소부장Fn
2025-02-21,HL만도,204320,KOSPI,45100,45750,43650,44350,144374,-0.34,82,SOL 자동차소부장Fn
2025-02-24,HL만도,204320,KOSPI,43650,44050,42900,43900,196177,-1.01,82,SOL 자동차소부장Fn
2025-02-25,HL만도,204320,KOSPI,43850,44100,43050,43250,223245,-1.48,82,SOL 자동차소부장Fn
2025-02-26,HL만도,204320,KOSPI,43250,43850,43000,43750,228145,1.16,82,SOL 자동차소부장Fn
2025-02-27,HL만도,204320,KOSPI,43700,44650,43150,43500,185970,-0.57,82,SOL 자동차소부장Fn
2025-02-28,HL만도,204320,KOSPI,42300,45450,42200,44150,402005,1.49,82,SOL 자동차소부장Fn
2025-03-04,HL만도,204320,KOSPI,43500,43500,41450,41700,233068,-5.55,82,SOL 자동차소부장Fn
2025-03-05,HL만도,204320,KOSPI,41700,42100,40300,41800,376007,0.24,82,SOL 자동차소부장Fn
2025-03-06,HL만도,204320,KOSPI,42450,44300,42450,44100,299875,5.5,82,SOL 자동차소부장Fn
2025-03-07,HL만도,204320,KOSPI,43600,43600,41350,41900,306345,-4.99,82,SOL 자동차소부장Fn
2025-03-10,HL만도,204320,KOSPI,41650,42350,40900,42250,165802,0.84,82,SOL 자동차소부장Fn
2025-03-11,HL만도,204320,KOSPI,41050,42100,40900,42100,164590,-0.36,82,SOL 자동차소부장Fn
2025-03-12,HL만도,204320,KOSPI,41800,42000,40700,41050,189669,-2.49,82,SOL 자동차소부장Fn
2025-03-13,HL만도,204320,KOSPI,41050,41800,40900,41500,280107,1.1,82,SOL 자동차소부장Fn
2025-03-14,HL만도,204320,KOSPI,41350,41450,40550,40850,146238,-1.57,82,SOL 자동차소부장Fn
2025-03-17,HL만도,204320,KOSPI,41100,41400,39550,40300,292677,-1.35,82,SOL 자동차소부장Fn
2025-03-18,HL만도,204320,KOSPI,40300,41650,40200,41650,269268,3.35,82,SOL 자동차소부장Fn
2025-03-19,HL만도,204320,KOSPI,41500,41825,40750,41300,136884,-0.84,82,SOL 자동차소부장Fn
2025-03-20,HL만도,204320,KOSPI,41800,42150,40800,41000,203166,-0.73,82,SOL 자동차소부장Fn
2025-03-21,HL만도,204320,KOSPI,41000,41250,40250,40300,198436,-1.71,82,SOL 자동차소부장Fn
