날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,클래시스,214150,KOSPI,51800,52900,51300,52500,102623,0.0,93,SOL 의료기기소부장Fn
2025-01-21,클래시스,214150,KOSPI,52700,53900,52600,52900,117527,0.76,93,SOL 의료기기소부장Fn
2025-01-22,클래시스,214150,KOSPI,53400,53500,52500,52900,71372,0.0,93,SOL 의료기기소부장Fn
2025-01-23,클래시스,214150,KOSPI,52900,54600,52700,54500,245614,3.02,93,SOL 의료기기소부장Fn
2025-01-24,클래시스,214150,KOSPI,54500,54800,52900,53600,196675,-1.65,93,SOL 의료기기소부장Fn
2025-01-31,클래시스,214150,KOSPI,53700,55000,53400,54200,137403,1.12,93,SOL 의료기기소부장Fn
2025-02-03,클래시스,214150,KOSPI,53300,53800,52000,53200,153821,-1.85,93,SOL 의료기기소부장Fn
2025-02-04,클래시스,214150,KOSPI,53500,54700,52500,52700,147294,-0.94,93,SOL 의료기기소부장Fn
2025-02-05,클래시스,214150,KOSPI,52700,53200,51500,52000,113436,-1.33,93,SOL 의료기기소부장Fn
2025-02-06,클래시스,214150,KOSPI,52100,53500,52000,52100,142555,0.19,93,SOL 의료기기소부장Fn
2025-02-07,클래시스,214150,KOSPI,52200,53100,51100,52500,88670,0.77,93,SOL 의료기기소부장Fn
2025-02-10,클래시스,214150,KOSPI,51700,53000,51300,51900,90369,-1.14,93,SOL 의료기기소부장Fn
2025-02-11,클래시스,214150,KOSPI,51900,51900,50100,50300,174774,-3.08,93,SOL 의료기기소부장Fn
2025-02-12,클래시스,214150,KOSPI,50000,51700,50000,50900,117774,1.19,93,SOL 의료기기소부장Fn
2025-02-13,클래시스,214150,KOSPI,51500,53800,48700,50500,873178,-0.79,93,SOL 의료기기소부장Fn
2025-02-14,클래시스,214150,KOSPI,51000,52500,50500,51600,332845,2.18,93,SOL 의료기기소부장Fn
2025-02-17,클래시스,214150,KOSPI,52400,56800,52200,56800,703118,10.08,93,SOL 의료기기소부장Fn
2025-02-18,클래시스,214150,KOSPI,57400,58000,54600,56700,326873,-0.18,93,SOL 의료기기소부장Fn
2025-02-19,클래시스,214150,KOSPI,56600,56900,55500,55800,192445,-1.59,93,SOL 의료기기소부장Fn
2025-02-20,클래시스,214150,KOSPI,56100,57200,55200,55600,227402,-0.36,93,SOL 의료기기소부장Fn
2025-02-21,클래시스,214150,KOSPI,56600,59700,56200,58800,492010,5.76,93,SOL 의료기기소부장Fn
2025-02-24,클래시스,214150,KOSPI,58000,58500,57100,58000,148216,-1.36,93,SOL 의료기기소부장Fn
2025-02-25,클래시스,214150,KOSPI,57600,59900,57100,58000,243349,0.0,93,SOL 의료기기소부장Fn
2025-02-26,클래시스,214150,KOSPI,66700,71500,55800,58000,5569038,0.0,93,SOL 의료기기소부장Fn
2025-02-27,클래시스,214150,KOSPI,58000,71000,57000,69100,6250231,19.14,93,SOL 의료기기소부장Fn
2025-02-28,클래시스,214150,KOSPI,67300,71300,61900,63100,3066605,-8.68,93,SOL 의료기기소부장Fn
2025-03-04,클래시스,214150,KOSPI,61100,61600,56600,57200,1277789,-9.35,93,SOL 의료기기소부장Fn
2025-03-05,클래시스,214150,KOSPI,57000,58800,56700,57000,731153,-0.35,93,SOL 의료기기소부장Fn
2025-03-06,클래시스,214150,KOSPI,57100,61500,57100,59600,1152150,4.56,93,SOL 의료기기소부장Fn
2025-03-07,클래시스,214150,KOSPI,60100,61000,57300,59000,452439,-1.01,93,SOL 의료기기소부장Fn
2025-03-10,클래시스,214150,KOSPI,59800,61300,57600,60300,570470,2.2,93,SOL 의료기기소부장Fn
2025-03-11,클래시스,214150,KOSPI,58000,60400,58000,59700,445933,-1.0,93,SOL 의료기기소부장Fn
2025-03-12,클래시스,214150,KOSPI,60400,61300,58400,58800,532403,-1.51,93,SOL 의료기기소부장Fn
2025-03-13,클래시스,214150,KOSPI,59500,60400,58400,60000,342333,2.04,93,SOL 의료기기소부장Fn
2025-03-14,클래시스,214150,KOSPI,60000,63700,59500,61300,770741,2.17,93,SOL 의료기기소부장Fn
2025-03-17,클래시스,214150,KOSPI,61600,62000,60000,60000,309834,-2.12,93,SOL 의료기기소부장Fn
