날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-22,파마리서치,214450,KOSPI,250000,250500,242500,246000,97518,0.0,93,"SOL 의료기기소부장Fn,TIGER 화장품,HANARO K-뷰티"
2025-01-23,파마리서치,214450,KOSPI,246000,246500,237500,241000,107386,-2.03,93,"SOL 의료기기소부장Fn,TIGER 화장품,HANARO K-뷰티"
2025-01-24,파마리서치,214450,KOSPI,241000,246500,238000,243500,68842,1.04,93,"SOL 의료기기소부장Fn,TIGER 화장품,HANARO K-뷰티"
2025-01-31,파마리서치,214450,KOSPI,243000,245000,233500,241500,104368,-0.82,93,"SOL 의료기기소부장Fn,TIGER 화장품,HANARO K-뷰티"
2025-02-03,파마리서치,214450,KOSPI,236500,247500,235500,243500,70076,0.83,93,"SOL 의료기기소부장Fn,TIGER 화장품,HANARO K-뷰티"
2025-02-04,파마리서치,214450,KOSPI,244500,253000,244000,250000,100713,2.67,93,"SOL 의료기기소부장Fn,TIGER 화장품,HANARO K-뷰티"
2025-02-05,파마리서치,214450,KOSPI,251500,255500,249000,253000,80403,1.2,93,"SOL 의료기기소부장Fn,TIGER 화장품,HANARO K-뷰티"
2025-02-06,파마리서치,214450,KOSPI,252500,272000,250000,270500,180092,6.92,93,"SOL 의료기기소부장Fn,TIGER 화장품,HANARO K-뷰티"
2025-02-07,파마리서치,214450,KOSPI,269500,269500,262000,266000,100403,-1.66,93,"SOL 의료기기소부장Fn,TIGER 화장품,HANARO K-뷰티"
2025-02-10,파마리서치,214450,KOSPI,265000,278000,263500,273500,181742,2.82,93,"SOL 의료기기소부장Fn,TIGER 화장품,HANARO K-뷰티"
2025-02-11,파마리서치,214450,KOSPI,282000,294000,280000,284500,247170,4.02,93,"SOL 의료기기소부장Fn,TIGER 화장품,HANARO K-뷰티"
2025-02-12,파마리서치,214450,KOSPI,285000,288500,280000,282500,67299,-0.7,93,"SOL 의료기기소부장Fn,TIGER 화장품,HANARO K-뷰티"
2025-02-13,파마리서치,214450,KOSPI,282500,282500,271500,272500,122735,-3.54,93,"SOL 의료기기소부장Fn,TIGER 화장품,HANARO K-뷰티"
2025-02-14,파마리서치,214450,KOSPI,273000,289500,273000,286500,114667,5.14,93,"SOL 의료기기소부장Fn,TIGER 화장품,HANARO K-뷰티"
2025-02-17,파마리서치,214450,KOSPI,280000,290500,279000,287000,54210,0.17,93,"SOL 의료기기소부장Fn,TIGER 화장품,HANARO K-뷰티"
2025-02-18,파마리서치,214450,KOSPI,289500,297000,284500,294500,80635,2.61,93,"SOL 의료기기소부장Fn,TIGER 화장품,HANARO K-뷰티"
2025-02-19,파마리서치,214450,KOSPI,293500,293500,272500,283500,222171,-3.74,93,"SOL 의료기기소부장Fn,TIGER 화장품,HANARO K-뷰티"
2025-02-20,파마리서치,214450,KOSPI,287500,290000,275000,276000,105013,-2.65,93,"SOL 의료기기소부장Fn,TIGER 화장품,HANARO K-뷰티"
2025-02-21,파마리서치,214450,KOSPI,279500,289500,278000,288000,105756,4.35,93,"SOL 의료기기소부장Fn,TIGER 화장품,HANARO K-뷰티"
2025-02-24,파마리서치,214450,KOSPI,284000,294000,281000,283000,76566,-1.74,93,"SOL 의료기기소부장Fn,TIGER 화장품,HANARO K-뷰티"
2025-02-25,파마리서치,214450,KOSPI,280500,287000,276500,286500,92425,1.24,93,"SOL 의료기기소부장Fn,TIGER 화장품,HANARO K-뷰티"
2025-02-26,파마리서치,214450,KOSPI,289500,299500,287500,294000,93392,2.62,93,"SOL 의료기기소부장Fn,TIGER 화장품,HANARO K-뷰티"
2025-02-27,파마리서치,214450,KOSPI,295000,301500,289500,301000,78100,2.38,93,"SOL 의료기기소부장Fn,TIGER 화장품,HANARO K-뷰티"
2025-02-28,파마리서치,214450,KOSPI,297500,301000,290000,291000,76486,-3.32,93,"SOL 의료기기소부장Fn,TIGER 화장품,HANARO K-뷰티"
2025-03-04,파마리서치,214450,KOSPI,299500,316000,293000,313000,208896,7.56,93,"SOL 의료기기소부장Fn,TIGER 화장품,HANARO K-뷰티"
2025-03-05,파마리서치,214450,KOSPI,314000,327500,313000,316500,139702,1.12,93,"SOL 의료기기소부장Fn,TIGER 화장품,HANARO K-뷰티"
2025-03-06,파마리서치,214450,KOSPI,315000,325500,310000,325000,81834,2.69,93,"SOL 의료기기소부장Fn,TIGER 화장품,HANARO K-뷰티"
2025-03-07,파마리서치,214450,KOSPI,321500,321500,303500,305000,126663,-6.15,93,"SOL 의료기기소부장Fn,TIGER 화장품,HANARO K-뷰티"
2025-03-10,파마리서치,214450,KOSPI,303000,321000,302000,316500,96656,3.77,93,"SOL 의료기기소부장Fn,TIGER 화장품,HANARO K-뷰티"
2025-03-11,파마리서치,214450,KOSPI,308000,320500,307000,318500,71091,0.63,93,"SOL 의료기기소부장Fn,TIGER 화장품,HANARO K-뷰티"
2025-03-12,파마리서치,214450,KOSPI,315000,332000,314500,328000,88296,2.98,93,"SOL 의료기기소부장Fn,TIGER 화장품,HANARO K-뷰티"
2025-03-13,파마리서치,214450,KOSPI,328500,330000,320000,324500,112471,-1.07,93,"SOL 의료기기소부장Fn,TIGER 화장품,HANARO K-뷰티"
2025-03-14,파마리서치,214450,KOSPI,324500,336500,323500,335500,69054,3.39,93,"SOL 의료기기소부장Fn,TIGER 화장품,HANARO K-뷰티"
2025-03-17,파마리서치,214450,KOSPI,340000,345000,324000,326000,95057,-2.83,93,"SOL 의료기기소부장Fn,TIGER 화장품,HANARO K-뷰티"
