날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,퓨쳐켐,220100,KOSPI,17700,17700,17050,17270,216629,0.0,95,
2025-01-21,퓨쳐켐,220100,KOSPI,17310,17410,16910,17100,167098,-0.98,95,
2025-01-22,퓨쳐켐,220100,KOSPI,17290,17990,17260,17400,294370,1.75,95,
2025-01-23,퓨쳐켐,220100,KOSPI,17600,18200,17200,17400,258905,0.0,95,
2025-01-24,퓨쳐켐,220100,KOSPI,17420,20750,17410,20200,1702756,16.09,95,
2025-01-31,퓨쳐켐,220100,KOSPI,20400,21200,20000,20950,661373,3.71,95,
2025-02-03,퓨쳐켐,220100,KOSPI,20700,21500,20600,21350,521587,1.91,95,
2025-02-04,퓨쳐켐,220100,KOSPI,21450,22150,20600,21050,582275,-1.41,95,
2025-02-05,퓨쳐켐,220100,KOSPI,21700,21850,20850,21050,388058,0.0,95,
2025-02-06,퓨쳐켐,220100,KOSPI,21750,22450,21400,21850,559617,3.8,95,
2025-02-07,퓨쳐켐,220100,KOSPI,21900,23450,21650,22950,726427,5.03,95,
2025-02-10,퓨쳐켐,220100,KOSPI,23000,24350,22850,23900,534022,4.14,95,
2025-02-11,퓨쳐켐,220100,KOSPI,23850,24300,22000,22600,517406,-5.44,95,
2025-02-12,퓨쳐켐,220100,KOSPI,22250,23000,21100,22350,435920,-1.11,95,
2025-02-13,퓨쳐켐,220100,KOSPI,22000,22400,20850,22200,509623,-0.67,95,
2025-02-14,퓨쳐켐,220100,KOSPI,22250,23400,22050,22900,374497,3.15,95,
2025-02-17,퓨쳐켐,220100,KOSPI,23150,23500,22250,23400,340096,2.18,95,
2025-02-18,퓨쳐켐,220100,KOSPI,23700,25000,23100,24800,650831,5.98,95,
2025-02-19,퓨쳐켐,220100,KOSPI,24500,24650,23700,24400,301746,-1.61,95,
2025-02-20,퓨쳐켐,220100,KOSPI,24200,24900,23850,24300,253994,-0.41,95,
2025-02-21,퓨쳐켐,220100,KOSPI,24300,25100,24300,24950,279877,2.67,95,
2025-02-24,퓨쳐켐,220100,KOSPI,24550,24750,23650,24400,277092,-2.2,95,
2025-02-25,퓨쳐켐,220100,KOSPI,24400,25900,23700,25650,799912,5.12,95,
2025-02-26,퓨쳐켐,220100,KOSPI,25550,25850,24700,24850,323614,-3.12,95,
2025-02-27,퓨쳐켐,220100,KOSPI,24750,24900,23050,24000,440491,-3.42,95,
2025-02-28,퓨쳐켐,220100,KOSPI,23500,24350,23500,23700,212638,-1.25,95,
2025-03-04,퓨쳐켐,220100,KOSPI,23550,24600,23300,24400,215273,2.95,95,
2025-03-05,퓨쳐켐,220100,KOSPI,24450,24950,24000,24450,175978,0.2,95,
2025-03-06,퓨쳐켐,220100,KOSPI,24400,24600,23300,23550,252704,-3.68,95,
2025-03-07,퓨쳐켐,220100,KOSPI,23100,23250,22200,22500,326671,-4.46,95,
2025-03-10,퓨쳐켐,220100,KOSPI,22550,23650,22200,23300,269708,3.56,95,
2025-03-11,퓨쳐켐,220100,KOSPI,23800,24400,22600,23100,566658,-0.86,95,
2025-03-12,퓨쳐켐,220100,KOSPI,23100,23550,22500,22500,247842,-2.6,95,
2025-03-13,퓨쳐켐,220100,KOSPI,22650,23450,22600,22700,203353,0.89,95,
2025-03-14,퓨쳐켐,220100,KOSPI,23400,26600,23200,24900,2143390,9.69,95,
2025-03-17,퓨쳐켐,220100,KOSPI,24450,24750,23400,24450,616334,-1.81,95,
2025-03-18,퓨쳐켐,220100,KOSPI,24300,25500,23900,25200,484635,3.07,95,
2025-03-19,퓨쳐켐,220100,KOSPI,25300,25800,24750,25200,409347,0.0,95,
2025-03-20,퓨쳐켐,220100,KOSPI,25100,25200,23900,23900,347369,-5.16,95,
2025-03-21,퓨쳐켐,220100,KOSPI,23400,24300,23050,23100,263865,-3.35,95,
