날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,올릭스,226950,KOSPI,14500,14500,13900,14080,142324,0.0,96,KIWOOM Fn유전자혁신기술
2025-01-21,올릭스,226950,KOSPI,14080,14330,13790,14220,134165,0.99,96,KIWOOM Fn유전자혁신기술
2025-01-22,올릭스,226950,KOSPI,14220,14470,13860,14000,164854,-1.55,96,KIWOOM Fn유전자혁신기술
2025-01-23,올릭스,226950,KOSPI,14110,14450,13650,14030,232738,0.21,96,KIWOOM Fn유전자혁신기술
2025-01-24,올릭스,226950,KOSPI,14200,14330,13800,14120,182990,0.64,96,KIWOOM Fn유전자혁신기술
2025-01-31,올릭스,226950,KOSPI,14250,16410,14250,16300,1251624,15.44,96,KIWOOM Fn유전자혁신기술
2025-02-03,올릭스,226950,KOSPI,16280,16280,15170,15810,286590,-3.01,96,KIWOOM Fn유전자혁신기술
2025-02-04,올릭스,226950,KOSPI,16200,16940,15870,16930,437464,7.08,96,KIWOOM Fn유전자혁신기술
2025-02-05,올릭스,226950,KOSPI,17300,19120,17130,18850,658327,11.34,96,KIWOOM Fn유전자혁신기술
2025-02-06,올릭스,226950,KOSPI,18850,19610,17050,17390,526153,-7.75,96,KIWOOM Fn유전자혁신기술
2025-02-07,올릭스,226950,KOSPI,17930,21150,16500,20550,1266924,18.17,96,KIWOOM Fn유전자혁신기술
2025-02-10,올릭스,226950,KOSPI,26700,26700,26700,26700,95531,29.93,96,KIWOOM Fn유전자혁신기술
2025-02-11,올릭스,226950,KOSPI,34700,34700,34700,34700,105369,29.96,96,KIWOOM Fn유전자혁신기술
2025-02-12,올릭스,226950,KOSPI,42000,45100,39800,45100,7285634,29.97,96,KIWOOM Fn유전자혁신기술
2025-02-13,올릭스,226950,KOSPI,43200,46950,42000,44600,2317281,-1.11,96,KIWOOM Fn유전자혁신기술
2025-02-14,올릭스,226950,KOSPI,43500,44550,40500,42100,1504424,-5.61,96,KIWOOM Fn유전자혁신기술
2025-02-17,올릭스,226950,KOSPI,43500,52400,42000,48150,3685599,14.37,96,KIWOOM Fn유전자혁신기술
2025-02-18,올릭스,226950,KOSPI,47000,49600,45750,48300,1481302,0.31,96,KIWOOM Fn유전자혁신기술
2025-02-19,올릭스,226950,KOSPI,47000,47350,43300,45000,1351315,-6.83,96,KIWOOM Fn유전자혁신기술
2025-02-20,올릭스,226950,KOSPI,45000,47950,41250,42250,1187226,-6.11,96,KIWOOM Fn유전자혁신기술
2025-02-21,올릭스,226950,KOSPI,42250,44400,41000,43150,803927,2.13,96,KIWOOM Fn유전자혁신기술
2025-02-24,올릭스,226950,KOSPI,42150,44400,41050,43700,721686,1.27,96,KIWOOM Fn유전자혁신기술
2025-02-25,올릭스,226950,KOSPI,45900,52200,44700,52200,3955164,19.45,96,KIWOOM Fn유전자혁신기술
2025-02-26,올릭스,226950,KOSPI,53700,57500,50100,55600,2807336,6.51,96,KIWOOM Fn유전자혁신기술
2025-02-27,올릭스,226950,KOSPI,53900,56800,52600,55700,1141616,0.18,96,KIWOOM Fn유전자혁신기술
2025-02-28,올릭스,226950,KOSPI,53500,59700,52300,58800,1364030,5.57,96,KIWOOM Fn유전자혁신기술
2025-03-04,올릭스,226950,KOSPI,57200,61500,51500,57200,2162392,-2.72,96,KIWOOM Fn유전자혁신기술
2025-03-05,올릭스,226950,KOSPI,55800,57500,51800,53400,1403190,-6.64,96,KIWOOM Fn유전자혁신기술
2025-03-06,올릭스,226950,KOSPI,53000,55400,51800,53900,1182671,0.94,96,KIWOOM Fn유전자혁신기술
2025-03-07,올릭스,226950,KOSPI,52600,64000,46600,48250,5224470,-10.48,96,KIWOOM Fn유전자혁신기술
2025-03-10,올릭스,226950,KOSPI,45800,49250,44750,45900,1489441,-4.87,96,KIWOOM Fn유전자혁신기술
2025-03-11,올릭스,226950,KOSPI,43550,45200,41750,44100,1342681,-3.92,96,KIWOOM Fn유전자혁신기술
2025-03-12,올릭스,226950,KOSPI,43500,49000,42900,46350,2038819,5.1,96,KIWOOM Fn유전자혁신기술
2025-03-13,올릭스,226950,KOSPI,47500,49650,44050,45300,1133089,-2.27,96,KIWOOM Fn유전자혁신기술
2025-03-14,올릭스,226950,KOSPI,45200,49750,44500,49700,1200389,9.71,96,KIWOOM Fn유전자혁신기술
2025-03-17,올릭스,226950,KOSPI,49900,50500,46150,47650,948013,-4.12,96,KIWOOM Fn유전자혁신기술
2025-03-18,올릭스,226950,KOSPI,47650,47750,44400,46100,855735,-3.25,96,KIWOOM Fn유전자혁신기술
2025-03-19,올릭스,226950,KOSPI,46350,48700,42950,43400,782452,-5.86,96,KIWOOM Fn유전자혁신기술
2025-03-20,올릭스,226950,KOSPI,42650,44400,40150,40550,1119191,-6.57,96,KIWOOM Fn유전자혁신기술
2025-03-21,올릭스,226950,KOSPI,39550,40950,39300,39450,575040,-2.71,96,KIWOOM Fn유전자혁신기술
