날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,에코프로비엠,247540,KOSPI,132500,139600,132300,138000,1315555,0.0,5,SOL 2차전지소부장Fn
2025-01-21,에코프로비엠,247540,KOSPI,135200,138500,123300,126100,1852672,-8.62,5,SOL 2차전지소부장Fn
2025-01-22,에코프로비엠,247540,KOSPI,126800,132400,126800,130600,860437,3.57,5,SOL 2차전지소부장Fn
2025-01-23,에코프로비엠,247540,KOSPI,129300,133000,125800,131200,698157,0.46,5,SOL 2차전지소부장Fn
2025-01-24,에코프로비엠,247540,KOSPI,131200,133000,128600,129600,457720,-1.22,5,SOL 2차전지소부장Fn
2025-01-31,에코프로비엠,247540,KOSPI,128000,133700,125900,131000,485819,1.08,5,SOL 2차전지소부장Fn
2025-02-03,에코프로비엠,247540,KOSPI,128200,128500,119000,119000,751464,-9.16,5,SOL 2차전지소부장Fn
2025-02-04,에코프로비엠,247540,KOSPI,122100,126200,120200,120300,596140,1.09,5,SOL 2차전지소부장Fn
2025-02-05,에코프로비엠,247540,KOSPI,121100,125400,121100,123600,422903,2.74,5,SOL 2차전지소부장Fn
2025-02-06,에코프로비엠,247540,KOSPI,124200,126000,121400,122700,406803,-0.73,5,SOL 2차전지소부장Fn
2025-02-07,에코프로비엠,247540,KOSPI,123400,130500,120800,121100,871007,-1.3,5,SOL 2차전지소부장Fn
2025-02-10,에코프로비엠,247540,KOSPI,118600,121800,116800,120700,520316,-0.33,5,SOL 2차전지소부장Fn
2025-02-11,에코프로비엠,247540,KOSPI,120900,124000,118600,120700,674615,0.0,5,SOL 2차전지소부장Fn
2025-02-12,에코프로비엠,247540,KOSPI,120600,123500,118500,121200,572381,0.41,5,SOL 2차전지소부장Fn
2025-02-13,에코프로비엠,247540,KOSPI,122800,134300,122700,131100,1977098,8.17,5,SOL 2차전지소부장Fn
2025-02-14,에코프로비엠,247540,KOSPI,129800,131400,125400,128000,948904,-2.36,5,SOL 2차전지소부장Fn
2025-02-17,에코프로비엠,247540,KOSPI,128500,133700,127000,130600,936794,2.03,5,SOL 2차전지소부장Fn
2025-02-18,에코프로비엠,247540,KOSPI,131700,131700,128100,128400,506687,-1.68,5,SOL 2차전지소부장Fn
2025-02-19,에코프로비엠,247540,KOSPI,128900,137400,128500,135200,1362738,5.3,5,SOL 2차전지소부장Fn
2025-02-20,에코프로비엠,247540,KOSPI,136600,140300,134100,135600,961534,0.3,5,SOL 2차전지소부장Fn
2025-02-21,에코프로비엠,247540,KOSPI,136700,139500,135300,137400,722478,1.33,5,SOL 2차전지소부장Fn
2025-02-24,에코프로비엠,247540,KOSPI,135800,141700,134400,140800,890021,2.47,5,SOL 2차전지소부장Fn
2025-02-25,에코프로비엠,247540,KOSPI,139500,139900,133100,133100,715115,-5.47,5,SOL 2차전지소부장Fn
2025-02-26,에코프로비엠,247540,KOSPI,133000,141000,132700,138600,889786,4.13,5,SOL 2차전지소부장Fn
2025-02-27,에코프로비엠,247540,KOSPI,138600,139000,132800,134000,907540,-3.32,5,SOL 2차전지소부장Fn
2025-02-28,에코프로비엠,247540,KOSPI,131200,131900,117000,119000,2490297,-11.19,5,SOL 2차전지소부장Fn
2025-03-04,에코프로비엠,247540,KOSPI,117900,117900,111500,111900,1048865,-5.97,5,SOL 2차전지소부장Fn
2025-03-05,에코프로비엠,247540,KOSPI,113100,115100,110700,112700,675537,0.71,5,SOL 2차전지소부장Fn
2025-03-06,에코프로비엠,247540,KOSPI,114600,118600,112700,112900,818758,0.18,5,SOL 2차전지소부장Fn
2025-03-07,에코프로비엠,247540,KOSPI,111300,117500,111300,116700,726487,3.37,5,SOL 2차전지소부장Fn
2025-03-10,에코프로비엠,247540,KOSPI,116800,123900,115500,123000,1004048,5.4,5,SOL 2차전지소부장Fn
2025-03-11,에코프로비엠,247540,KOSPI,117700,120400,117600,119000,609352,-3.25,5,SOL 2차전지소부장Fn
2025-03-12,에코프로비엠,247540,KOSPI,120800,122100,119100,119400,542178,0.34,5,SOL 2차전지소부장Fn
2025-03-13,에코프로비엠,247540,KOSPI,121500,122200,115000,115600,866306,-3.18,5,SOL 2차전지소부장Fn
2025-03-14,에코프로비엠,247540,KOSPI,115300,116300,111200,112500,685802,-2.68,5,SOL 2차전지소부장Fn
2025-03-17,에코프로비엠,247540,KOSPI,113100,113700,110700,110800,526173,-1.51,5,SOL 2차전지소부장Fn
