날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,넷마블,251270,KOSPI,47050,47550,46500,46950,75457,0.0,9,TIGER 게임TOP10
2025-01-21,넷마블,251270,KOSPI,47100,48100,46200,46350,135041,-1.28,9,TIGER 게임TOP10
2025-01-22,넷마블,251270,KOSPI,46650,47000,45200,45850,182682,-1.08,9,TIGER 게임TOP10
2025-01-23,넷마블,251270,KOSPI,46000,46050,43850,44000,223448,-4.03,9,TIGER 게임TOP10
2025-01-24,넷마블,251270,KOSPI,44100,44300,43400,43550,132991,-1.02,9,TIGER 게임TOP10
2025-01-31,넷마블,251270,KOSPI,44400,44600,43600,44300,88819,1.72,9,TIGER 게임TOP10
2025-02-03,넷마블,251270,KOSPI,43650,43850,42350,43500,152883,-1.81,9,TIGER 게임TOP10
2025-02-04,넷마블,251270,KOSPI,43700,44500,43700,44500,138815,2.3,9,TIGER 게임TOP10
2025-02-05,넷마블,251270,KOSPI,44400,45700,44350,45000,99483,1.12,9,TIGER 게임TOP10
2025-02-06,넷마블,251270,KOSPI,45450,45650,44900,45550,73923,1.22,9,TIGER 게임TOP10
2025-02-07,넷마블,251270,KOSPI,45200,45500,44500,44500,68092,-2.31,9,TIGER 게임TOP10
2025-02-10,넷마블,251270,KOSPI,44500,45850,44500,45450,100326,2.13,9,TIGER 게임TOP10
2025-02-11,넷마블,251270,KOSPI,45400,46400,45200,46100,90854,1.43,9,TIGER 게임TOP10
2025-02-12,넷마블,251270,KOSPI,46400,46450,44950,46050,109181,-0.11,9,TIGER 게임TOP10
2025-02-13,넷마블,251270,KOSPI,46450,46750,45000,46750,185253,1.52,9,TIGER 게임TOP10
2025-02-14,넷마블,251270,KOSPI,47700,48000,45650,46250,169083,-1.07,9,TIGER 게임TOP10
2025-02-17,넷마블,251270,KOSPI,46450,46450,45450,45550,84338,-1.51,9,TIGER 게임TOP10
2025-02-18,넷마블,251270,KOSPI,45500,46200,45000,46150,68544,1.32,9,TIGER 게임TOP10
2025-02-19,넷마블,251270,KOSPI,45750,47150,45750,46700,73806,1.19,9,TIGER 게임TOP10
2025-02-20,넷마블,251270,KOSPI,47850,48100,47100,47300,113128,1.28,9,TIGER 게임TOP10
2025-02-21,넷마블,251270,KOSPI,47300,47550,46800,46900,52912,-0.85,9,TIGER 게임TOP10
2025-02-24,넷마블,251270,KOSPI,46700,47200,46250,46500,68086,-0.85,9,TIGER 게임TOP10
2025-02-25,넷마블,251270,KOSPI,46050,46450,44700,44750,174315,-3.76,9,TIGER 게임TOP10
2025-02-26,넷마블,251270,KOSPI,44750,45700,44600,45200,125066,1.01,9,TIGER 게임TOP10
2025-02-27,넷마블,251270,KOSPI,45200,45650,44050,44350,231955,-1.88,9,TIGER 게임TOP10
2025-02-28,넷마블,251270,KOSPI,43800,43900,40250,40250,3242896,-9.24,9,TIGER 게임TOP10
2025-03-04,넷마블,251270,KOSPI,40100,40900,39750,40050,458786,-0.5,9,TIGER 게임TOP10
2025-03-05,넷마블,251270,KOSPI,40350,41250,40050,40700,268288,1.62,9,TIGER 게임TOP10
2025-03-06,넷마블,251270,KOSPI,40850,42150,40650,41550,214261,2.09,9,TIGER 게임TOP10
2025-03-07,넷마블,251270,KOSPI,41200,41550,40800,41000,146438,-1.32,9,TIGER 게임TOP10
2025-03-10,넷마블,251270,KOSPI,41000,42150,40550,41150,154640,0.37,9,TIGER 게임TOP10
2025-03-11,넷마블,251270,KOSPI,40000,40550,39800,40100,189695,-2.55,9,TIGER 게임TOP10
2025-03-12,넷마블,251270,KOSPI,39950,40400,38450,39250,278726,-2.12,9,TIGER 게임TOP10
2025-03-13,넷마블,251270,KOSPI,39500,40950,39200,40400,462722,2.93,9,TIGER 게임TOP10
2025-03-14,넷마블,251270,KOSPI,40450,41000,39950,40100,122892,-0.74,9,TIGER 게임TOP10
2025-03-17,넷마블,251270,KOSPI,40300,40800,40150,40500,97669,1.0,9,TIGER 게임TOP10
2025-03-18,넷마블,251270,KOSPI,40650,41300,40300,40350,121960,-0.37,9,TIGER 게임TOP10
