날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,스튜디오드래곤,253450,KOSPI,39800,39950,38250,38500,110649,0.0,60,TIGER 미디어컨텐츠
2025-01-21,스튜디오드래곤,253450,KOSPI,38500,38750,38050,38150,85202,-0.91,60,TIGER 미디어컨텐츠
2025-01-22,스튜디오드래곤,253450,KOSPI,38400,38950,37650,38000,91603,-0.39,60,TIGER 미디어컨텐츠
2025-01-23,스튜디오드래곤,253450,KOSPI,38300,38400,37100,37350,101876,-1.71,60,TIGER 미디어컨텐츠
2025-01-24,스튜디오드래곤,253450,KOSPI,37650,38000,37250,37800,47254,1.2,60,TIGER 미디어컨텐츠
2025-01-31,스튜디오드래곤,253450,KOSPI,38000,38100,37500,37550,49352,-0.66,60,TIGER 미디어컨텐츠
2025-02-03,스튜디오드래곤,253450,KOSPI,37250,37450,36300,37350,113623,-0.53,60,TIGER 미디어컨텐츠
2025-02-04,스튜디오드래곤,253450,KOSPI,38250,38300,37400,37550,38997,0.54,60,TIGER 미디어컨텐츠
2025-02-05,스튜디오드래곤,253450,KOSPI,37750,38600,37450,38300,63948,2.0,60,TIGER 미디어컨텐츠
2025-02-06,스튜디오드래곤,253450,KOSPI,38350,38450,37800,38050,70056,-0.65,60,TIGER 미디어컨텐츠
2025-02-07,스튜디오드래곤,253450,KOSPI,38050,38250,37650,38250,52197,0.53,60,TIGER 미디어컨텐츠
2025-02-10,스튜디오드래곤,253450,KOSPI,38250,40850,38050,40200,247271,5.1,60,TIGER 미디어컨텐츠
2025-02-11,스튜디오드래곤,253450,KOSPI,41000,41600,40550,41000,117672,1.99,60,TIGER 미디어컨텐츠
2025-02-12,스튜디오드래곤,253450,KOSPI,41000,42650,40400,42100,166721,2.68,60,TIGER 미디어컨텐츠
2025-02-13,스튜디오드래곤,253450,KOSPI,42650,42650,40750,41000,164461,-2.61,60,TIGER 미디어컨텐츠
2025-02-14,스튜디오드래곤,253450,KOSPI,41150,41850,40950,41100,76073,0.24,60,TIGER 미디어컨텐츠
2025-02-17,스튜디오드래곤,253450,KOSPI,41150,41150,39900,40050,81745,-2.55,60,TIGER 미디어컨텐츠
2025-02-18,스튜디오드래곤,253450,KOSPI,40000,41350,39650,40700,85409,1.62,60,TIGER 미디어컨텐츠
2025-02-19,스튜디오드래곤,253450,KOSPI,41250,41850,40650,41750,70912,2.58,60,TIGER 미디어컨텐츠
2025-02-20,스튜디오드래곤,253450,KOSPI,47050,51700,46300,49400,2496924,18.32,60,TIGER 미디어컨텐츠
2025-02-21,스튜디오드래곤,253450,KOSPI,50000,50400,47350,49200,625306,-0.4,60,TIGER 미디어컨텐츠
2025-02-24,스튜디오드래곤,253450,KOSPI,48150,49600,48150,48500,207839,-1.42,60,TIGER 미디어컨텐츠
2025-02-25,스튜디오드래곤,253450,KOSPI,49450,49950,48400,49500,262669,2.06,60,TIGER 미디어컨텐츠
2025-02-26,스튜디오드래곤,253450,KOSPI,48500,49550,48000,48650,184878,-1.72,60,TIGER 미디어컨텐츠
2025-02-27,스튜디오드래곤,253450,KOSPI,48650,51400,48400,51100,392299,5.04,60,TIGER 미디어컨텐츠
2025-02-28,스튜디오드래곤,253450,KOSPI,50400,52400,50400,51400,415640,0.59,60,TIGER 미디어컨텐츠
2025-03-04,스튜디오드래곤,253450,KOSPI,50500,50800,48600,49500,248030,-3.7,60,TIGER 미디어컨텐츠
2025-03-05,스튜디오드래곤,253450,KOSPI,50000,50600,48400,49600,153051,0.2,60,TIGER 미디어컨텐츠
2025-03-06,스튜디오드래곤,253450,KOSPI,49600,49700,48050,48350,205260,-2.52,60,TIGER 미디어컨텐츠
2025-03-07,스튜디오드래곤,253450,KOSPI,48000,49600,48000,49450,157916,2.28,60,TIGER 미디어컨텐츠
2025-03-10,스튜디오드래곤,253450,KOSPI,49400,49450,47500,49100,148900,-0.71,60,TIGER 미디어컨텐츠
2025-03-11,스튜디오드래곤,253450,KOSPI,47200,49350,47100,47900,113693,-2.44,60,TIGER 미디어컨텐츠
2025-03-12,스튜디오드래곤,253450,KOSPI,47650,48200,47200,47400,103849,-1.04,60,TIGER 미디어컨텐츠
2025-03-13,스튜디오드래곤,253450,KOSPI,47950,48150,46700,47450,312696,0.11,60,TIGER 미디어컨텐츠
2025-03-14,스튜디오드래곤,253450,KOSPI,47450,48050,46300,46550,87332,-1.9,60,TIGER 미디어컨텐츠
2025-03-17,스튜디오드래곤,253450,KOSPI,46550,47400,45950,46300,71784,-0.54,60,TIGER 미디어컨텐츠
