날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,크래프톤,259960,KOSPI,344000,355000,343500,345000,120305,0.0,86,"TIGER 소프트웨어,TIGER 게임TOP10"
2025-01-21,크래프톤,259960,KOSPI,346000,351000,344000,347000,79877,0.58,86,"TIGER 소프트웨어,TIGER 게임TOP10"
2025-01-22,크래프톤,259960,KOSPI,344000,346500,330000,337000,172903,-2.88,86,"TIGER 소프트웨어,TIGER 게임TOP10"
2025-01-23,크래프톤,259960,KOSPI,339000,340500,335500,337500,79034,0.15,86,"TIGER 소프트웨어,TIGER 게임TOP10"
2025-01-24,크래프톤,259960,KOSPI,339500,346500,338000,343000,89161,1.63,86,"TIGER 소프트웨어,TIGER 게임TOP10"
2025-01-31,크래프톤,259960,KOSPI,349500,364000,347500,364000,244919,6.12,86,"TIGER 소프트웨어,TIGER 게임TOP10"
2025-02-03,크래프톤,259960,KOSPI,360000,362000,349000,360000,148663,-1.1,86,"TIGER 소프트웨어,TIGER 게임TOP10"
2025-02-04,크래프톤,259960,KOSPI,375500,384500,357000,362500,253679,0.69,86,"TIGER 소프트웨어,TIGER 게임TOP10"
2025-02-05,크래프톤,259960,KOSPI,362500,376000,359000,376000,191557,3.72,86,"TIGER 소프트웨어,TIGER 게임TOP10"
2025-02-06,크래프톤,259960,KOSPI,377000,382000,370500,381000,130837,1.33,86,"TIGER 소프트웨어,TIGER 게임TOP10"
2025-02-07,크래프톤,259960,KOSPI,378000,384000,375500,383000,109037,0.52,86,"TIGER 소프트웨어,TIGER 게임TOP10"
2025-02-10,크래프톤,259960,KOSPI,382000,390000,376500,377500,151611,-1.44,86,"TIGER 소프트웨어,TIGER 게임TOP10"
2025-02-11,크래프톤,259960,KOSPI,380000,389500,375000,375000,229062,-0.66,86,"TIGER 소프트웨어,TIGER 게임TOP10"
2025-02-12,크래프톤,259960,KOSPI,351000,354000,321000,322500,828270,-14.0,86,"TIGER 소프트웨어,TIGER 게임TOP10"
2025-02-13,크래프톤,259960,KOSPI,324500,324500,315000,317000,350331,-1.71,86,"TIGER 소프트웨어,TIGER 게임TOP10"
2025-02-14,크래프톤,259960,KOSPI,320000,324000,311500,312000,270169,-1.58,86,"TIGER 소프트웨어,TIGER 게임TOP10"
2025-02-17,크래프톤,259960,KOSPI,316000,323500,315000,322500,227869,3.37,86,"TIGER 소프트웨어,TIGER 게임TOP10"
2025-02-18,크래프톤,259960,KOSPI,324000,324500,316000,321500,228537,-0.31,86,"TIGER 소프트웨어,TIGER 게임TOP10"
2025-02-19,크래프톤,259960,KOSPI,321500,338000,320500,335000,395262,4.2,86,"TIGER 소프트웨어,TIGER 게임TOP10"
2025-02-20,크래프톤,259960,KOSPI,336000,337000,328500,332000,167272,-0.9,86,"TIGER 소프트웨어,TIGER 게임TOP10"
2025-02-21,크래프톤,259960,KOSPI,335000,336000,326000,327500,144425,-1.36,86,"TIGER 소프트웨어,TIGER 게임TOP10"
2025-02-24,크래프톤,259960,KOSPI,322500,327000,320000,327000,121921,-0.15,86,"TIGER 소프트웨어,TIGER 게임TOP10"
2025-02-25,크래프톤,259960,KOSPI,324500,335000,324000,325000,187059,-0.61,86,"TIGER 소프트웨어,TIGER 게임TOP10"
2025-02-26,크래프톤,259960,KOSPI,324000,343500,324000,340000,293523,4.62,86,"TIGER 소프트웨어,TIGER 게임TOP10"
2025-02-27,크래프톤,259960,KOSPI,335500,343000,333000,341500,162639,0.44,86,"TIGER 소프트웨어,TIGER 게임TOP10"
2025-02-28,크래프톤,259960,KOSPI,337000,345000,333500,343500,233576,0.59,86,"TIGER 소프트웨어,TIGER 게임TOP10"
2025-03-04,크래프톤,259960,KOSPI,339000,341000,330000,334000,170871,-2.77,86,"TIGER 소프트웨어,TIGER 게임TOP10"
2025-03-05,크래프톤,259960,KOSPI,336500,345000,336500,344000,163195,2.99,86,"TIGER 소프트웨어,TIGER 게임TOP10"
2025-03-06,크래프톤,259960,KOSPI,346000,349500,340000,348000,138858,1.16,86,"TIGER 소프트웨어,TIGER 게임TOP10"
2025-03-07,크래프톤,259960,KOSPI,346000,354000,343000,349000,108965,0.29,86,"TIGER 소프트웨어,TIGER 게임TOP10"
2025-03-10,크래프톤,259960,KOSPI,349000,358500,347000,350500,168746,0.43,86,"TIGER 소프트웨어,TIGER 게임TOP10"
