날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,펄어비스,263750,KOSPI,28400,28450,27950,28300,104486,0.0,46,TIGER 게임TOP10
2025-01-21,펄어비스,263750,KOSPI,28300,28750,28200,28350,104692,0.18,46,TIGER 게임TOP10
2025-01-22,펄어비스,263750,KOSPI,28350,28650,28350,28350,99656,0.0,46,TIGER 게임TOP10
2025-01-23,펄어비스,263750,KOSPI,28500,28500,27950,27950,96125,-1.41,46,TIGER 게임TOP10
2025-01-24,펄어비스,263750,KOSPI,27950,28400,27800,28150,138593,0.72,46,TIGER 게임TOP10
2025-01-31,펄어비스,263750,KOSPI,28250,29150,27950,29050,241520,3.2,46,TIGER 게임TOP10
2025-02-03,펄어비스,263750,KOSPI,28550,29250,28300,29000,214234,-0.17,46,TIGER 게임TOP10
2025-02-04,펄어비스,263750,KOSPI,29250,29700,28900,29450,272327,1.55,46,TIGER 게임TOP10
2025-02-05,펄어비스,263750,KOSPI,29500,29850,29200,29400,158492,-0.17,46,TIGER 게임TOP10
2025-02-06,펄어비스,263750,KOSPI,29400,30100,29400,29750,191625,1.19,46,TIGER 게임TOP10
2025-02-07,펄어비스,263750,KOSPI,29350,29700,28800,28950,219619,-2.69,46,TIGER 게임TOP10
2025-02-10,펄어비스,263750,KOSPI,28750,29500,28750,29400,144934,1.55,46,TIGER 게임TOP10
2025-02-11,펄어비스,263750,KOSPI,30500,32950,29950,32500,1430400,10.54,46,TIGER 게임TOP10
2025-02-12,펄어비스,263750,KOSPI,32950,33500,32300,32850,493025,1.08,46,TIGER 게임TOP10
2025-02-13,펄어비스,263750,KOSPI,32950,33450,32400,32950,320917,0.3,46,TIGER 게임TOP10
2025-02-14,펄어비스,263750,KOSPI,32950,33650,32650,32800,217721,-0.46,46,TIGER 게임TOP10
2025-02-17,펄어비스,263750,KOSPI,32800,33000,32050,32400,153713,-1.22,46,TIGER 게임TOP10
2025-02-18,펄어비스,263750,KOSPI,32300,32800,31950,32800,142897,1.23,46,TIGER 게임TOP10
2025-02-19,펄어비스,263750,KOSPI,32550,33400,32500,33200,181169,1.22,46,TIGER 게임TOP10
2025-02-20,펄어비스,263750,KOSPI,34050,34200,33200,33400,222995,0.6,46,TIGER 게임TOP10
2025-02-21,펄어비스,263750,KOSPI,33450,33700,32850,33200,163303,-0.6,46,TIGER 게임TOP10
2025-02-24,펄어비스,263750,KOSPI,32950,33400,32350,33250,107979,0.15,46,TIGER 게임TOP10
2025-02-25,펄어비스,263750,KOSPI,32950,33700,32850,33150,179539,-0.3,46,TIGER 게임TOP10
2025-02-26,펄어비스,263750,KOSPI,32850,34100,32850,33650,196811,1.51,46,TIGER 게임TOP10
2025-02-27,펄어비스,263750,KOSPI,33450,34050,33350,33900,123741,0.74,46,TIGER 게임TOP10
2025-02-28,펄어비스,263750,KOSPI,33650,33800,32600,32600,227857,-3.83,46,TIGER 게임TOP10
2025-03-04,펄어비스,263750,KOSPI,32200,32750,31600,32100,169568,-1.53,46,TIGER 게임TOP10
2025-03-05,펄어비스,263750,KOSPI,32400,32700,31550,31600,124728,-1.56,46,TIGER 게임TOP10
2025-03-06,펄어비스,263750,KOSPI,31900,32150,31500,31950,134011,1.11,46,TIGER 게임TOP10
2025-03-07,펄어비스,263750,KOSPI,31800,31900,31150,31250,130935,-2.19,46,TIGER 게임TOP10
2025-03-10,펄어비스,263750,KOSPI,31000,31950,30650,31550,110852,0.96,46,TIGER 게임TOP10
2025-03-11,펄어비스,263750,KOSPI,30800,31350,30500,30850,125094,-2.22,46,TIGER 게임TOP10
2025-03-12,펄어비스,263750,KOSPI,30800,31250,30500,31100,107297,0.81,46,TIGER 게임TOP10
2025-03-13,펄어비스,263750,KOSPI,31850,31850,30800,30900,203100,-0.64,46,TIGER 게임TOP10
2025-03-14,펄어비스,263750,KOSPI,31050,31950,31000,31250,102470,1.13,46,TIGER 게임TOP10
2025-03-17,펄어비스,263750,KOSPI,31250,31450,30000,30450,232097,-2.56,46,TIGER 게임TOP10
