날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,HD현대,267250,KOSPI,85800,86000,84000,84400,119714,0.0,71,TIGER 200 에너지화학
2025-01-21,HD현대,267250,KOSPI,85100,85600,83500,84900,136872,0.59,71,TIGER 200 에너지화학
2025-01-22,HD현대,267250,KOSPI,85600,85700,84300,84400,107270,-0.59,71,TIGER 200 에너지화학
2025-01-23,HD현대,267250,KOSPI,85100,85600,83100,83300,120309,-1.3,71,TIGER 200 에너지화학
2025-01-24,HD현대,267250,KOSPI,83700,84600,83200,84400,100327,1.32,71,TIGER 200 에너지화학
2025-01-31,HD현대,267250,KOSPI,85200,85300,82300,83100,116412,-1.54,71,TIGER 200 에너지화학
2025-02-03,HD현대,267250,KOSPI,82100,83100,81400,82400,148398,-0.84,71,TIGER 200 에너지화학
2025-02-04,HD현대,267250,KOSPI,82500,82800,81000,81800,141533,-0.73,71,TIGER 200 에너지화학
2025-02-05,HD현대,267250,KOSPI,81800,82200,80500,81500,130523,-0.37,71,TIGER 200 에너지화학
2025-02-06,HD현대,267250,KOSPI,81200,88200,80500,86700,617063,6.38,71,TIGER 200 에너지화학
2025-02-07,HD현대,267250,KOSPI,85900,86600,78100,78600,828489,-9.34,71,TIGER 200 에너지화학
2025-02-10,HD현대,267250,KOSPI,78900,79500,77500,77700,249877,-1.15,71,TIGER 200 에너지화학
2025-02-11,HD현대,267250,KOSPI,77800,78200,76400,76700,202164,-1.29,71,TIGER 200 에너지화학
2025-02-12,HD현대,267250,KOSPI,77400,79300,76800,78200,213967,1.96,71,TIGER 200 에너지화학
2025-02-13,HD현대,267250,KOSPI,78700,79300,77100,78200,253965,0.0,71,TIGER 200 에너지화학
2025-02-14,HD현대,267250,KOSPI,79200,79200,77500,77900,186848,-0.38,71,TIGER 200 에너지화학
2025-02-17,HD현대,267250,KOSPI,78500,78600,76800,77300,166722,-0.77,71,TIGER 200 에너지화학
2025-02-18,HD현대,267250,KOSPI,77300,77700,76500,76700,216884,-0.78,71,TIGER 200 에너지화학
2025-02-19,HD현대,267250,KOSPI,76900,78200,76200,77600,302642,1.17,71,TIGER 200 에너지화학
2025-02-20,HD현대,267250,KOSPI,77600,78000,76000,76500,229277,-1.42,71,TIGER 200 에너지화학
2025-02-21,HD현대,267250,KOSPI,76600,77300,76500,76600,134171,0.13,71,TIGER 200 에너지화학
2025-02-24,HD현대,267250,KOSPI,76500,76600,75200,76000,151585,-0.78,71,TIGER 200 에너지화학
2025-02-25,HD현대,267250,KOSPI,75400,76000,75000,75200,126758,-1.05,71,TIGER 200 에너지화학
2025-02-26,HD현대,267250,KOSPI,75500,76100,75000,75500,104780,0.4,71,TIGER 200 에너지화학
2025-02-27,HD현대,267250,KOSPI,75100,75400,74000,74900,157290,-0.79,71,TIGER 200 에너지화학
2025-02-28,HD현대,267250,KOSPI,74200,74300,72500,72900,243751,-2.67,71,TIGER 200 에너지화학
2025-03-04,HD현대,267250,KOSPI,72900,75900,72400,75900,245879,4.12,71,TIGER 200 에너지화학
2025-03-05,HD현대,267250,KOSPI,76000,76000,74700,75000,112257,-1.19,71,TIGER 200 에너지화학
2025-03-06,HD현대,267250,KOSPI,75300,76000,74800,75700,100157,0.93,71,TIGER 200 에너지화학
2025-03-07,HD현대,267250,KOSPI,75700,75700,73700,73900,129111,-2.38,71,TIGER 200 에너지화학
2025-03-10,HD현대,267250,KOSPI,74000,76800,73900,76400,158784,3.38,71,TIGER 200 에너지화학
2025-03-11,HD현대,267250,KOSPI,74600,75800,72900,73800,181722,-3.4,71,TIGER 200 에너지화학
2025-03-12,HD현대,267250,KOSPI,73900,75700,73500,75000,121758,1.63,71,TIGER 200 에너지화학
2025-03-13,HD현대,267250,KOSPI,76200,76300,74000,75100,236221,0.13,71,TIGER 200 에너지화학
2025-03-14,HD현대,267250,KOSPI,74800,75400,74200,74700,75026,-0.53,71,TIGER 200 에너지화학
2025-03-17,HD현대,267250,KOSPI,75300,76000,74800,75900,96795,1.61,71,TIGER 200 에너지화학
2025-03-18,HD현대,267250,KOSPI,76200,76400,75400,75900,97171,0.0,71,TIGER 200 에너지화학
2025-03-19,HD현대,267250,KOSPI,76300,77100,75800,76300,110012,0.53,71,TIGER 200 에너지화학
2025-03-20,HD현대,267250,KOSPI,76400,76900,75400,75400,75121,-1.18,71,TIGER 200 에너지화학
2025-03-21,HD현대,267250,KOSPI,75100,76500,74700,76200,232135,1.06,71,TIGER 200 에너지화학
