날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,HD현대일렉트릭,267260,KOSPI,433000,436500,382000,385000,928873,0.0,94,"PLUS 태양광&ESS,KODEX AI전력핵심설비"
2025-01-21,HD현대일렉트릭,267260,KOSPI,389000,390500,380000,385000,273514,0.0,94,"PLUS 태양광&ESS,KODEX AI전력핵심설비"
2025-01-22,HD현대일렉트릭,267260,KOSPI,389500,406000,389000,401500,343799,4.29,94,"PLUS 태양광&ESS,KODEX AI전력핵심설비"
2025-01-23,HD현대일렉트릭,267260,KOSPI,405000,409000,397000,408500,221031,1.74,94,"PLUS 태양광&ESS,KODEX AI전력핵심설비"
2025-01-24,HD현대일렉트릭,267260,KOSPI,430000,450000,423000,445000,720749,8.94,94,"PLUS 태양광&ESS,KODEX AI전력핵심설비"
2025-01-31,HD현대일렉트릭,267260,KOSPI,412500,422000,398000,410000,911560,-7.87,94,"PLUS 태양광&ESS,KODEX AI전력핵심설비"
2025-02-03,HD현대일렉트릭,267260,KOSPI,400000,412500,394000,408500,355317,-0.37,94,"PLUS 태양광&ESS,KODEX AI전력핵심설비"
2025-02-04,HD현대일렉트릭,267260,KOSPI,415500,422000,400500,402000,366210,-1.59,94,"PLUS 태양광&ESS,KODEX AI전력핵심설비"
2025-02-05,HD현대일렉트릭,267260,KOSPI,402000,405000,390000,391500,279223,-2.61,94,"PLUS 태양광&ESS,KODEX AI전력핵심설비"
2025-02-06,HD현대일렉트릭,267260,KOSPI,398000,402500,391500,398000,282582,1.66,94,"PLUS 태양광&ESS,KODEX AI전력핵심설비"
2025-02-07,HD현대일렉트릭,267260,KOSPI,395000,399500,388500,391000,208565,-1.76,94,"PLUS 태양광&ESS,KODEX AI전력핵심설비"
2025-02-10,HD현대일렉트릭,267260,KOSPI,387000,387500,375000,378500,293410,-3.2,94,"PLUS 태양광&ESS,KODEX AI전력핵심설비"
2025-02-11,HD현대일렉트릭,267260,KOSPI,380000,390500,378500,386000,178686,1.98,94,"PLUS 태양광&ESS,KODEX AI전력핵심설비"
2025-02-12,HD현대일렉트릭,267260,KOSPI,386500,398500,380500,398500,243311,3.24,94,"PLUS 태양광&ESS,KODEX AI전력핵심설비"
2025-02-13,HD현대일렉트릭,267260,KOSPI,402000,407000,394000,407000,264331,2.13,94,"PLUS 태양광&ESS,KODEX AI전력핵심설비"
2025-02-14,HD현대일렉트릭,267260,KOSPI,400500,400500,385500,386000,282631,-5.16,94,"PLUS 태양광&ESS,KODEX AI전력핵심설비"
2025-02-17,HD현대일렉트릭,267260,KOSPI,385000,385000,365500,372500,487784,-3.5,94,"PLUS 태양광&ESS,KODEX AI전력핵심설비"
2025-02-18,HD현대일렉트릭,267260,KOSPI,373000,395000,368500,394000,472809,5.77,94,"PLUS 태양광&ESS,KODEX AI전력핵심설비"
2025-02-19,HD현대일렉트릭,267260,KOSPI,399000,400500,383500,386500,241785,-1.9,94,"PLUS 태양광&ESS,KODEX AI전력핵심설비"
2025-02-20,HD현대일렉트릭,267260,KOSPI,387500,391000,370000,372000,298481,-3.75,94,"PLUS 태양광&ESS,KODEX AI전력핵심설비"
2025-02-21,HD현대일렉트릭,267260,KOSPI,372500,384500,366500,375000,182358,0.81,94,"PLUS 태양광&ESS,KODEX AI전력핵심설비"
2025-02-24,HD현대일렉트릭,267260,KOSPI,366000,367500,352000,353500,364082,-5.73,94,"PLUS 태양광&ESS,KODEX AI전력핵심설비"
2025-02-25,HD현대일렉트릭,267260,KOSPI,340000,353500,334000,348500,435495,-1.41,94,"PLUS 태양광&ESS,KODEX AI전력핵심설비"
2025-02-26,HD현대일렉트릭,267260,KOSPI,341500,360000,339000,356000,267342,2.15,94,"PLUS 태양광&ESS,KODEX AI전력핵심설비"
2025-02-27,HD현대일렉트릭,267260,KOSPI,362000,364000,339000,339500,348758,-4.63,94,"PLUS 태양광&ESS,KODEX AI전력핵심설비"
2025-02-28,HD현대일렉트릭,267260,KOSPI,324500,331500,315000,325500,654164,-4.12,94,"PLUS 태양광&ESS,KODEX AI전력핵심설비"
2025-03-04,HD현대일렉트릭,267260,KOSPI,319500,337000,314500,335000,407353,2.92,94,"PLUS 태양광&ESS,KODEX AI전력핵심설비"
2025-03-05,HD현대일렉트릭,267260,KOSPI,335000,354000,335000,350000,362462,4.48,94,"PLUS 태양광&ESS,KODEX AI전력핵심설비"
2025-03-06,HD현대일렉트릭,267260,KOSPI,352000,353000,344000,347000,283383,-0.86,94,"PLUS 태양광&ESS,KODEX AI전력핵심설비"
2025-03-07,HD현대일렉트릭,267260,KOSPI,341000,349000,329500,337500,248261,-2.74,94,"PLUS 태양광&ESS,KODEX AI전력핵심설비"
2025-03-10,HD현대일렉트릭,267260,KOSPI,332500,348000,328000,342000,183723,1.33,94,"PLUS 태양광&ESS,KODEX AI전력핵심설비"
2025-03-11,HD현대일렉트릭,267260,KOSPI,328000,333000,320500,330000,249493,-3.51,94,"PLUS 태양광&ESS,KODEX AI전력핵심설비"
2025-03-12,HD현대일렉트릭,267260,KOSPI,335000,349500,326000,341500,382397,3.48,94,"PLUS 태양광&ESS,KODEX AI전력핵심설비"
2025-03-13,HD현대일렉트릭,267260,KOSPI,344000,350000,328500,330500,362927,-3.22,94,"PLUS 태양광&ESS,KODEX AI전력핵심설비"
2025-03-14,HD현대일렉트릭,267260,KOSPI,330500,343000,326000,338500,189927,2.42,94,"PLUS 태양광&ESS,KODEX AI전력핵심설비"
2025-03-17,HD현대일렉트릭,267260,KOSPI,345500,361000,345000,359000,334627,6.06,94,"PLUS 태양광&ESS,KODEX AI전력핵심설비"
2025-03-18,HD현대일렉트릭,267260,KOSPI,358500,371500,356500,361000,234457,0.56,94,"PLUS 태양광&ESS,KODEX AI전력핵심설비"
2025-03-19,HD현대일렉트릭,267260,KOSPI,356000,362000,346000,346000,208321,-4.16,94,"PLUS 태양광&ESS,KODEX AI전력핵심설비"
2025-03-20,HD현대일렉트릭,267260,KOSPI,351500,352000,337500,350500,235193,1.3,94,"PLUS 태양광&ESS,KODEX AI전력핵심설비"
2025-03-21,HD현대일렉트릭,267260,KOSPI,342000,346500,329500,329500,295290,-5.99,94,"PLUS 태양광&ESS,KODEX AI전력핵심설비"
