날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,오리온,271560,KOSPI,98400,98600,97100,97600,56929,0.0,85,HANARO Fn K-푸드
2025-01-21,오리온,271560,KOSPI,98100,99400,97200,98500,65386,0.92,85,HANARO Fn K-푸드
2025-01-22,오리온,271560,KOSPI,99200,99200,98000,98400,56308,-0.1,85,HANARO Fn K-푸드
2025-01-23,오리온,271560,KOSPI,99200,99300,97900,98200,53786,-0.2,85,HANARO Fn K-푸드
2025-01-24,오리온,271560,KOSPI,98100,98700,97000,97100,76795,-1.12,85,HANARO Fn K-푸드
2025-01-31,오리온,271560,KOSPI,98700,101400,98200,101400,112263,4.43,85,HANARO Fn K-푸드
2025-02-03,오리온,271560,KOSPI,99400,100800,98000,100800,70987,-0.59,85,HANARO Fn K-푸드
2025-02-04,오리온,271560,KOSPI,101000,101100,99500,99800,73021,-0.99,85,HANARO Fn K-푸드
2025-02-05,오리온,271560,KOSPI,100300,101900,99700,100200,97887,0.4,85,HANARO Fn K-푸드
2025-02-06,오리온,271560,KOSPI,100900,102900,100300,102900,104249,2.69,85,HANARO Fn K-푸드
2025-02-07,오리온,271560,KOSPI,102400,105000,102400,103200,120625,0.29,85,HANARO Fn K-푸드
2025-02-10,오리온,271560,KOSPI,103200,105000,102600,104500,104165,1.26,85,HANARO Fn K-푸드
2025-02-11,오리온,271560,KOSPI,103800,105200,103000,104900,160087,0.38,85,HANARO Fn K-푸드
2025-02-12,오리온,271560,KOSPI,105400,108200,104200,108000,211448,2.96,85,HANARO Fn K-푸드
2025-02-13,오리온,271560,KOSPI,108000,108700,106400,107600,134607,-0.37,85,HANARO Fn K-푸드
2025-02-14,오리온,271560,KOSPI,107900,110400,107000,109800,134880,2.04,85,HANARO Fn K-푸드
2025-02-17,오리온,271560,KOSPI,110100,110100,107900,108600,87800,-1.09,85,HANARO Fn K-푸드
2025-02-18,오리온,271560,KOSPI,108300,108600,106900,107700,112021,-0.83,85,HANARO Fn K-푸드
2025-02-19,오리온,271560,KOSPI,107200,109200,106800,106900,110261,-0.74,85,HANARO Fn K-푸드
2025-02-20,오리온,271560,KOSPI,107100,111100,107100,110100,200798,2.99,85,HANARO Fn K-푸드
2025-02-21,오리온,271560,KOSPI,109900,110100,107700,108000,99017,-1.91,85,HANARO Fn K-푸드
2025-02-24,오리온,271560,KOSPI,107900,110700,107600,108700,98749,0.65,85,HANARO Fn K-푸드
2025-02-25,오리온,271560,KOSPI,107800,108600,106100,106800,103563,-1.75,85,HANARO Fn K-푸드
2025-02-26,오리온,271560,KOSPI,106300,107400,103200,103900,226850,-2.72,85,HANARO Fn K-푸드
2025-02-27,오리온,271560,KOSPI,102900,103700,101500,103700,142703,-0.19,85,HANARO Fn K-푸드
2025-02-28,오리온,271560,KOSPI,103500,103500,101500,101900,148035,-1.74,85,HANARO Fn K-푸드
2025-03-04,오리온,271560,KOSPI,102500,103800,101500,103000,82225,1.08,85,HANARO Fn K-푸드
2025-03-05,오리온,271560,KOSPI,103000,104000,101000,101300,99807,-1.65,85,HANARO Fn K-푸드
2025-03-06,오리온,271560,KOSPI,102000,106000,101000,105800,146708,4.44,85,HANARO Fn K-푸드
2025-03-07,오리온,271560,KOSPI,105800,109100,104800,108100,177127,2.17,85,HANARO Fn K-푸드
2025-03-10,오리온,271560,KOSPI,107300,110100,107000,107600,125853,-0.46,85,HANARO Fn K-푸드
2025-03-11,오리온,271560,KOSPI,105900,109700,105300,109200,118327,1.49,85,HANARO Fn K-푸드
2025-03-12,오리온,271560,KOSPI,108100,109700,108100,108200,83908,-0.92,85,HANARO Fn K-푸드
2025-03-13,오리온,271560,KOSPI,108100,109200,107500,108800,106572,0.55,85,HANARO Fn K-푸드
2025-03-14,오리온,271560,KOSPI,108300,112200,107500,110400,197409,1.47,85,HANARO Fn K-푸드
2025-03-17,오리온,271560,KOSPI,110400,113800,109100,113700,215642,2.99,85,HANARO Fn K-푸드
2025-03-18,오리온,271560,KOSPI,113400,114400,112400,112800,121538,-0.79,85,HANARO Fn K-푸드
2025-03-19,오리온,271560,KOSPI,114900,123500,113500,118300,623363,4.88,85,HANARO Fn K-푸드
2025-03-20,오리온,271560,KOSPI,119500,122700,118400,119400,347386,0.93,85,HANARO Fn K-푸드
2025-03-21,오리온,271560,KOSPI,119000,121900,117000,121900,235440,2.09,85,HANARO Fn K-푸드
