날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,레인보우로보틱스,277810,KOSPI,261000,267500,257000,259000,488051,0.0,97,KODEX K-로봇액티브
2025-01-21,레인보우로보틱스,277810,KOSPI,261500,265000,256500,260500,407749,0.58,97,KODEX K-로봇액티브
2025-01-22,레인보우로보틱스,277810,KOSPI,263500,269000,251000,253000,575536,-2.88,97,KODEX K-로봇액티브
2025-01-23,레인보우로보틱스,277810,KOSPI,253000,258000,246500,248000,398533,-1.98,97,KODEX K-로봇액티브
2025-01-24,레인보우로보틱스,277810,KOSPI,245000,249500,242000,247000,450626,-0.4,97,KODEX K-로봇액티브
2025-01-31,레인보우로보틱스,277810,KOSPI,243000,301000,242500,299500,1839937,21.26,97,KODEX K-로봇액티브
2025-02-03,레인보우로보틱스,277810,KOSPI,294000,315000,294000,309500,1180641,3.34,97,KODEX K-로봇액티브
2025-02-04,레인보우로보틱스,277810,KOSPI,313000,356000,311000,340000,2278111,9.85,97,KODEX K-로봇액티브
2025-02-05,레인보우로보틱스,277810,KOSPI,344500,379000,342500,371000,1692431,9.12,97,KODEX K-로봇액티브
2025-02-06,레인보우로보틱스,277810,KOSPI,379000,391000,360000,374500,1667849,0.94,97,KODEX K-로봇액티브
2025-02-07,레인보우로보틱스,277810,KOSPI,379000,416500,368000,410500,1334315,9.61,97,KODEX K-로봇액티브
2025-02-10,레인보우로보틱스,277810,KOSPI,419000,419000,372500,377000,1652453,-8.16,97,KODEX K-로봇액티브
2025-02-11,레인보우로보틱스,277810,KOSPI,369000,410000,365500,399000,1555861,5.84,97,KODEX K-로봇액티브
2025-02-12,레인보우로보틱스,277810,KOSPI,396000,400000,370000,373000,985085,-6.52,97,KODEX K-로봇액티브
2025-02-13,레인보우로보틱스,277810,KOSPI,372000,392500,371000,379500,909923,1.74,97,KODEX K-로봇액티브
2025-02-14,레인보우로보틱스,277810,KOSPI,387000,422500,386000,402000,1998643,5.93,97,KODEX K-로봇액티브
2025-02-17,레인보우로보틱스,277810,KOSPI,409000,409000,382000,399000,944305,-0.75,97,KODEX K-로봇액티브
2025-02-18,레인보우로보틱스,277810,KOSPI,390000,419000,386000,417500,1350279,4.64,97,KODEX K-로봇액티브
2025-02-19,레인보우로보틱스,277810,KOSPI,406500,429000,398500,410000,1093446,-1.8,97,KODEX K-로봇액티브
2025-02-20,레인보우로보틱스,277810,KOSPI,410000,417000,394500,395500,593535,-3.54,97,KODEX K-로봇액티브
2025-02-21,레인보우로보틱스,277810,KOSPI,391500,427000,390500,404500,1289249,2.28,97,KODEX K-로봇액티브
2025-02-24,레인보우로보틱스,277810,KOSPI,400000,406500,384000,390000,582828,-3.58,97,KODEX K-로봇액티브
2025-02-25,레인보우로보틱스,277810,KOSPI,386500,396500,384500,387000,412248,-0.77,97,KODEX K-로봇액티브
2025-02-26,레인보우로보틱스,277810,KOSPI,394000,395000,380000,386500,424060,-0.13,97,KODEX K-로봇액티브
2025-02-27,레인보우로보틱스,277810,KOSPI,391500,398500,386000,392500,373543,1.55,97,KODEX K-로봇액티브
2025-02-28,레인보우로보틱스,277810,KOSPI,385000,389000,338500,342500,1357938,-12.74,97,KODEX K-로봇액티브
2025-03-04,레인보우로보틱스,277810,KOSPI,342500,351500,333500,345000,598424,0.73,97,KODEX K-로봇액티브
2025-03-05,레인보우로보틱스,277810,KOSPI,347000,375000,346000,350000,1032778,1.45,97,KODEX K-로봇액티브
2025-03-06,레인보우로보틱스,277810,KOSPI,353000,354500,319500,327000,1036523,-6.57,97,KODEX K-로봇액티브
2025-03-07,레인보우로보틱스,277810,KOSPI,320500,332000,317000,321000,498063,-1.83,97,KODEX K-로봇액티브
2025-03-10,레인보우로보틱스,277810,KOSPI,319500,329500,311500,312500,466443,-2.65,97,KODEX K-로봇액티브
2025-03-11,레인보우로보틱스,277810,KOSPI,300500,315500,297000,312500,844442,0.0,97,KODEX K-로봇액티브
2025-03-12,레인보우로보틱스,277810,KOSPI,316000,325000,311500,315500,529396,0.96,97,KODEX K-로봇액티브
2025-03-13,레인보우로보틱스,277810,KOSPI,325500,326000,305000,307000,503974,-2.69,97,KODEX K-로봇액티브
2025-03-14,레인보우로보틱스,277810,KOSPI,307500,325000,307000,317500,548821,3.42,97,KODEX K-로봇액티브
2025-03-17,레인보우로보틱스,277810,KOSPI,320000,328500,313000,319000,383213,0.47,97,KODEX K-로봇액티브
2025-03-18,레인보우로보틱스,277810,KOSPI,319500,331500,315000,324000,376882,1.57,97,KODEX K-로봇액티브
2025-03-19,레인보우로보틱스,277810,KOSPI,321000,322000,303000,308500,588360,-4.78,97,KODEX K-로봇액티브
2025-03-20,레인보우로보틱스,277810,KOSPI,309500,318500,301000,302000,419792,-2.11,97,KODEX K-로봇액티브
2025-03-21,레인보우로보틱스,277810,KOSPI,297000,305500,286500,289000,471983,-4.3,97,KODEX K-로봇액티브
