날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-22,에이피알,278470,KOSPI,49600,50400,49500,49700,245632,0.0,96,TIGER 화장품
2025-01-23,에이피알,278470,KOSPI,49600,49650,47100,47200,563040,-5.03,96,TIGER 화장품
2025-01-24,에이피알,278470,KOSPI,47700,47950,46550,46700,374871,-1.06,96,TIGER 화장품
2025-01-31,에이피알,278470,KOSPI,46450,47300,45500,46200,362823,-1.07,96,TIGER 화장품
2025-02-03,에이피알,278470,KOSPI,45500,45500,41550,42000,639086,-9.09,96,TIGER 화장품
2025-02-04,에이피알,278470,KOSPI,42650,46150,42650,45100,657938,7.38,96,TIGER 화장품
2025-02-05,에이피알,278470,KOSPI,46300,48300,46000,47500,625975,5.32,96,TIGER 화장품
2025-02-06,에이피알,278470,KOSPI,48000,49200,47100,49100,375119,3.37,96,TIGER 화장품
2025-02-07,에이피알,278470,KOSPI,48850,50600,48450,49500,489187,0.81,96,TIGER 화장품
2025-02-10,에이피알,278470,KOSPI,49500,51900,47650,48350,842283,-2.32,96,TIGER 화장품
2025-02-11,에이피알,278470,KOSPI,52000,54200,50600,51500,1800795,6.51,96,TIGER 화장품
2025-02-12,에이피알,278470,KOSPI,51900,53100,50200,52000,472316,0.97,96,TIGER 화장품
2025-02-13,에이피알,278470,KOSPI,52400,53300,51300,52700,392385,1.35,96,TIGER 화장품
2025-02-14,에이피알,278470,KOSPI,52200,55000,52200,53800,593602,2.09,96,TIGER 화장품
2025-02-17,에이피알,278470,KOSPI,53800,56400,53700,55300,879018,2.79,96,TIGER 화장품
2025-02-18,에이피알,278470,KOSPI,55100,57000,53600,54000,676384,-2.35,96,TIGER 화장품
2025-02-19,에이피알,278470,KOSPI,54000,55000,52900,54500,392840,0.93,96,TIGER 화장품
2025-02-20,에이피알,278470,KOSPI,56200,56800,53700,54000,491110,-0.92,96,TIGER 화장품
2025-02-21,에이피알,278470,KOSPI,54000,56000,53100,55600,476122,2.96,96,TIGER 화장품
2025-02-24,에이피알,278470,KOSPI,54300,55500,54200,54300,225988,-2.34,96,TIGER 화장품
2025-02-25,에이피알,278470,KOSPI,54000,55800,53500,55300,293835,1.84,96,TIGER 화장품
2025-02-26,에이피알,278470,KOSPI,54700,55300,52500,54100,413514,-2.17,96,TIGER 화장품
2025-02-27,에이피알,278470,KOSPI,55300,62300,54800,60100,4144501,11.09,96,TIGER 화장품
2025-02-28,에이피알,278470,KOSPI,59100,60900,58200,58800,988210,-2.16,96,TIGER 화장품
2025-03-04,에이피알,278470,KOSPI,59600,61300,57600,59500,905379,1.19,96,TIGER 화장품
2025-03-05,에이피알,278470,KOSPI,59900,64800,59600,63400,1693411,6.55,96,TIGER 화장품
2025-03-06,에이피알,278470,KOSPI,63400,65900,62400,64700,983816,2.05,96,TIGER 화장품
2025-03-07,에이피알,278470,KOSPI,66000,67000,62800,63800,688267,-1.39,96,TIGER 화장품
2025-03-10,에이피알,278470,KOSPI,63900,66500,62700,65300,671304,2.35,96,TIGER 화장품
2025-03-11,에이피알,278470,KOSPI,64000,68000,63600,65800,1164741,0.77,96,TIGER 화장품
2025-03-12,에이피알,278470,KOSPI,65200,68900,64900,67500,919248,2.58,96,TIGER 화장품
2025-03-13,에이피알,278470,KOSPI,67900,69500,67100,67700,533059,0.3,96,TIGER 화장품
2025-03-14,에이피알,278470,KOSPI,68200,68900,66900,67400,415810,-0.44,96,TIGER 화장품
2025-03-17,에이피알,278470,KOSPI,67700,69600,67200,69100,464024,2.52,96,TIGER 화장품
2025-03-18,에이피알,278470,KOSPI,69300,69300,66100,66900,569767,-3.18,96,TIGER 화장품
2025-03-19,에이피알,278470,KOSPI,66500,67800,65400,66800,402305,-0.15,96,TIGER 화장품
2025-03-20,에이피알,278470,KOSPI,66900,71400,66900,68700,949559,2.84,96,TIGER 화장품
2025-03-21,에이피알,278470,KOSPI,68700,69900,66900,67800,363482,-1.31,96,TIGER 화장품
