날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,브릿지바이오테라퓨틱스,288330,KOSPI,4055,4120,3810,3835,1089699,0.0,98,KIWOOM Fn유전자혁신기술
2025-01-21,브릿지바이오테라퓨틱스,288330,KOSPI,3845,3845,3600,3685,856695,-3.91,98,KIWOOM Fn유전자혁신기술
2025-01-22,브릿지바이오테라퓨틱스,288330,KOSPI,3720,4180,3705,4000,1367522,8.55,98,KIWOOM Fn유전자혁신기술
2025-01-23,브릿지바이오테라퓨틱스,288330,KOSPI,3980,4560,3870,4270,1846524,6.75,98,KIWOOM Fn유전자혁신기술
2025-01-24,브릿지바이오테라퓨틱스,288330,KOSPI,4230,4310,4105,4160,653724,-2.58,98,KIWOOM Fn유전자혁신기술
2025-01-31,브릿지바이오테라퓨틱스,288330,KOSPI,4100,4235,4055,4175,424671,0.36,98,KIWOOM Fn유전자혁신기술
2025-02-03,브릿지바이오테라퓨틱스,288330,KOSPI,4060,4120,3890,3955,527820,-5.27,98,KIWOOM Fn유전자혁신기술
2025-02-04,브릿지바이오테라퓨틱스,288330,KOSPI,3990,4340,3855,4165,877757,5.31,98,KIWOOM Fn유전자혁신기술
2025-02-05,브릿지바이오테라퓨틱스,288330,KOSPI,4150,4290,4075,4095,387842,-1.68,98,KIWOOM Fn유전자혁신기술
2025-02-06,브릿지바이오테라퓨틱스,288330,KOSPI,4095,4220,3990,4000,486139,-2.32,98,KIWOOM Fn유전자혁신기술
2025-02-07,브릿지바이오테라퓨틱스,288330,KOSPI,3995,4100,3920,4000,369266,0.0,98,KIWOOM Fn유전자혁신기술
2025-02-10,브릿지바이오테라퓨틱스,288330,KOSPI,4020,4575,4020,4310,1841229,7.75,98,KIWOOM Fn유전자혁신기술
2025-02-11,브릿지바이오테라퓨틱스,288330,KOSPI,4420,4710,4335,4500,1756672,4.41,98,KIWOOM Fn유전자혁신기술
2025-02-12,브릿지바이오테라퓨틱스,288330,KOSPI,4660,5670,4540,5450,9143383,21.11,98,KIWOOM Fn유전자혁신기술
2025-02-13,브릿지바이오테라퓨틱스,288330,KOSPI,5380,5650,5330,5520,2828593,1.28,98,KIWOOM Fn유전자혁신기술
2025-02-14,브릿지바이오테라퓨틱스,288330,KOSPI,5470,5530,4315,4355,5063181,-21.11,98,KIWOOM Fn유전자혁신기술
2025-02-17,브릿지바이오테라퓨틱스,288330,KOSPI,4250,4575,4000,4460,1385091,2.41,98,KIWOOM Fn유전자혁신기술
2025-02-18,브릿지바이오테라퓨틱스,288330,KOSPI,4435,4565,4350,4430,575184,-0.67,98,KIWOOM Fn유전자혁신기술
2025-02-19,브릿지바이오테라퓨틱스,288330,KOSPI,4400,4600,4265,4475,692656,1.02,98,KIWOOM Fn유전자혁신기술
2025-02-20,브릿지바이오테라퓨틱스,288330,KOSPI,4475,4530,4355,4430,281488,-1.01,98,KIWOOM Fn유전자혁신기술
2025-02-21,브릿지바이오테라퓨틱스,288330,KOSPI,4435,5250,4435,5020,2739793,13.32,98,KIWOOM Fn유전자혁신기술
2025-02-24,브릿지바이오테라퓨틱스,288330,KOSPI,4980,4980,4515,4715,1052216,-6.08,98,KIWOOM Fn유전자혁신기술
2025-02-25,브릿지바이오테라퓨틱스,288330,KOSPI,4715,4845,4505,4600,707882,-2.44,98,KIWOOM Fn유전자혁신기술
2025-02-26,브릿지바이오테라퓨틱스,288330,KOSPI,4620,4730,4500,4690,520949,1.96,98,KIWOOM Fn유전자혁신기술
2025-02-27,브릿지바이오테라퓨틱스,288330,KOSPI,4605,5000,4605,5000,1085660,6.61,98,KIWOOM Fn유전자혁신기술
2025-02-28,브릿지바이오테라퓨틱스,288330,KOSPI,4855,5030,4690,4820,724924,-3.6,98,KIWOOM Fn유전자혁신기술
2025-03-04,브릿지바이오테라퓨틱스,288330,KOSPI,4820,4975,4610,4855,527599,0.73,98,KIWOOM Fn유전자혁신기술
2025-03-05,브릿지바이오테라퓨틱스,288330,KOSPI,4820,5090,4810,4960,999121,2.16,98,KIWOOM Fn유전자혁신기술
2025-03-06,브릿지바이오테라퓨틱스,288330,KOSPI,5010,5130,4880,4995,806388,0.71,98,KIWOOM Fn유전자혁신기술
2025-03-07,브릿지바이오테라퓨틱스,288330,KOSPI,4950,5040,4720,5030,834821,0.7,98,KIWOOM Fn유전자혁신기술
2025-03-10,브릿지바이오테라퓨틱스,288330,KOSPI,4930,5040,4830,5010,762661,-0.4,98,KIWOOM Fn유전자혁신기술
2025-03-11,브릿지바이오테라퓨틱스,288330,KOSPI,4680,6030,4675,5610,10211631,11.98,98,KIWOOM Fn유전자혁신기술
2025-03-12,브릿지바이오테라퓨틱스,288330,KOSPI,5490,6470,5470,6120,5143775,9.09,98,KIWOOM Fn유전자혁신기술
2025-03-13,브릿지바이오테라퓨틱스,288330,KOSPI,6160,6340,6060,6200,1538926,1.31,98,KIWOOM Fn유전자혁신기술
2025-03-14,브릿지바이오테라퓨틱스,288330,KOSPI,6250,6850,6190,6570,2611386,5.97,98,KIWOOM Fn유전자혁신기술
2025-03-17,브릿지바이오테라퓨틱스,288330,KOSPI,6700,6770,6450,6570,1084324,0.0,98,KIWOOM Fn유전자혁신기술
