날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,효성중공업,298040,KOSPI,482000,490000,447500,456500,190236,0.0,94,KODEX AI전력핵심설비
2025-01-21,효성중공업,298040,KOSPI,461500,468000,456500,466000,58530,2.08,94,KODEX AI전력핵심설비
2025-01-22,효성중공업,298040,KOSPI,479000,515000,478000,506000,149904,8.58,94,KODEX AI전력핵심설비
2025-01-23,효성중공업,298040,KOSPI,500000,510000,492500,494000,71165,-2.37,94,KODEX AI전력핵심설비
2025-01-24,효성중공업,298040,KOSPI,498000,518000,496500,508000,96754,2.83,94,KODEX AI전력핵심설비
2025-01-31,효성중공업,298040,KOSPI,470000,476000,440500,448500,250120,-11.71,94,KODEX AI전력핵심설비
2025-02-03,효성중공업,298040,KOSPI,440000,456000,421000,447500,144006,-0.22,94,KODEX AI전력핵심설비
2025-02-04,효성중공업,298040,KOSPI,476500,518000,475000,512000,228674,14.41,94,KODEX AI전력핵심설비
2025-02-05,효성중공업,298040,KOSPI,507000,521000,499500,503000,62765,-1.76,94,KODEX AI전력핵심설비
2025-02-06,효성중공업,298040,KOSPI,510000,549000,507000,533000,140830,5.96,94,KODEX AI전력핵심설비
2025-02-07,효성중공업,298040,KOSPI,527000,533000,500000,503000,82774,-5.63,94,KODEX AI전력핵심설비
2025-02-10,효성중공업,298040,KOSPI,493500,505000,486500,488000,80813,-2.98,94,KODEX AI전력핵심설비
2025-02-11,효성중공업,298040,KOSPI,494000,505000,490000,496500,51975,1.74,94,KODEX AI전력핵심설비
2025-02-12,효성중공업,298040,KOSPI,493000,515000,489500,502000,78006,1.11,94,KODEX AI전력핵심설비
2025-02-13,효성중공업,298040,KOSPI,505000,516000,495000,497000,68963,-1.0,94,KODEX AI전력핵심설비
2025-02-14,효성중공업,298040,KOSPI,500000,501000,475500,488000,89421,-1.81,94,KODEX AI전력핵심설비
2025-02-17,효성중공업,298040,KOSPI,488000,499000,466000,484000,106903,-0.82,94,KODEX AI전력핵심설비
2025-02-18,효성중공업,298040,KOSPI,490000,513000,480000,506000,123985,4.55,94,KODEX AI전력핵심설비
2025-02-19,효성중공업,298040,KOSPI,513000,521000,495000,497500,85564,-1.68,94,KODEX AI전력핵심설비
2025-02-20,효성중공업,298040,KOSPI,496500,501000,469000,480500,92655,-3.42,94,KODEX AI전력핵심설비
2025-02-21,효성중공업,298040,KOSPI,479000,490500,472000,481000,48786,0.1,94,KODEX AI전력핵심설비
2025-02-24,효성중공업,298040,KOSPI,468500,468500,450000,458500,99799,-4.68,94,KODEX AI전력핵심설비
2025-02-25,효성중공업,298040,KOSPI,446500,459500,445000,455500,53421,-0.65,94,KODEX AI전력핵심설비
2025-02-26,효성중공업,298040,KOSPI,455500,475000,451500,459000,70089,0.77,94,KODEX AI전력핵심설비
2025-02-27,효성중공업,298040,KOSPI,465000,473000,450500,455500,58117,-0.76,94,KODEX AI전력핵심설비
2025-02-28,효성중공업,298040,KOSPI,445000,451000,429000,432500,103048,-5.05,94,KODEX AI전력핵심설비
2025-03-04,효성중공업,298040,KOSPI,427500,446000,422000,441500,66577,2.08,94,KODEX AI전력핵심설비
2025-03-05,효성중공업,298040,KOSPI,436500,455000,436500,451000,67777,2.15,94,KODEX AI전력핵심설비
2025-03-06,효성중공업,298040,KOSPI,458500,459000,425500,431500,81983,-4.32,94,KODEX AI전력핵심설비
2025-03-07,효성중공업,298040,KOSPI,427500,430000,419000,423000,64929,-1.97,94,KODEX AI전력핵심설비
2025-03-10,효성중공업,298040,KOSPI,419000,427500,407500,422500,53225,-0.12,94,KODEX AI전력핵심설비
2025-03-11,효성중공업,298040,KOSPI,410000,425000,402000,423000,69368,0.12,94,KODEX AI전력핵심설비
2025-03-12,효성중공업,298040,KOSPI,423000,432500,422000,426000,51073,0.71,94,KODEX AI전력핵심설비
2025-03-13,효성중공업,298040,KOSPI,431500,445000,423500,429500,80324,0.82,94,KODEX AI전력핵심설비
2025-03-14,효성중공업,298040,KOSPI,429500,456000,428500,454000,69609,5.7,94,KODEX AI전력핵심설비
2025-03-17,효성중공업,298040,KOSPI,461000,476500,449500,475000,76842,4.63,94,KODEX AI전력핵심설비
2025-03-18,효성중공업,298040,KOSPI,482000,483500,463000,474500,50386,-0.11,94,KODEX AI전력핵심설비
