날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,보로노이,310210,KOSPI,79200,80000,76700,78800,146511,0.0,97,"KIWOOM Fn유전자혁신기술,KIWOOM 의료AI"
2025-01-21,보로노이,310210,KOSPI,79500,79700,74600,75100,193984,-4.7,97,"KIWOOM Fn유전자혁신기술,KIWOOM 의료AI"
2025-01-22,보로노이,310210,KOSPI,75200,78000,73700,73800,204229,-1.73,97,"KIWOOM Fn유전자혁신기술,KIWOOM 의료AI"
2025-01-23,보로노이,310210,KOSPI,73800,77700,72800,76800,160180,4.07,97,"KIWOOM Fn유전자혁신기술,KIWOOM 의료AI"
2025-01-24,보로노이,310210,KOSPI,77500,81300,76500,80300,215407,4.56,97,"KIWOOM Fn유전자혁신기술,KIWOOM 의료AI"
2025-01-31,보로노이,310210,KOSPI,81500,86100,81500,86100,270778,7.22,97,"KIWOOM Fn유전자혁신기술,KIWOOM 의료AI"
2025-02-03,보로노이,310210,KOSPI,86000,86000,80900,82300,164176,-4.41,97,"KIWOOM Fn유전자혁신기술,KIWOOM 의료AI"
2025-02-04,보로노이,310210,KOSPI,83800,95000,82900,94000,387195,14.22,97,"KIWOOM Fn유전자혁신기술,KIWOOM 의료AI"
2025-02-05,보로노이,310210,KOSPI,94800,102900,93100,101100,503329,7.55,97,"KIWOOM Fn유전자혁신기술,KIWOOM 의료AI"
2025-02-06,보로노이,310210,KOSPI,102000,104100,98800,99500,233505,-1.58,97,"KIWOOM Fn유전자혁신기술,KIWOOM 의료AI"
2025-02-07,보로노이,310210,KOSPI,98900,107800,97800,104000,248626,4.52,97,"KIWOOM Fn유전자혁신기술,KIWOOM 의료AI"
2025-02-10,보로노이,310210,KOSPI,113700,119500,104000,118300,553437,13.75,97,"KIWOOM Fn유전자혁신기술,KIWOOM 의료AI"
2025-02-11,보로노이,310210,KOSPI,117800,119500,112100,115100,255738,-2.7,97,"KIWOOM Fn유전자혁신기술,KIWOOM 의료AI"
2025-02-12,보로노이,310210,KOSPI,112400,118800,107100,118500,293827,2.95,97,"KIWOOM Fn유전자혁신기술,KIWOOM 의료AI"
2025-02-13,보로노이,310210,KOSPI,118500,118500,111600,114200,171411,-3.63,97,"KIWOOM Fn유전자혁신기술,KIWOOM 의료AI"
2025-02-14,보로노이,310210,KOSPI,114500,116800,110000,114400,179614,0.18,97,"KIWOOM Fn유전자혁신기술,KIWOOM 의료AI"
2025-02-17,보로노이,310210,KOSPI,115600,123500,113600,121400,272713,6.12,97,"KIWOOM Fn유전자혁신기술,KIWOOM 의료AI"
2025-02-18,보로노이,310210,KOSPI,122700,122700,114700,121800,234673,0.33,97,"KIWOOM Fn유전자혁신기술,KIWOOM 의료AI"
2025-02-19,보로노이,310210,KOSPI,119300,119300,111400,112000,329469,-8.05,97,"KIWOOM Fn유전자혁신기술,KIWOOM 의료AI"
2025-02-20,보로노이,310210,KOSPI,110900,113900,105900,106200,262683,-5.18,97,"KIWOOM Fn유전자혁신기술,KIWOOM 의료AI"
2025-02-21,보로노이,310210,KOSPI,105000,111400,103100,107200,178492,0.94,97,"KIWOOM Fn유전자혁신기술,KIWOOM 의료AI"
2025-02-24,보로노이,310210,KOSPI,105500,108000,103900,106400,119557,-0.75,97,"KIWOOM Fn유전자혁신기술,KIWOOM 의료AI"
2025-02-25,보로노이,310210,KOSPI,104600,111300,103600,110300,123666,3.67,97,"KIWOOM Fn유전자혁신기술,KIWOOM 의료AI"
2025-02-26,보로노이,310210,KOSPI,112000,115900,109100,113200,204887,2.63,97,"KIWOOM Fn유전자혁신기술,KIWOOM 의료AI"
2025-02-27,보로노이,310210,KOSPI,114000,118500,112600,117300,166280,3.62,97,"KIWOOM Fn유전자혁신기술,KIWOOM 의료AI"
2025-02-28,보로노이,310210,KOSPI,115300,116800,111400,111700,172876,-4.77,97,"KIWOOM Fn유전자혁신기술,KIWOOM 의료AI"
2025-03-04,보로노이,310210,KOSPI,113200,136000,110300,135000,651071,20.86,97,"KIWOOM Fn유전자혁신기술,KIWOOM 의료AI"
2025-03-05,보로노이,310210,KOSPI,135500,146100,132200,144600,521881,7.11,97,"KIWOOM Fn유전자혁신기술,KIWOOM 의료AI"
2025-03-06,보로노이,310210,KOSPI,147200,151600,142000,146100,366393,1.04,97,"KIWOOM Fn유전자혁신기술,KIWOOM 의료AI"
2025-03-07,보로노이,310210,KOSPI,144000,152100,143100,148800,287190,1.85,97,"KIWOOM Fn유전자혁신기술,KIWOOM 의료AI"
2025-03-10,보로노이,310210,KOSPI,146500,153000,139000,141900,267797,-4.64,97,"KIWOOM Fn유전자혁신기술,KIWOOM 의료AI"
2025-03-11,보로노이,310210,KOSPI,136200,144400,133500,142200,215935,0.21,97,"KIWOOM Fn유전자혁신기술,KIWOOM 의료AI"
2025-03-12,보로노이,310210,KOSPI,140800,147000,137800,138500,150517,-2.6,97,"KIWOOM Fn유전자혁신기술,KIWOOM 의료AI"
2025-03-13,보로노이,310210,KOSPI,139800,142100,131600,138000,170902,-0.36,97,"KIWOOM Fn유전자혁신기술,KIWOOM 의료AI"
2025-03-14,보로노이,310210,KOSPI,138000,140700,134500,136600,153816,-1.01,97,"KIWOOM Fn유전자혁신기술,KIWOOM 의료AI"
2025-03-17,보로노이,310210,KOSPI,137300,137300,126000,131100,299319,-4.03,97,"KIWOOM Fn유전자혁신기술,KIWOOM 의료AI"
2025-03-18,보로노이,310210,KOSPI,132700,140200,130300,137000,237812,4.5,97,"KIWOOM Fn유전자혁신기술,KIWOOM 의료AI"
