날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,우리금융지주,316140,KOSPI,15500,15660,15470,15560,894957,0.0,78,KODEX 은행
2025-01-21,우리금융지주,316140,KOSPI,15610,15680,15520,15640,1156488,0.51,78,KODEX 은행
2025-01-22,우리금융지주,316140,KOSPI,15740,15910,15700,15800,1867978,1.02,78,KODEX 은행
2025-01-23,우리금융지주,316140,KOSPI,15850,15950,15760,15760,1611139,-0.25,78,KODEX 은행
2025-01-24,우리금융지주,316140,KOSPI,15820,15850,15690,15750,1128567,-0.06,78,KODEX 은행
2025-01-31,우리금융지주,316140,KOSPI,15940,16150,15770,16100,2647462,2.22,78,KODEX 은행
2025-02-03,우리금융지주,316140,KOSPI,15890,15940,15510,15580,2276627,-3.23,78,KODEX 은행
2025-02-04,우리금융지주,316140,KOSPI,15580,15730,15560,15680,1701434,0.64,78,KODEX 은행
2025-02-05,우리금융지주,316140,KOSPI,15680,15890,15670,15740,1527395,0.38,78,KODEX 은행
2025-02-06,우리금융지주,316140,KOSPI,15740,15790,15410,15630,2604337,-0.7,78,KODEX 은행
2025-02-07,우리금융지주,316140,KOSPI,15500,15600,15360,15390,2106335,-1.54,78,KODEX 은행
2025-02-10,우리금융지주,316140,KOSPI,15810,16590,15810,16310,6554417,5.98,78,KODEX 은행
2025-02-11,우리금융지주,316140,KOSPI,16310,16400,16210,16400,1952372,0.55,78,KODEX 은행
2025-02-12,우리금융지주,316140,KOSPI,16600,16950,16560,16850,3196830,2.74,78,KODEX 은행
2025-02-13,우리금융지주,316140,KOSPI,16900,17380,16890,17190,4296481,2.02,78,KODEX 은행
2025-02-14,우리금융지주,316140,KOSPI,17000,17190,16890,17050,2047740,-0.81,78,KODEX 은행
2025-02-17,우리금융지주,316140,KOSPI,17140,17160,17000,17130,1476631,0.47,78,KODEX 은행
2025-02-18,우리금융지주,316140,KOSPI,17130,17340,17100,17240,1210976,0.64,78,KODEX 은행
2025-02-19,우리금융지주,316140,KOSPI,17240,17500,17160,17330,1854169,0.52,78,KODEX 은행
2025-02-20,우리금융지주,316140,KOSPI,17250,17440,17210,17330,1576038,0.0,78,KODEX 은행
2025-02-21,우리금융지주,316140,KOSPI,17340,17400,17220,17220,1603485,-0.63,78,KODEX 은행
2025-02-24,우리금융지주,316140,KOSPI,17250,17420,17130,17420,1866145,1.16,78,KODEX 은행
2025-02-25,우리금융지주,316140,KOSPI,17380,17460,17240,17250,1759234,-0.98,78,KODEX 은행
2025-02-26,우리금융지주,316140,KOSPI,17290,17360,17190,17260,2294822,0.06,78,KODEX 은행
2025-02-27,우리금융지주,316140,KOSPI,16890,17000,16680,17000,2694852,-1.51,78,KODEX 은행
2025-02-28,우리금융지주,316140,KOSPI,16870,16920,16500,16580,3469027,-2.47,78,KODEX 은행
2025-03-04,우리금융지주,316140,KOSPI,16480,16610,16210,16250,2585981,-1.99,78,KODEX 은행
2025-03-05,우리금융지주,316140,KOSPI,16260,16460,15940,16000,2610400,-1.54,78,KODEX 은행
2025-03-06,우리금융지주,316140,KOSPI,16140,16230,16010,16220,1378181,1.38,78,KODEX 은행
2025-03-07,우리금융지주,316140,KOSPI,16100,16180,15940,15970,1538242,-1.54,78,KODEX 은행
2025-03-10,우리금융지주,316140,KOSPI,15900,16120,15850,16110,1610137,0.88,78,KODEX 은행
2025-03-11,우리금융지주,316140,KOSPI,15940,16080,15850,15980,1545311,-0.81,78,KODEX 은행
2025-03-12,우리금융지주,316140,KOSPI,15940,16140,15920,15990,1784582,0.06,78,KODEX 은행
2025-03-13,우리금융지주,316140,KOSPI,15940,16190,15940,16030,2680947,0.25,78,KODEX 은행
2025-03-14,우리금융지주,316140,KOSPI,16000,16140,15910,16050,1355815,0.12,78,KODEX 은행
2025-03-17,우리금융지주,316140,KOSPI,16140,16470,16100,16470,1726005,2.62,78,KODEX 은행
2025-03-18,우리금융지주,316140,KOSPI,16460,16660,16460,16540,1247855,0.43,78,KODEX 은행
2025-03-19,우리금융지주,316140,KOSPI,16580,16740,16550,16680,1600855,0.85,78,KODEX 은행
2025-03-20,우리금융지주,316140,KOSPI,16680,16830,16650,16730,1319247,0.3,78,KODEX 은행
2025-03-21,우리금융지주,316140,KOSPI,16650,16980,16620,16790,2703757,0.36,78,KODEX 은행
