날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,SK바이오팜,326030,KOSPI,110000,110300,107200,108700,208260,0.0,75,TIGER 200 헬스케어
2025-01-21,SK바이오팜,326030,KOSPI,110000,110300,107400,107700,146398,-0.92,75,TIGER 200 헬스케어
2025-01-22,SK바이오팜,326030,KOSPI,109200,111700,108200,108800,232371,1.02,75,TIGER 200 헬스케어
2025-01-23,SK바이오팜,326030,KOSPI,109600,112600,107900,108700,145093,-0.09,75,TIGER 200 헬스케어
2025-01-24,SK바이오팜,326030,KOSPI,109200,112000,108800,109200,148368,0.46,75,TIGER 200 헬스케어
2025-01-31,SK바이오팜,326030,KOSPI,111000,111400,107600,109100,162112,-0.09,75,TIGER 200 헬스케어
2025-02-03,SK바이오팜,326030,KOSPI,106400,107000,101900,103200,277248,-5.41,75,TIGER 200 헬스케어
2025-02-04,SK바이오팜,326030,KOSPI,104400,108000,103800,106200,198006,2.91,75,TIGER 200 헬스케어
2025-02-05,SK바이오팜,326030,KOSPI,106500,109600,105000,108400,207315,2.07,75,TIGER 200 헬스케어
2025-02-06,SK바이오팜,326030,KOSPI,109300,128400,108600,127000,2351766,17.16,75,TIGER 200 헬스케어
2025-02-07,SK바이오팜,326030,KOSPI,125000,127900,124200,127900,618850,0.71,75,TIGER 200 헬스케어
2025-02-10,SK바이오팜,326030,KOSPI,128300,128900,122500,124700,519046,-2.5,75,TIGER 200 헬스케어
2025-02-11,SK바이오팜,326030,KOSPI,126700,129100,124200,126000,460638,1.04,75,TIGER 200 헬스케어
2025-02-12,SK바이오팜,326030,KOSPI,127000,127000,121700,124400,327304,-1.27,75,TIGER 200 헬스케어
2025-02-13,SK바이오팜,326030,KOSPI,124400,127300,122300,125400,455400,0.8,75,TIGER 200 헬스케어
2025-02-14,SK바이오팜,326030,KOSPI,126100,129800,124500,125600,386784,0.16,75,TIGER 200 헬스케어
2025-02-17,SK바이오팜,326030,KOSPI,125900,128000,123700,127800,324630,1.75,75,TIGER 200 헬스케어
2025-02-18,SK바이오팜,326030,KOSPI,129000,129000,123500,124800,321000,-2.35,75,TIGER 200 헬스케어
2025-02-19,SK바이오팜,326030,KOSPI,122300,122800,116900,119100,701273,-4.57,75,TIGER 200 헬스케어
2025-02-20,SK바이오팜,326030,KOSPI,118900,118900,115100,115600,345006,-2.94,75,TIGER 200 헬스케어
2025-02-21,SK바이오팜,326030,KOSPI,116700,117300,114700,115100,233849,-0.43,75,TIGER 200 헬스케어
2025-02-24,SK바이오팜,326030,KOSPI,114000,116000,113000,115200,177215,0.09,75,TIGER 200 헬스케어
2025-02-25,SK바이오팜,326030,KOSPI,114500,119000,113700,117400,318595,1.91,75,TIGER 200 헬스케어
2025-02-26,SK바이오팜,326030,KOSPI,118500,119100,116000,118100,212145,0.6,75,TIGER 200 헬스케어
2025-02-27,SK바이오팜,326030,KOSPI,118200,118900,116900,118100,156882,0.0,75,TIGER 200 헬스케어
2025-02-28,SK바이오팜,326030,KOSPI,116200,116800,112500,114000,326911,-3.47,75,TIGER 200 헬스케어
2025-03-04,SK바이오팜,326030,KOSPI,112400,116300,111500,115200,192645,1.05,75,TIGER 200 헬스케어
2025-03-05,SK바이오팜,326030,KOSPI,114300,117700,112900,113800,219724,-1.22,75,TIGER 200 헬스케어
2025-03-06,SK바이오팜,326030,KOSPI,114800,117500,112400,115200,212810,1.23,75,TIGER 200 헬스케어
2025-03-07,SK바이오팜,326030,KOSPI,113200,113800,106700,106900,448944,-7.2,75,TIGER 200 헬스케어
2025-03-10,SK바이오팜,326030,KOSPI,107000,108600,105700,107300,137475,0.37,75,TIGER 200 헬스케어
2025-03-11,SK바이오팜,326030,KOSPI,104400,106200,103700,105100,156340,-2.05,75,TIGER 200 헬스케어
2025-03-12,SK바이오팜,326030,KOSPI,105200,106600,104700,105500,100288,0.38,75,TIGER 200 헬스케어
2025-03-13,SK바이오팜,326030,KOSPI,105900,107800,104750,105100,156664,-0.38,75,TIGER 200 헬스케어
2025-03-14,SK바이오팜,326030,KOSPI,104600,108500,104600,106600,153613,1.43,75,TIGER 200 헬스케어
2025-03-17,SK바이오팜,326030,KOSPI,106700,107700,104000,106300,243122,-0.28,75,TIGER 200 헬스케어
2025-03-18,SK바이오팜,326030,KOSPI,106700,108000,106300,106700,130970,0.38,75,TIGER 200 헬스케어
2025-03-19,SK바이오팜,326030,KOSPI,105900,108300,105800,106100,127252,-0.56,75,TIGER 200 헬스케어
2025-03-20,SK바이오팜,326030,KOSPI,106800,107300,103800,103900,175074,-2.07,75,TIGER 200 헬스케어
2025-03-21,SK바이오팜,326030,KOSPI,102400,104900,102300,104500,194573,0.58,75,TIGER 200 헬스케어
