날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,HD현대중공업,329180,KOSPI,310500,311500,303500,308500,198253,0.0,95,SOL 조선TOP3플러스
2025-01-21,HD현대중공업,329180,KOSPI,311500,328000,309000,327000,452534,6.0,95,SOL 조선TOP3플러스
2025-01-22,HD현대중공업,329180,KOSPI,329000,330000,313000,314000,414811,-3.98,95,SOL 조선TOP3플러스
2025-01-23,HD현대중공업,329180,KOSPI,318500,319000,294500,295500,672371,-5.89,95,SOL 조선TOP3플러스
2025-01-24,HD현대중공업,329180,KOSPI,297500,305500,294500,301500,375063,2.03,95,SOL 조선TOP3플러스
2025-01-31,HD현대중공업,329180,KOSPI,304500,315000,302000,311000,400124,3.15,95,SOL 조선TOP3플러스
2025-02-03,HD현대중공업,329180,KOSPI,304500,316500,304000,311500,279119,0.16,95,SOL 조선TOP3플러스
2025-02-04,HD현대중공업,329180,KOSPI,314000,322500,308500,320500,297043,2.89,95,SOL 조선TOP3플러스
2025-02-05,HD현대중공업,329180,KOSPI,324000,324000,308500,309500,307890,-3.43,95,SOL 조선TOP3플러스
2025-02-06,HD현대중공업,329180,KOSPI,309500,321500,298000,303000,522476,-2.1,95,SOL 조선TOP3플러스
2025-02-07,HD현대중공업,329180,KOSPI,305500,318000,298500,311000,377068,2.64,95,SOL 조선TOP3플러스
2025-02-10,HD현대중공업,329180,KOSPI,312500,325500,300000,301000,467160,-3.22,95,SOL 조선TOP3플러스
2025-02-11,HD현대중공업,329180,KOSPI,303000,309000,302000,306000,241566,1.66,95,SOL 조선TOP3플러스
2025-02-12,HD현대중공업,329180,KOSPI,315000,355000,313500,353000,1353473,15.36,95,SOL 조선TOP3플러스
2025-02-13,HD현대중공업,329180,KOSPI,353000,371500,344000,366000,752609,3.68,95,SOL 조선TOP3플러스
2025-02-14,HD현대중공업,329180,KOSPI,359500,360500,329000,334500,830948,-8.61,95,SOL 조선TOP3플러스
2025-02-17,HD현대중공업,329180,KOSPI,336000,336000,323000,326500,460736,-2.39,95,SOL 조선TOP3플러스
2025-02-18,HD현대중공업,329180,KOSPI,328000,338500,317000,331500,673953,1.53,95,SOL 조선TOP3플러스
2025-02-19,HD현대중공업,329180,KOSPI,332000,354500,329000,347000,672147,4.68,95,SOL 조선TOP3플러스
2025-02-20,HD현대중공업,329180,KOSPI,330000,332000,305000,305500,1049298,-11.96,95,SOL 조선TOP3플러스
2025-02-21,HD현대중공업,329180,KOSPI,295500,305000,294000,301000,638838,-1.47,95,SOL 조선TOP3플러스
2025-02-24,HD현대중공업,329180,KOSPI,306500,310000,295500,298500,544933,-0.83,95,SOL 조선TOP3플러스
2025-02-25,HD현대중공업,329180,KOSPI,297000,308500,295000,308000,403625,3.18,95,SOL 조선TOP3플러스
2025-02-26,HD현대중공업,329180,KOSPI,311000,313000,291500,294000,598616,-4.55,95,SOL 조선TOP3플러스
2025-02-27,HD현대중공업,329180,KOSPI,295000,299500,291500,296500,310106,0.85,95,SOL 조선TOP3플러스
2025-02-28,HD현대중공업,329180,KOSPI,295500,299000,285000,296000,476194,-0.17,95,SOL 조선TOP3플러스
2025-03-04,HD현대중공업,329180,KOSPI,304500,315000,297000,314500,669510,6.25,95,SOL 조선TOP3플러스
2025-03-05,HD현대중공업,329180,KOSPI,311500,318500,303500,317000,456002,0.79,95,SOL 조선TOP3플러스
2025-03-06,HD현대중공업,329180,KOSPI,319500,323000,310000,318500,302831,0.47,95,SOL 조선TOP3플러스
2025-03-07,HD현대중공업,329180,KOSPI,318500,323000,312500,315500,254909,-0.94,95,SOL 조선TOP3플러스
2025-03-10,HD현대중공업,329180,KOSPI,313000,315000,301000,308500,233677,-2.22,95,SOL 조선TOP3플러스
2025-03-11,HD현대중공업,329180,KOSPI,298500,303000,290000,297500,347863,-3.57,95,SOL 조선TOP3플러스
2025-03-12,HD현대중공업,329180,KOSPI,297500,311500,294000,296000,358233,-0.5,95,SOL 조선TOP3플러스
2025-03-13,HD현대중공업,329180,KOSPI,311000,311000,299000,310000,344344,4.73,95,SOL 조선TOP3플러스
2025-03-14,HD현대중공업,329180,KOSPI,305500,310000,301500,304500,162685,-1.77,95,SOL 조선TOP3플러스
2025-03-17,HD현대중공업,329180,KOSPI,309000,317000,303000,315000,356056,3.45,95,SOL 조선TOP3플러스
2025-03-18,HD현대중공업,329180,KOSPI,314500,319500,308500,316500,361480,0.48,95,SOL 조선TOP3플러스
