날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,LG에너지솔루션,373220,KOSPI,352000,372000,351500,370500,402884,0.0,20,TIGER 2차전지TOP10
2025-01-21,LG에너지솔루션,373220,KOSPI,365000,370000,349500,354500,317052,-4.32,20,TIGER 2차전지TOP10
2025-01-22,LG에너지솔루션,373220,KOSPI,356000,363000,355500,360000,158528,1.55,20,TIGER 2차전지TOP10
2025-01-23,LG에너지솔루션,373220,KOSPI,356500,359500,353500,353500,136125,-1.81,20,TIGER 2차전지TOP10
2025-01-24,LG에너지솔루션,373220,KOSPI,355500,357500,348000,353500,126762,0.0,20,TIGER 2차전지TOP10
2025-01-31,LG에너지솔루션,373220,KOSPI,353500,356500,346500,352000,147908,-0.42,20,TIGER 2차전지TOP10
2025-02-03,LG에너지솔루션,373220,KOSPI,345000,345500,335000,336500,225738,-4.4,20,TIGER 2차전지TOP10
2025-02-04,LG에너지솔루션,373220,KOSPI,340500,343500,332000,333000,196605,-1.04,20,TIGER 2차전지TOP10
2025-02-05,LG에너지솔루션,373220,KOSPI,336000,347000,335000,345000,171086,3.6,20,TIGER 2차전지TOP10
2025-02-06,LG에너지솔루션,373220,KOSPI,344500,350500,338500,342000,129145,-0.87,20,TIGER 2차전지TOP10
2025-02-07,LG에너지솔루션,373220,KOSPI,341500,345000,336000,336000,119390,-1.75,20,TIGER 2차전지TOP10
2025-02-10,LG에너지솔루션,373220,KOSPI,333000,349500,329000,346500,230067,3.12,20,TIGER 2차전지TOP10
2025-02-11,LG에너지솔루션,373220,KOSPI,348000,350500,342500,343000,178558,-1.01,20,TIGER 2차전지TOP10
2025-02-12,LG에너지솔루션,373220,KOSPI,343500,347500,338000,338500,165759,-1.31,20,TIGER 2차전지TOP10
2025-02-13,LG에너지솔루션,373220,KOSPI,341500,366500,341000,358000,672554,5.76,20,TIGER 2차전지TOP10
2025-02-14,LG에너지솔루션,373220,KOSPI,355500,359500,352000,353000,162202,-1.4,20,TIGER 2차전지TOP10
2025-02-17,LG에너지솔루션,373220,KOSPI,354500,362000,352500,353500,166506,0.14,20,TIGER 2차전지TOP10
2025-02-18,LG에너지솔루션,373220,KOSPI,355000,355000,347500,350500,132978,-0.85,20,TIGER 2차전지TOP10
2025-02-19,LG에너지솔루션,373220,KOSPI,353500,370500,353500,366000,332886,4.42,20,TIGER 2차전지TOP10
2025-02-20,LG에너지솔루션,373220,KOSPI,367500,378500,365000,376500,316958,2.87,20,TIGER 2차전지TOP10
2025-02-21,LG에너지솔루션,373220,KOSPI,378500,379000,373500,378500,141193,0.53,20,TIGER 2차전지TOP10
2025-02-24,LG에너지솔루션,373220,KOSPI,377500,386500,375000,385500,237103,1.85,20,TIGER 2차전지TOP10
2025-02-25,LG에너지솔루션,373220,KOSPI,386000,386000,372500,373500,140338,-3.11,20,TIGER 2차전지TOP10
2025-02-26,LG에너지솔루션,373220,KOSPI,369500,376000,368000,374000,143098,0.13,20,TIGER 2차전지TOP10
2025-02-27,LG에너지솔루션,373220,KOSPI,374000,375000,366500,370500,124821,-0.94,20,TIGER 2차전지TOP10
2025-02-28,LG에너지솔루션,373220,KOSPI,366000,368000,351500,352000,291801,-4.99,20,TIGER 2차전지TOP10
2025-03-04,LG에너지솔루션,373220,KOSPI,351000,351500,332000,332000,361892,-5.68,20,TIGER 2차전지TOP10
2025-03-05,LG에너지솔루션,373220,KOSPI,336000,339000,327500,334000,306239,0.6,20,TIGER 2차전지TOP10
2025-03-06,LG에너지솔루션,373220,KOSPI,337500,343500,331500,334000,251173,0.0,20,TIGER 2차전지TOP10
2025-03-07,LG에너지솔루션,373220,KOSPI,331000,341000,328000,339000,208637,1.5,20,TIGER 2차전지TOP10
2025-03-10,LG에너지솔루션,373220,KOSPI,339000,352000,336000,349500,273181,3.1,20,TIGER 2차전지TOP10
2025-03-11,LG에너지솔루션,373220,KOSPI,338500,344500,336000,341000,150783,-2.43,20,TIGER 2차전지TOP10
2025-03-12,LG에너지솔루션,373220,KOSPI,344000,349500,341500,348500,189492,2.2,20,TIGER 2차전지TOP10
2025-03-13,LG에너지솔루션,373220,KOSPI,352500,354500,338500,340500,336473,-2.3,20,TIGER 2차전지TOP10
2025-03-14,LG에너지솔루션,373220,KOSPI,339500,340000,325000,326500,448904,-4.11,20,TIGER 2차전지TOP10
2025-03-17,LG에너지솔루션,373220,KOSPI,328000,330500,325000,325000,255211,-0.46,20,TIGER 2차전지TOP10
2025-03-18,LG에너지솔루션,373220,KOSPI,326500,332000,325000,325000,184156,0.0,20,TIGER 2차전지TOP10
