날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,DL이앤씨,375500,KOSPI,30700,30950,30550,30800,97314,0.0,87,TIGER 200 건설
2025-01-21,DL이앤씨,375500,KOSPI,30900,31000,30200,30600,91222,-0.65,87,TIGER 200 건설
2025-01-22,DL이앤씨,375500,KOSPI,30700,31900,30500,31700,171098,3.59,87,TIGER 200 건설
2025-01-23,DL이앤씨,375500,KOSPI,31900,32800,31550,31700,252785,0.0,87,TIGER 200 건설
2025-01-24,DL이앤씨,375500,KOSPI,32100,32500,31450,32450,271318,2.37,87,TIGER 200 건설
2025-01-31,DL이앤씨,375500,KOSPI,32700,32700,31100,31350,143862,-3.39,87,TIGER 200 건설
2025-02-03,DL이앤씨,375500,KOSPI,30900,31100,30000,30800,173395,-1.75,87,TIGER 200 건설
2025-02-04,DL이앤씨,375500,KOSPI,31200,31750,30800,31550,149455,2.44,87,TIGER 200 건설
2025-02-05,DL이앤씨,375500,KOSPI,31450,31800,30800,30900,100452,-2.06,87,TIGER 200 건설
2025-02-06,DL이앤씨,375500,KOSPI,31050,35800,31050,35150,628136,13.75,87,TIGER 200 건설
2025-02-07,DL이앤씨,375500,KOSPI,35250,37100,34950,36900,699699,4.98,87,TIGER 200 건설
2025-02-10,DL이앤씨,375500,KOSPI,36700,37500,36550,37250,336581,0.95,87,TIGER 200 건설
2025-02-11,DL이앤씨,375500,KOSPI,36900,37400,36000,37400,274000,0.4,87,TIGER 200 건설
2025-02-12,DL이앤씨,375500,KOSPI,37400,37750,36400,37750,196338,0.94,87,TIGER 200 건설
2025-02-13,DL이앤씨,375500,KOSPI,37800,38000,36800,37250,307041,-1.32,87,TIGER 200 건설
2025-02-14,DL이앤씨,375500,KOSPI,37250,38400,37200,38050,301380,2.15,87,TIGER 200 건설
2025-02-17,DL이앤씨,375500,KOSPI,38200,38250,37000,37450,130766,-1.58,87,TIGER 200 건설
2025-02-18,DL이앤씨,375500,KOSPI,37150,39250,36950,38800,268155,3.6,87,TIGER 200 건설
2025-02-19,DL이앤씨,375500,KOSPI,38900,39600,38700,39550,261094,1.93,87,TIGER 200 건설
2025-02-20,DL이앤씨,375500,KOSPI,39250,39500,38050,39400,224499,-0.38,87,TIGER 200 건설
2025-02-21,DL이앤씨,375500,KOSPI,39400,40150,39200,40150,182903,1.9,87,TIGER 200 건설
2025-02-24,DL이앤씨,375500,KOSPI,39800,39850,38750,39500,117877,-1.62,87,TIGER 200 건설
2025-02-25,DL이앤씨,375500,KOSPI,39100,41000,39000,40600,287785,2.78,87,TIGER 200 건설
2025-02-26,DL이앤씨,375500,KOSPI,40500,42400,40300,42000,259310,3.45,87,TIGER 200 건설
2025-02-27,DL이앤씨,375500,KOSPI,42050,42100,41300,41900,92821,-0.24,87,TIGER 200 건설
2025-02-28,DL이앤씨,375500,KOSPI,41750,41750,40200,40500,188721,-3.34,87,TIGER 200 건설
2025-03-04,DL이앤씨,375500,KOSPI,40500,41400,39200,41150,170693,1.6,87,TIGER 200 건설
2025-03-05,DL이앤씨,375500,KOSPI,41200,43950,41200,43500,342690,5.71,87,TIGER 200 건설
2025-03-06,DL이앤씨,375500,KOSPI,43400,43400,42050,43300,182178,-0.46,87,TIGER 200 건설
2025-03-07,DL이앤씨,375500,KOSPI,43300,45500,42800,44100,507748,1.85,87,TIGER 200 건설
2025-03-10,DL이앤씨,375500,KOSPI,45650,46950,44200,44900,394895,1.81,87,TIGER 200 건설
2025-03-11,DL이앤씨,375500,KOSPI,43850,45000,43600,44450,245282,-1.0,87,TIGER 200 건설
2025-03-12,DL이앤씨,375500,KOSPI,44350,46900,44350,45200,283768,1.69,87,TIGER 200 건설
2025-03-13,DL이앤씨,375500,KOSPI,45100,46050,44400,45400,246507,0.44,87,TIGER 200 건설
2025-03-14,DL이앤씨,375500,KOSPI,45000,45450,43100,43400,197376,-4.41,87,TIGER 200 건설
2025-03-17,DL이앤씨,375500,KOSPI,43400,44050,42900,43900,129986,1.15,87,TIGER 200 건설
2025-03-18,DL이앤씨,375500,KOSPI,44000,44500,43300,44000,131991,0.23,87,TIGER 200 건설
2025-03-19,DL이앤씨,375500,KOSPI,43950,45300,42450,42850,254884,-2.61,87,TIGER 200 건설
2025-03-20,DL이앤씨,375500,KOSPI,42850,43300,41800,42000,266070,-1.98,87,TIGER 200 건설
2025-03-21,DL이앤씨,375500,KOSPI,41800,42225,41200,42050,297665,0.12,87,TIGER 200 건설
