날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,디어유,376300,KOSPI,34300,35950,34000,35200,343647,0.0,81,TIGER 미디어컨텐츠
2025-01-21,디어유,376300,KOSPI,35500,35550,34550,34750,148541,-1.28,81,TIGER 미디어컨텐츠
2025-01-22,디어유,376300,KOSPI,34750,35800,34200,35600,169833,2.45,81,TIGER 미디어컨텐츠
2025-01-23,디어유,376300,KOSPI,35500,36700,34500,35550,174590,-0.14,81,TIGER 미디어컨텐츠
2025-01-24,디어유,376300,KOSPI,35500,36350,34600,35500,109422,-0.14,81,TIGER 미디어컨텐츠
2025-01-31,디어유,376300,KOSPI,35500,36950,35000,35850,134292,0.99,81,TIGER 미디어컨텐츠
2025-02-03,디어유,376300,KOSPI,35550,36900,35500,36150,281518,0.84,81,TIGER 미디어컨텐츠
2025-02-04,디어유,376300,KOSPI,36900,37050,34550,36250,209432,0.28,81,TIGER 미디어컨텐츠
2025-02-05,디어유,376300,KOSPI,36450,39000,36400,38300,379865,5.66,81,TIGER 미디어컨텐츠
2025-02-06,디어유,376300,KOSPI,38350,38850,37650,38600,161118,0.78,81,TIGER 미디어컨텐츠
2025-02-07,디어유,376300,KOSPI,38500,38900,37600,38100,141260,-1.3,81,TIGER 미디어컨텐츠
2025-02-10,디어유,376300,KOSPI,40500,42700,38100,41000,1028518,7.61,81,TIGER 미디어컨텐츠
2025-02-11,디어유,376300,KOSPI,42100,42250,40200,42100,566449,2.68,81,TIGER 미디어컨텐츠
2025-02-12,디어유,376300,KOSPI,42800,42800,40700,41750,366932,-0.83,81,TIGER 미디어컨텐츠
2025-02-13,디어유,376300,KOSPI,41850,43750,41300,43150,622838,3.35,81,TIGER 미디어컨텐츠
2025-02-14,디어유,376300,KOSPI,43150,44750,39150,41100,697540,-4.75,81,TIGER 미디어컨텐츠
2025-02-17,디어유,376300,KOSPI,40750,40800,38500,40050,621163,-2.55,81,TIGER 미디어컨텐츠
2025-02-18,디어유,376300,KOSPI,40050,42250,39450,41750,418830,4.24,81,TIGER 미디어컨텐츠
2025-02-19,디어유,376300,KOSPI,41350,44000,41000,43750,361104,4.79,81,TIGER 미디어컨텐츠
2025-02-20,디어유,376300,KOSPI,49050,50300,45850,47700,2033373,9.03,81,TIGER 미디어컨텐츠
2025-02-21,디어유,376300,KOSPI,48350,48800,44400,44750,1031297,-6.18,81,TIGER 미디어컨텐츠
2025-02-24,디어유,376300,KOSPI,45000,45000,41650,41750,734358,-6.7,81,TIGER 미디어컨텐츠
2025-02-25,디어유,376300,KOSPI,41950,43550,41150,42650,439507,2.16,81,TIGER 미디어컨텐츠
2025-02-26,디어유,376300,KOSPI,42650,43600,42100,42250,328642,-0.94,81,TIGER 미디어컨텐츠
2025-02-27,디어유,376300,KOSPI,42500,43850,42000,43500,328950,2.96,81,TIGER 미디어컨텐츠
2025-02-28,디어유,376300,KOSPI,42900,45150,42650,43000,510969,-1.15,81,TIGER 미디어컨텐츠
2025-03-04,디어유,376300,KOSPI,42100,42850,37950,42600,345806,-0.93,81,TIGER 미디어컨텐츠
2025-03-05,디어유,376300,KOSPI,43650,43950,40300,40600,324458,-4.69,81,TIGER 미디어컨텐츠
2025-03-06,디어유,376300,KOSPI,40950,40950,39100,39800,265136,-1.97,81,TIGER 미디어컨텐츠
2025-03-07,디어유,376300,KOSPI,39400,41000,38500,39500,315091,-0.75,81,TIGER 미디어컨텐츠
2025-03-10,디어유,376300,KOSPI,39300,40050,37600,39500,242437,0.0,81,TIGER 미디어컨텐츠
2025-03-11,디어유,376300,KOSPI,37950,40200,37950,39400,223636,-0.25,81,TIGER 미디어컨텐츠
2025-03-12,디어유,376300,KOSPI,39400,39900,38400,38700,222658,-1.78,81,TIGER 미디어컨텐츠
2025-03-13,디어유,376300,KOSPI,38600,39350,37300,37500,282588,-3.1,81,TIGER 미디어컨텐츠
2025-03-14,디어유,376300,KOSPI,37200,38800,36350,38600,214551,2.93,81,TIGER 미디어컨텐츠
2025-03-17,디어유,376300,KOSPI,38550,40150,37900,39400,341223,2.07,81,TIGER 미디어컨텐츠
