날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,HPSP,403870,KOSPI,32500,33350,31900,32600,1642419,0.0,15,SOL 반도체전공정
2025-01-21,HPSP,403870,KOSPI,32650,33150,31550,32450,1019798,-0.46,15,SOL 반도체전공정
2025-01-22,HPSP,403870,KOSPI,32800,33150,31550,32800,978996,1.08,15,SOL 반도체전공정
2025-01-23,HPSP,403870,KOSPI,33050,33100,31050,31150,885975,-5.03,15,SOL 반도체전공정
2025-01-24,HPSP,403870,KOSPI,31750,34200,31650,33050,2018699,6.1,15,SOL 반도체전공정
2025-01-31,HPSP,403870,KOSPI,31500,32050,30350,30550,1026058,-7.56,15,SOL 반도체전공정
2025-02-03,HPSP,403870,KOSPI,29450,30050,28750,29250,850856,-4.26,15,SOL 반도체전공정
2025-02-04,HPSP,403870,KOSPI,29750,30350,29150,29150,487480,-0.34,15,SOL 반도체전공정
2025-02-05,HPSP,403870,KOSPI,30150,32750,30000,30850,1784983,5.83,15,SOL 반도체전공정
2025-02-06,HPSP,403870,KOSPI,31500,31500,30250,30600,767457,-0.81,15,SOL 반도체전공정
2025-02-07,HPSP,403870,KOSPI,30650,30750,29850,30150,574375,-1.47,15,SOL 반도체전공정
2025-02-10,HPSP,403870,KOSPI,29700,30300,28750,30000,831258,-0.5,15,SOL 반도체전공정
2025-02-11,HPSP,403870,KOSPI,30300,31550,29650,31050,1051124,3.5,15,SOL 반도체전공정
2025-02-12,HPSP,403870,KOSPI,31300,31750,30600,30800,494461,-0.81,15,SOL 반도체전공정
2025-02-13,HPSP,403870,KOSPI,30850,31650,30450,31400,725621,1.95,15,SOL 반도체전공정
2025-02-14,HPSP,403870,KOSPI,32050,32100,31200,31200,741730,-0.64,15,SOL 반도체전공정
2025-02-17,HPSP,403870,KOSPI,31550,32100,31300,31750,548721,1.76,15,SOL 반도체전공정
2025-02-18,HPSP,403870,KOSPI,31800,31950,31200,31650,556500,-0.31,15,SOL 반도체전공정
2025-02-19,HPSP,403870,KOSPI,31950,33350,31650,32900,1422305,3.95,15,SOL 반도체전공정
2025-02-20,HPSP,403870,KOSPI,33350,33400,31350,31750,827349,-3.5,15,SOL 반도체전공정
2025-02-21,HPSP,403870,KOSPI,31700,31750,30650,31250,654702,-1.57,15,SOL 반도체전공정
2025-02-24,HPSP,403870,KOSPI,30200,30400,29350,30000,835455,-4.0,15,SOL 반도체전공정
2025-02-25,HPSP,403870,KOSPI,29600,31200,29300,29900,568695,-0.33,15,SOL 반도체전공정
2025-02-26,HPSP,403870,KOSPI,29750,30200,29150,29300,604299,-2.01,15,SOL 반도체전공정
2025-02-27,HPSP,403870,KOSPI,29500,29850,27700,28100,980823,-4.1,15,SOL 반도체전공정
2025-02-28,HPSP,403870,KOSPI,27250,27500,26750,26800,656105,-4.63,15,SOL 반도체전공정
2025-03-04,HPSP,403870,KOSPI,26000,26800,25650,26000,681444,-2.99,15,SOL 반도체전공정
2025-03-05,HPSP,403870,KOSPI,26250,26750,26250,26500,392035,1.92,15,SOL 반도체전공정
2025-03-06,HPSP,403870,KOSPI,26800,27200,25400,25500,732123,-3.77,15,SOL 반도체전공정
2025-03-07,HPSP,403870,KOSPI,25450,26250,25200,26050,443326,2.16,15,SOL 반도체전공정
2025-03-10,HPSP,403870,KOSPI,26000,26300,25550,25600,367874,-1.73,15,SOL 반도체전공정
2025-03-11,HPSP,403870,KOSPI,24650,25100,24250,25000,590192,-2.34,15,SOL 반도체전공정
2025-03-12,HPSP,403870,KOSPI,25500,28150,25300,27800,1773851,11.2,15,SOL 반도체전공정
2025-03-13,HPSP,403870,KOSPI,28500,28550,27150,27250,810212,-1.98,15,SOL 반도체전공정
2025-03-14,HPSP,403870,KOSPI,27450,28325,27300,27950,476072,2.57,15,SOL 반도체전공정
2025-03-17,HPSP,403870,KOSPI,28300,28400,27950,28150,513980,0.72,15,SOL 반도체전공정
