날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,두산로보틱스,454910,KOSPI,65400,65800,64000,64500,296463,0.0,39,KODEX K-로봇액티브
2025-01-21,두산로보틱스,454910,KOSPI,65000,66700,64300,66100,655013,2.48,39,KODEX K-로봇액티브
2025-01-22,두산로보틱스,454910,KOSPI,67100,67200,64900,66100,453588,0.0,39,KODEX K-로봇액티브
2025-01-23,두산로보틱스,454910,KOSPI,66200,66600,64000,64000,315287,-3.18,39,KODEX K-로봇액티브
2025-01-24,두산로보틱스,454910,KOSPI,64200,65800,63600,65300,252166,2.03,39,KODEX K-로봇액티브
2025-01-31,두산로보틱스,454910,KOSPI,65400,68100,64300,67000,785222,2.6,39,KODEX K-로봇액티브
2025-02-03,두산로보틱스,454910,KOSPI,66000,67400,64000,64300,546476,-4.03,39,KODEX K-로봇액티브
2025-02-04,두산로보틱스,454910,KOSPI,64800,73400,64700,71500,3131665,11.2,39,KODEX K-로봇액티브
2025-02-05,두산로보틱스,454910,KOSPI,70900,72700,69800,71200,1430133,-0.42,39,KODEX K-로봇액티브
2025-02-06,두산로보틱스,454910,KOSPI,72200,73000,68700,69100,1070267,-2.95,39,KODEX K-로봇액티브
2025-02-07,두산로보틱스,454910,KOSPI,69700,72500,69100,69800,1026094,1.01,39,KODEX K-로봇액티브
2025-02-10,두산로보틱스,454910,KOSPI,70000,73000,69200,69800,1141887,0.0,39,KODEX K-로봇액티브
2025-02-11,두산로보틱스,454910,KOSPI,69600,70200,68000,69100,541421,-1.0,39,KODEX K-로봇액티브
2025-02-12,두산로보틱스,454910,KOSPI,68900,69100,67200,67500,412025,-2.32,39,KODEX K-로봇액티브
2025-02-13,두산로보틱스,454910,KOSPI,67500,71400,67500,70700,806930,4.74,39,KODEX K-로봇액티브
2025-02-14,두산로보틱스,454910,KOSPI,69700,70400,68600,69200,577548,-2.12,39,KODEX K-로봇액티브
2025-02-17,두산로보틱스,454910,KOSPI,70000,70100,68200,69200,290810,0.0,39,KODEX K-로봇액티브
2025-02-18,두산로보틱스,454910,KOSPI,69800,77000,69100,76300,3720345,10.26,39,KODEX K-로봇액티브
2025-02-19,두산로보틱스,454910,KOSPI,76000,76300,72800,74100,1262379,-2.88,39,KODEX K-로봇액티브
2025-02-20,두산로보틱스,454910,KOSPI,73700,74900,70900,71300,715802,-3.78,39,KODEX K-로봇액티브
2025-02-21,두산로보틱스,454910,KOSPI,70700,73000,70700,72000,423690,0.98,39,KODEX K-로봇액티브
2025-02-24,두산로보틱스,454910,KOSPI,70100,71000,69500,69900,390335,-2.92,39,KODEX K-로봇액티브
2025-02-25,두산로보틱스,454910,KOSPI,69600,69900,68400,68600,275671,-1.86,39,KODEX K-로봇액티브
2025-02-26,두산로보틱스,454910,KOSPI,68700,69000,67100,67700,349513,-1.31,39,KODEX K-로봇액티브
2025-02-27,두산로보틱스,454910,KOSPI,68100,68600,66400,66700,293417,-1.48,39,KODEX K-로봇액티브
2025-02-28,두산로보틱스,454910,KOSPI,65800,65900,63100,63100,468709,-5.4,39,KODEX K-로봇액티브
2025-03-04,두산로보틱스,454910,KOSPI,62100,63800,61500,63000,211450,-0.16,39,KODEX K-로봇액티브
2025-03-05,두산로보틱스,454910,KOSPI,63100,65000,63100,64100,238776,1.75,39,KODEX K-로봇액티브
2025-03-06,두산로보틱스,454910,KOSPI,64700,65000,63100,63300,206961,-1.25,39,KODEX K-로봇액티브
2025-03-07,두산로보틱스,454910,KOSPI,62300,64100,61800,63500,164371,0.32,39,KODEX K-로봇액티브
2025-03-10,두산로보틱스,454910,KOSPI,63600,65000,62500,62700,203968,-1.26,39,KODEX K-로봇액티브
2025-03-11,두산로보틱스,454910,KOSPI,60500,63000,60100,62700,242847,0.0,39,KODEX K-로봇액티브
2025-03-12,두산로보틱스,454910,KOSPI,63100,63750,62400,62700,170443,0.0,39,KODEX K-로봇액티브
2025-03-13,두산로보틱스,454910,KOSPI,63600,64000,62600,62600,254478,-0.16,39,KODEX K-로봇액티브
2025-03-14,두산로보틱스,454910,KOSPI,62600,64200,62000,62000,271539,-0.96,39,KODEX K-로봇액티브
2025-03-17,두산로보틱스,454910,KOSPI,62600,62700,61200,61500,237523,-0.81,39,KODEX K-로봇액티브
2025-03-18,두산로보틱스,454910,KOSPI,62100,62100,61200,61400,142623,-0.16,39,KODEX K-로봇액티브
