날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,한화비전,489790,KOSPI,36950,39450,36900,38100,1633128,0.0,1,
2025-01-21,한화비전,489790,KOSPI,37800,37950,33500,34050,3818981,-10.63,1,
2025-01-22,한화비전,489790,KOSPI,34000,35600,33950,34550,1908246,1.47,1,
2025-01-23,한화비전,489790,KOSPI,34550,34550,32700,33150,1351510,-4.05,1,
2025-01-24,한화비전,489790,KOSPI,33150,34400,33150,34050,1048650,2.71,1,
2025-01-31,한화비전,489790,KOSPI,31900,32500,31400,32250,1234863,-5.29,1,
2025-02-03,한화비전,489790,KOSPI,31400,31500,29100,30800,1979282,-4.5,1,
2025-02-04,한화비전,489790,KOSPI,31500,32650,30500,31550,1830845,2.44,1,
2025-02-05,한화비전,489790,KOSPI,31800,32000,30450,30650,1175750,-2.85,1,
2025-02-06,한화비전,489790,KOSPI,31100,37650,31000,37150,5088622,21.21,1,
2025-02-07,한화비전,489790,KOSPI,36300,40050,35700,39450,4026965,6.19,1,
2025-02-10,한화비전,489790,KOSPI,40000,40800,38000,39250,3028417,-0.51,1,
2025-02-11,한화비전,489790,KOSPI,39800,42700,39200,41100,3513829,4.71,1,
2025-02-12,한화비전,489790,KOSPI,40400,42600,40050,41850,2124046,1.82,1,
2025-02-13,한화비전,489790,KOSPI,41700,54400,39750,54400,14585530,29.99,1,
2025-02-14,한화비전,489790,KOSPI,53000,54500,46650,48300,10373250,-11.21,1,
2025-02-17,한화비전,489790,KOSPI,48300,54000,47450,51900,7415955,7.45,1,
2025-02-18,한화비전,489790,KOSPI,51700,52400,50400,51800,2670145,-0.19,1,
2025-02-19,한화비전,489790,KOSPI,51500,52800,49700,50500,2984177,-2.51,1,
2025-02-20,한화비전,489790,KOSPI,50000,50400,46300,47350,2875422,-6.24,1,
2025-02-21,한화비전,489790,KOSPI,46800,48750,46000,47250,1660412,-0.21,1,
2025-02-24,한화비전,489790,KOSPI,46100,46950,44500,46000,1299506,-2.65,1,
2025-02-25,한화비전,489790,KOSPI,45250,47650,44250,47000,1264810,2.17,1,
2025-02-26,한화비전,489790,KOSPI,46600,51800,46500,50000,3877454,6.38,1,
2025-02-27,한화비전,489790,KOSPI,50100,50700,47450,47750,1737708,-4.5,1,
2025-02-28,한화비전,489790,KOSPI,45850,48550,44750,47950,1559952,0.42,1,
2025-03-04,한화비전,489790,KOSPI,47000,48750,46800,47350,1033036,-1.25,1,
2025-03-05,한화비전,489790,KOSPI,47950,49600,46750,48950,1554338,3.38,1,
2025-03-06,한화비전,489790,KOSPI,49150,51300,48150,48900,1855538,-0.1,1,
2025-03-07,한화비전,489790,KOSPI,48050,50600,47300,50500,1603713,3.27,1,
2025-03-10,한화비전,489790,KOSPI,50000,50800,48250,48350,1334180,-4.26,1,
2025-03-11,한화비전,489790,KOSPI,45900,49700,45100,49350,1662138,2.07,1,
2025-03-12,한화비전,489790,KOSPI,49500,59100,49150,53900,10904630,9.22,1,
2025-03-13,한화비전,489790,KOSPI,54600,57400,54100,55700,3611629,3.34,1,
2025-03-14,한화비전,489790,KOSPI,55400,64700,55400,62800,10167640,12.75,1,
2025-03-17,한화비전,489790,KOSPI,61500,62600,58700,59100,4175106,-5.89,1,
2025-03-18,한화비전,489790,KOSPI,60000,60700,57500,58300,2452796,-1.35,1,
